State,District,Semi Critical Block,Critical Block,Over Exploited Block
Andhra Pradesh,Adilabad,Boath(NC),,Nirmal (NC)
,,Lokeshwaram,,
,Anantapur,Dharmavaram,B.K. Samudram,Agali
,,Guntakal,Bathalapalli,Amarapuram
,,Kanaganapalli,Kothacheruvu,Anantapur
,,Kundurpi,N.P.Kunta,Beluguppa
,,Lepakshi,Nallamada,Bukkapatnam
,,Madakasira,O.D.Cheruvu,Chilmathur
,,Peddavaduguru(NC),Pamidi,D.Hirehal
,,Ramagiri,Raptadu,Gandlapenta
,,Roddam,Singanamala,Garladinne
,,,Somandepalli,Gorantla
,,,Tadimarri,Gudibanda
,,,Uravakonda,Gummagatta
,,,,Hindupur
,,,,Kadri
,,,,Mudigubba
,,,,Nallacheruvu
,,,,Narpala
,,,,Parigi
,,,,Peddapappur
,,,,Putlur
,,,,Puttarparthy
,,,,Rayadurg
,,,,Rolla
,,,,Settur
,,,,Tadipatri
,,,,Talapula
,,,,Yadiki
,,,,Yellanur
,,,,
,Chittoor,Gudupalli,Chowdepalle,Baireddypalli
,,Gurramkonda,G.D.Nellore,Chittor
,,Madanapalli,Irala,Gangavaram
,,Palamaner,Narayanavanam,Karvetinagar
,,Peddapanjani,Pulicherla,Nagari
,,Punganur,Puttur,Nindra
,,Piler,Ramakuppam,Pakala
,,Santhipuram,V.Kota,Palasamudram
,,Srikalahasti,Yadamari,Penumuru
,,Yerpedu,,Puthalapattu
,,,,Ramasamudram
,,,,R.C.Puram
,,,,S R Puram
,,,,Sodam
,,,,Thavanampalli
,,,,Tirupathi®
,,,,Vedurukuppam
,,,,Vijayapuram
,Kadapa,Atloor,Badvel,B.Koduru
,,B.Mattam,Duvvur,Chennuru
,,Chakrayapeta,Kamalapuram,Chinnamandem
,,Chintakommadinne,Mydukur,Chitvel
,,Galiveedu,,Kamalapuram
,,Kalasapadu,,Koduru
,,Kasinayana,,Lingala
,,Kondapuram,,Mydukur(NC)
,,Muddanur,,Obulavaripalli
,,Nandaluru,,Pendlimarri
,,Pengaluru,,Porumamilla
,,Rajampeta,,Proddatur(NC)
,,Sidhout,,Pulivendula
,,T.Sundupalli,,Pullampeta
,,Vallur(NC),,Simhadripuram
,,Vempalli,,Veeraballi
,,V.N.Palli,,Vemula
,,Vontimitta,,
,East Godavari,Prathipadu(C),,Thondanga(NC)
,,Peddapuram(C),,Seethanagaram(NC)
,,Pithapuram(NC),,Korukonda(NC)
,,Samalkot(NC),,Peddapuram(NC)
,,Rajahmundry(C),,Rangampeta
,,Mandapeta(NC),,Gandepali
,,,,Rajanagaram
,,,,Rajahmundry(NC)
,,,,Kadiyam(NC)
,,,,Anaporthi(NC)
,,,,Biccavoli(NC)
,Guntur,,,Bollapali
,,,,Rentachintala
,Karimnagar,Chigurumamidi,Bheemadevarpally,Bejjanki
,,Dharmaram(NC),Chendurthy,Boinapally
,,Jagityal(NC),Gambhiraopet,Choppadandi(NC)
,,Keshavapatanam(NC),Gollapally(NC),Dharampuri(NC)
,,Sricilla,Husnabad(NC),Eligedu(NC)
,,Thimmapur,Illanthakunta,Elkatherthy
,,Veenavankal(NC),Kamalapur(NC),Gangadhara
,,,Koheda,Huzurabad(NC)
,,,Mallial(NC),Ibrahimpatanam(NC)
,,,Manakondur,Karimnagar(NC)
,,,Odela(NC),Kathalapur
,,,Velgatoor(NC),Komidiyal
,,,Yellareddypally,Konaraopet
,,,,Korutla(NC)
,,,,Mallapur(NC)
,,,,Medipally(NC)
,,,,Mustabad
,,,,Ramadugu
,,,,Saidpur
,,,,Sulthanabad(NC)
,,,,Vemulawada
,Khammam,Kusumanchi(NC),,Khamman Rural(NC)
,,,,Tirumalayapalem
,,,,Enkur(NC)
,Krishna,Ibrahimpatnam(NC),Nuzud,
,,Vijayawada(NC),Musunuru,
,,Chatrai(NC),,
,,Bapulapadu(NC),,
,Kurnool,Kolimigundla,Kodumuru(NC),Allagadda(NC)
,,Kosigi(NC),,B.Atmakuru(NC)
,,Miduthuru,,Banaganapali
,,Rudravaram,,Chagalamarri(NC)
,,,,Gadivemula(NC)
,,,,Jupadu Bunglow(NC)
,,,,Kowthalam(NC)
,,,,Mahanandi
,,,,Nandyala(NC)
,,,,Orvakal
,,,,Srivella(NC)
,Medak,Andole,Chinnakodur,Chegunta
,,Jharasangam,Jagadevpur,Doulthabad
,,Kulcharam,Jinnaram,Dubbak
,,Nyalkal,Kondapur,Gajewal
,,Papannapet,Kowdipally,Hathnura
,,Patancheru,Medak,Kondapak
,,Pulkal,Narsapur,Mirdoddi
,,Sadasivpet,Wargal,Mulugu
,,Sangarreddy,Yedurthy,Nanganur
,,Shankarampet-R,,Ramayampet
,,Shivampet,,Siddipet
,,Tekmal,,Toopran
,,Zaheerabad,,
,Mehbubnagar,Addakal,C.C.Kunta,Amangal
,,Atmakuri(NC),Dharoor(NC),Bhoothpur
,,Bijinepaly,Ghanpur,Balanagar
,,Devarkadra,Gopalpet,Kalwakurthy
,,Dhanwada,Kondurg,Keshampet
,,Doulathabad,Kothakota(NC),Kosgi
,,Hanwada,Uppununthal,Kothur
,,Jadcherla,,Makthal(C)
,,Kodair,,Maidjil
,,Koilkonda,,Narva(NC)
,,Maddur,,Shadnagar
,,Madgul,,Talkondapally
,,Mahboobnagar,,Veldanda
,,Makthal(NC),,
,,Nagarkurnool,,
,,Narayanpet,,
,,Narva(NC),,
,,Pangal(NC),,
,,Pebbair(NC),,
,,Tadoor,,
,,Thimmajipet,,
,,Vangoor,,
,,Wanaparthy,,
,Nalgonda,Alair,B.Pochampally,Chityal
,,Atmakuri,Chandur,Garidepally(NC)
,,B.Ramaram,Kanagal,Rajapet
,,Bhongir,Mothkur,Yadagirigutta
,,Bibinagar,Ramannapet,
,,Chandampet,,
,,Chinthapally,,
,,Chivemla,,
,,Choutuppal,,
,,Devarakonda,,
,,Gundala,,
,,Gundlapally,,
,,Kethepalli,,
,,Mothey,,
,,Munagala(NC),,
,,Munugode,,
,,Nakerakal,,
,,Nalgonda,,
,,Nampally,,
,,Nidmanoor,,
,,Nuthankal(NC),,
,,P A Pally,,
,,S. Narayanpur,,
,,Thipparthy,,
,,Thungathurthy,,
,,Thurkapally,,
,Nellore,Buchireddipalem,Anantsagaram(NC),Indukurupeta- Nellore
,,Dakkili,Gudur,Kovur
,,Naidupeta,,Venkatachalam-(NC)
,,Nellore rural(NC),,
,,Podalakur(NC),,
,,T.P. Gudur,,
,,Venkatagiri,,
,,Vinjamur,,
,Nizamabad,Balkonda(C),Kammarpally,Armoor(C)
,,Birkur©,Nagireddypet,Balkonda(NC)
,,Bodhan©,Nandipet(C),Banswada(NC)
,,Lingampet,Sirikond,Bheemgal
,,Madnoor,,Bhiknoor
,,Morthad©,,Bichkunda
,,Navipet(NC),,Dharpally
,,Nizamsagar(NC),,Dichpally(NC)
,,Pitlam,,Domakonda
,,Renjal,,Jakranpally
,,Sadashivnagar,,Kamareddy
,,Yedpally(NC),,Kotagiri(NC)
,,,,Makloor(NC)
,,,,Morthad(NC)
,,,,Nizamabad(NC)
,,,,Vailpoor(NC)
,,,,Varni(C)
,,,,Yedpally(C)
,Prakasam,Ardhaveedu,Cumbum,Bestavaripeta
,,Cheemakurthy,,Dornala
,,J.Panguluru(NC),,Giddaluru
,,Kanigiri,,Markapuram
,,Komarolu,,Martur
,,Tarlupadu,,Peddaraveedu
,,Veligandla,,Pullacheruvu (NC)
,,Yaddanapudi©,,Racherla
,,,,Talluru
,,,,Tripurantakam
,,,,Yerragondapalem
,Ranga Reddy,Mominpet,Ganded,Shankarpally
,,Nawabpet,Pargi,Medchal
,,Hayathnagar,,Shamirpet
,,Saroommagar,,Keesara
,,Dharur,,Moinabad
,,Peddamul,,Doma
,,Kulakcherla,,Shabad
,,Yacharam,,Shamshabad
,,,,Maheshwaram
,,,,Kandukur
,,,,Ibrahimpatnam
,,,,Manchal
,Vijaynagaram,Cheepurupalli,,
,,Pusapatirega,,
,,Bhogapuram(NC),,
,Vishakhapatnam,Munagapaka,,
