Sl. No.,DISTRICT,SEMI-CRITICAL,CRITICAL,OVER EXPLOITED
Andhra Pradesh,Anantapur,Anantapur,Madakasira,Agali
,,Atmakur,Parigi,Amadaguru
,,B.K.Samudram,Penukonda,Amarapuram
,,Bukkapatnam,Raptadu,Bathalapalli
,,Garladinne,Roddam,Beluguppa
,,Gooty,,Brahmasamudram
,,Gorantla,,Gandlapenta
,,Gummagatta,,Gudibanda
,,Kadiri,,Hindupur
,,Kalyandurg,,Kothacheruvu
,,Kambadur,,Kundurpi
,,Kanaganapalli,, Lepakshi
,,Kudair,, Peddapappur
,,Narpala,,Putlur
,,O.D.Cheruvu,,Rolla
,,Ramagiri,,Tadimarri
,,Rayadurg,,Tadipatri
,,Settur,,Yadiki
,,Somandepalli,,Yellanur
,,Talupula,,
,Chittoor,Chowdepalli,Baireddypalli,Nindra
,,Gangavaram,G.D.Nellore,Pakala
,,Gudupalli,Piler,Palasamudram
,,Madanapalli,Pulicherla,Penumuru
,,Nimmanapalli,Punganur,Puthalapattu
,,Palamaneru,Thavanampalli,R.C.Puram
,,Peddapanjani,Yadamarri,Ramakuppam
,,Thottambedu,,Ramasamudram
,,Vadamalapeta,,S R Puram
,,,,Santhipuram
,,,,Tirupathi®
,,,,Vijayapuram
,,,,Yerpedu
,East Godavari,Gandepalli ,,
,,Rajanagaram,,
,Kadapa,Atloor,,Chinnamandem
,,Kalasapadu,,Pulivendula
,,Kamalapuram,,Pullampeta
,,Lingala,,Vemula
,,Muddanur,,
,,Obulavaripalli,,
,,Porumamilla,,
,,Rajampeta,,
,,Simhadripuram,,
,,T.Sundupalli,,
,,Thondur,,
,,Vallur,,
,,Vempalli,,
,Khammam,,,Tirumalayapalem
,Krishna,,,Musunuru
,,,,Nuzvid
,Sangareddy,Jagdevpur ,Doulthabad ,Dubbak 
,,Pulkal ,Hathnura ,Kalher 
,,Sangareddy ,Jharasangam ,Koheer 
,,Shivampet ,Kulcharam ,Kondapak 
,,Thoguta ,Nanganur ,Kowdipally 
,,,Nyalkal ,Mirdoddi 
,,,Papannapet ,Mulugu 
,,,Regode ,Narsapur 
,,,Zaheerabad ,Ramayampet 
,Mehbubnagar,Addakal,,
,,Amangal,,
,,Bhoothpur,,
,,Kalwakurthy,,
,,Keshampeta,,
,,Koilkonda,,
,,Kondurg,,
,,Kosgi,,
,,Midjil,,
,,Shadnagar ,,
,,Talakondapalle,,
,,Uppununthala,,
,Nalgonda,Alair,,Thirumalgiri
,,Thungathurthi,,Jajireddi Gudem
,,Valigonda,,Nakrekal
,,Bhongir,,Suryapet
,,Kethepalle,,Kanagal
,,Mothey,,
,,Nalgonda,,
,,Munugode,,
,,Narayanapur,,
,,Chandur,,
,Nizamabad,Balkonda,Bheemgal,Armoor
,,Jakranpally,,Biknoor
,,Kammarpally,,Domakonda
,,Nandipet,,Kamareddy
,,Sirikonda ,,Morthad
,,,,Velpoor
,Prakasam,Ardhaveedu,,B.Peta
