State,DISTRICT,SEMI-CRITICAL,CRITICAL,OVER EXPLOITED
Andhra Pradesh,Adilabad,Bhainsa,,Nirmal
,,Chennur,,
,,Dandepally,,
,,Dilwarpur,,
,,Laxmanchanda,,
,,Lokeshwaram,,
,,Luxettipet,,
,Anantapur,Beluguppa,Roddam,Agali
,,Bukkapatnam,Talupula,Amadaguru
,,Dharmavaram,,Amarapuram
,,Garladinne,,Bathalapalli
,,Gudibanda,,Brahmasamudram
,,Gummagatta,,Gandlapenta
,,Kanaganapalli,,Hindupur
,,Kudair,,Kalyandurg
,,Narpala,,Kambadur
,,O.D.Cheruvu,,Kothacheruvu
,,Penukonda,,Kundurpi
,,Puttaparthi,,Lepakshi
,,Raptadu,,Madakasira
,,Rayadurg,,Parigi
,,Somandepalli,,Peddapappur
,,Tanakallu,,Putlur
,,,,Rolla
,,,,Tadimarri
,,,,Tadipatri
,,,,Yadiki
,,,,Yellanur
,Chittoor,Baireddypalli ,Gudupalli,Nindra
,,CGGallu ,Karvetinagaram,Pakala
,,Chittoor ,Palasamudram,Penumuru
,,Chowdepalli ,Pulicherla,Puthalapattu
,,G.D.Nellore ,Punganur,R.C.Puram
,,Gangavaram ,,Ramakuppam
,,Irala ,,Ramasamudram
,,Madanapalli ,,S R Puram
,,Nimmanapalli ,,Santhipuram
,,Palamaneru ,,Thavanampalli
,,Pedda Thippa Samudram ,,Tirupathi
,,Peddapanjani ,,
,,Piler ,,
,,V.Kota ,,
,,Vijayapuram ,,
,,Yadamarri ,,
,Ease Godavari,Gandepalli,,
,Hyderabad,,,Hyderabad
,Kadapa,Kalasapadu,,Pulivendula
,,Kamalapuram,,Vemula
,,Pendlimarri,,
,,Pullampeta,,
,,Vallur,,
,Khammam,,,Tirumalalayapelm
,Krishna,Nuzvid,,Musunuru
,Karimnagar,Chandurthy ,,Bheemadevarapally 
,,Elkathurthy ,,Chigurumamidi 
,,Siricilla ,,Gangadhara 
,,Velagatur ,,Husnabad 
,,,,Kathalapur 
,,,,Keshavapatnam 
,,,,Kodimyal 
,,,,Mallial 
,,,,Medipally 
,,,,Mustabad 
,,,,Ramadugu 
,Mehboobnagar,Kalwakurthy,Midjil,
,,Keshampeta,,
,Medak,Doulthabad ,Chegunta ,Chinnakodur 
,,Jagdevpur ,,Dubbak 
,,Kowdipally ,,Hathnura 
,,Kulcharam ,,Kalher 
,,Ramayampet ,,Kondapak 
,,Shivampet ,,Mirdoddi 
,,Tekmal ,,Mulugu 
,,,,Nanganur 
,,,,Narsapur 
,,,,Nyalkal 
,,,,Raikode 
,,,,Siddipet 
