Sl   No,Project Identification Code,Name of Dam,Operated & Maintained by,Longitude of dam 'E',Latitude of dam 'N',Year of completion,River,Nearest city,seismic zone,Type of dam,Height above lowest foundation (m),"Length of dam
(m)",Volume content of dam (103 m3),Gross Storage capacity (103 m3),"Reservoir Area
(103 m2)",Effective Storage capacity (103 m3),Purpose,Designed Spillway capacity (m3/sec)
131,AP01MH0137,Sarpanapally Project,,"77? 52' 00""","17? 16' 00""",1989,Sarpanapallyvagu,Hyderabad,,TE,18.44,1204,-,7094.11,1508.6,5578,I,522
132,AP01HH0138,Somasila Reservoir,,"79? 18' 25""","14? 29' 15""",1989,Pennar,Nellore,,TE/PG,39,760,1875,2208620,212280,-,I,22375
133,AP01MH0139,Boggula Vagu,,"79? 51' 38""","18? 33' 25""",1990,Boggulavagu,Karimnagar,,TE,17,1800,,11523,,10338,I,531
134,AP01LH0140,"Nallacheru, Irvin",,"78? 42' 30""","16? 48' 30""",1990,,Mahabubnagar,,TE,10.05,1480,42.6,392.61,264.5,344,I,484
135,AP01MH0141,Thammileru,,"80? 55' 0""","16? 59' 0""",1997,Thammileru,Elluru,,TE/PG,22.56,6400,2549,84939,13755,76444,I,736
136,AP01MH0142,"Gundetivagu cheroo, Reddygudem(V),",,"81? 01' 44""","17? 24' 05""",1991,,Aswaropeta,,TE,19,700,1.22,1220,4046.9,1160,I,319.33
137,AP01HH0143,Jalleru Reservoir,,"81? 20' 0""","17? 27' 0""",1992,Jalleru,Eluru,,TE/PG,31.42,1790,1069,15317,1641,11339,I,348
138,AP01MH0144,"New tank, Kothur",,"78? 22' 22""","19? 39' 49""",1994,,Talamadugu,,TE,16.95,945,,4964,740,4468,I,191.32
139,AP01MH0145,Varikunta Tank,,"78? 51' 31""","15? 02' 46""",1997,,Badvel,,TE,15.1,1156,,1900,1060,1900,I,809.85
140,AP01MH0146,"Gujjulavagu project,
Gandhari",,"78? 07' 02""","18? 26' 36""",1998,Godavari,Nizamabad,,TE,15,780,,3256,810,2768,I,193.86
141,AP01LH0147,Pendlur Tank,,"78? 21' 30""","14? 25' 30""",1998,,Pulivendula,,TE,10.6,1045,,1590,840,1590,I,293
142,AP01LH0148,Vagetikona Reservoir,,"79? 20' 02""","13? 52' 10""",1998,,Kodur,,TE,11.3,1306,,2030,640,2030,I,285.02
143,AP01LH0149,"Kuppakanti project,
Kuppakal(V)",,"78? 28' 30""","18? 44' 30""",1999,Godavari,Armoor,,TE,11.1,1040,98.5,1953,_,1700,I,298
144,AP01LH0150,Kajjerla Anicut,,"78? 28' 34""","19? 37' 28""",2000,,Adilabad,,TE,13.4,1560,,10676.5,1830,9609,I,604.68
145,AP01LH0151,"Methadi vagu tank,
Hajipur(V)",,"77? 57' 23""","18? 27' 47""",2000,Godavari,Bodhan,,TE,10.5,1200,104.5,1720,_,1410,I,167
146,AP01LH0152,Pedaballi Reservoir,,"78? 22' 52""","13? 58' 12""",2000,,N.P. Kunta,,PG,12,149,---,4932,2097,3794,I,1.67
147,AP01LH0153,Sancherla Tank,,"79? 03' 24""","14? 54' 32""",2000,,Badvel,,TE,12,500,,1800,465,1800,I,339.8
148,AP01LH0154,Bazarthathnur Project,,"78? 22' 00""","19? 28' 00""",2004,,Bazarhathnur,,TE,13.8,1440,,4597.4,2050,4138,I,905.25
149,AP01MH0155,Boath Project,,"78? 17' 38""","19? 21' 13""",2004,Godavari,Boath,,TE,15.6,1445,,5313.4,440,4879,I,807.92
150,AP01LH0156,"Dharakalva
Reservoir",,"82? 14' 12""","17? 20' 15""",2004,Godavari,Kakinada,,TE,13,,9000,2463,433,2143,I,227.67
151,AP01LH0157,SAT Dodarna,,"77? 56' 40""","19? 17' 55""",2004,,Kubeer,,TE,12.5,,,1739,275.3,1565,I,
152,AP01MH0158,Earlakatta Tank,,"78? 58' 42""","15? 45' 13""",2007,Krishna,Cumbum,,TE,17,571,-,1369,-,1369,I,-
153,AP01LH0160,"Akkammacheru,
Mujahidpur",,"77? 35' 16""","17? 03' 44""",NA,,Hyderabad,,TE,11.68,579,,1998.6,,,I,58
