Sl    No,Project Identification Code,Name of Dam,Operated & Maintained by,Longitude of dam,Latitude of dam,Year of completion,River,Nearest city,seismic zone,Type of dam,Height above lowest foundation (m),"Length of dam
(m)",Volume content of dam (103 m3),Gross Storage capacity (103 m3),"Reservoir Area
(103 m2)",Effective Storage capacity (103 m3),Purpose,Designed Spillway capacity (m3/sec)
1,BR02MH0001,KHARAGPUR LAKE,,"86°34'00""E","25°07'00""N",1876,Man,Munger,IV,TE,^   26.53,221.04,,16510,3840,16280,I,850
2,BR02MH0002,NAGI,,"86°26'30""E","24°51'15""N",1958,Nagi,Jhajha,IV,TE,24.02,1884,,10800,4250,9300,I,283.28
3,BR02MH0003,KOHIRA,,"83°29'30""E","24°58'10""N",1962,Kohira,Bhabhua,III,TE,24.06,164.6,,28330,5260,27440,I,736
4,BR02MH0004,AMRITY,,"86°01'09""E","24°52'43""N",1965,Amrity,Jamui,IV,TE,^   16.65,166.15,,4920,,4348,I,
5,BR02HH0005,BADUA,,"87°00'00""E","25°10'00""N",1965,Badua,Banka,IV,TE,56.66,457.32,,128340,11335,109830,I,2833.86
6,BR02MH0006,SRIKHANDI,,"86°10'09""E","24°52'43""N",1965,Srikhandi,Jamui,IV,TE,^   16.65,205.8,,4920,,4348,I,
7,BR02MH0007,KOLMAHADEO,,"85°20'05""E","24°42'00""N",1966,Kolmahadeo,Nawada,III,TE,25.2,157,,5700,,4700,I,128
8,BR02HH0008,CHANDAN,,"86°55'00""E","24°20'00""N",1968,Chandan,Bounsi,IV,TE,49.38,1554,,157230,10810,135740,I,3113
9,BR02MH0009,JALKUND,,"86°34'00""E","24°14'00""N",1968,Jalkund,Munger,IV,TE,^   15.99,631.1,,3080,690,2770,I,149
10,BR02HH0010,MORWAY,,"86°09'36""E","25°10'26""N",1969,Morway,Munger,IV,TE,33.42,533.53,,14570,,12370,I,709
11,BR02MH0011,SATGHARWA (N.F),,"86°29'00""E","25°18'00""N",1976,Morway,Munger,IV,TE,19.21,266.72,,1830,360,1695,I,106
12,BR02MH0012,JOB,,"85°33'00""E","24°41'00""N",1977,Job,Nawada,III,TE,36.6,1616,,12000,,11000,I,425
13,BR02HH0013,KAILASH GHATI,,"85°55'00""E","24°35'05""N",1980,Kailash Ghati,Jamui,IV,TE,31.5,312.5,,3571,1020,3152,I,238.66
14,BR02MH0014,NAKTI,,"86°26'30""E","24°51'15""N",1980,Nakti,Jhajha,IV,TE,23.61,990.85,,13970,3640,12870,I,490.25
15,BR02MH0015,TARACOL (N.F),,"85°59'44""E","24°50'10""N",1980,Natanadi,Nawada,III,TE,16.83,102.13,,980,190,911,I,70.17
16,BR02MH0016,BASKUND,,"86°03'30""E","24°52'20""N",1984,Baskund,Jamui,IV,TE,17.68,67.07,,1230,600,928,I,231
17,BR02MH0017,UPPER BADUA (N.F),,,,1985,Badua,Banka,IV,TE,16.92,1745,,4520,,4260,I,200
18,BR02HH0018,BELHARNA,,"86°33'46""E","24°51'15""N",1987,Belharna,Banka,IV,TE,^   30.10,411.58,,15560,2680,14570,I,425.08
19,BR02HH0019,PHULWARIA,,"85°35'00""E","24°36'00""N",1988,Tilaiya,Nawada,III,TE,32.98,1135,,59340,9530,50740,I,1135
20,BR02HH0020,ANJAN,,"86°12'00""E","24°50'00""N",1989,Anjan,Jamui,IV,TE,39.02,518.3,,26680,3440,24710,I,878
21,JH02MH0021,BATANE      #,,,,1990,Batane,Chhattarpur,III,TE,24.08,2012.2,,67870,13360,59970,I,2692
22,BR02HH0022,ORHNI,,"84°49'50""E","24°49'10""N",2000,Orhni,Banka,IV,TE,32,686,,51560,9950,44590,I,1167
23,BR02MH0023,BILASHI,,"86°50'00""E","24°27'02""N",2001,Bilasi,Banka,IV,TE,31.4,168.3,,32570,5830.3,28870,I,492
24,BR02HH0024,UPPER KIUL,,"86°04'00""E","24°48'30""N",2004,Kiul,Jamui,IV,TE,35.05,3673,,98103,12303,84529,I,3400
25,JH02HH0025,BARNAR       #,,"86°10'31""E","23°27'00""N",U/C,Barnar,Jamui,IV,PG,76.75,282.7,,80210,3750,70770,I,3256
26,BR02HH0026,DURGAWATI,,"83°44'00""E","24°51'00""N",U/C,Durgawati,Bhabhua,III,TE,46.3,1615.4,,28770,23413,25785,I,3818
27,JH02HH0027,NORTH KOEL       #,,,,U/C,North Koel,Daltanganj,III,TE/PG,67.86,343,482,1170000,71200,960000,I/H,16000
28,BR02MH0028,SINDHWARNI,,"86°37'30""E","25°07'51""N",U/C,Man,Munger,IV,TE,22.56,125.58,,50060,7000,34260,I,864.51
