"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
121,CG03LH0121,BHURSATOLI TANK,1986,Local Nalla,Kusmi,TE,11.15,600,61,431,129,406,I,13
122,CG03MH0122,CHAMAT TANK,1986,Local Nalla,Sonhat,TE,18.63,630,299,28,182,27,I,31
123,CG03MH0123,CHARPARA TANK,1986,Local Nalla,Baikunthpur,TE,19.16,570,286,2902,656,2652,I,102
124,CG03LH0124,CHIKHALI,1986,Local,Dondi,TE,10.56,975,,1545,517,1466,I,60.52
125,CG03LH0125,DARKI TANK,1986,Local Nalla,Shankargarh,TE,13.39,563,120,1730,332,1611,I,65
126,CG03LH0126,DEORIPALI TANK,1986,Local,Sakti,TE,11.7,570,44,5069,130,3766,I,94
127,CG03LH0127,DHAMNI NO.1 TANK,1986,Local Nalla,Ramchandrapur,TE,12,570,53,459,152,363,I,21
128,CG03MH0128,GHUNGHUTTA TANK,1986,Local Nalla,Sonhat,TE,20.42,150,85,3960,1070,3290,I,140
129,CG03LH0129,KHANDA TANK,1986,Local Nalla,Sonhat,TE,10.3,510,79,201,262,170,I,59
130,CG03LH0130,KHUMBHIPANI TANK,1986,Local,Pali,TE,10.64,610,42,80,105,72,I,39
131,CG03LH0131,KOUSHALPUR TANK,1986,Local Nalla,Balrampur,TE,11,660,116,600,636,520,I,175
132,CG03MH0132,KUSMAHA TANK,1986,Local Nalla,Sonhat,TE,15.34,580,190,1640,427,1550,I,50
133,CG03LH0133,LANCHI TANK,1986,Local Nalla,Surajpur,TE,10,750,110,770,234,730,I,118
134,CG03LH0134,MURMA TANK,1986,Local Nalla,Baikunthpur,TE,14.2,1035,293,427,391,374,I,87
135,CG03MH0135,PALGI TANK,1986,Local Nalla,Ramchandrapur,TE,15.03,540,75,1190,319,1100,I,52
136,CG03HH0136,PIPRIYA NALLA,1986,Local,Rajnandgaon,TE,34.66,1953,,4570,7663,40600,I,811
137,CG03MH0137,RAJOLI TANK,1986,Local Nalla,Sonhat,TE,18.76,585,282,750,193,7020,I,27
138,CG03LH0138,RISEWADA,1986,Local,Kanker,TE,11.64,1219,150,1808,632,1647,I,84
139,CG03MH0139,SILPHODA TANK,1986,Local Nalla,Baikunthpur,TE,15.5,648,227,1540,300,1340,I,137
140,CG03LH0140,SIVIDOG TANK,1986,Local Nalla,Kusmi,TE,13.4,645,83,910,209,815,I,45
141,CG03MH0141,SONHAT TANK,1986,Local Nalla,Sonhat,TE,15.6,230,81,560,125,530,I,52
142,CG03LH0142,AURAIMUNDA TANK,1987,Local,Tamnar,TE,11.44,1080,204,747,210,715,I,24
143,CG03MH0143,BADESATHI TANK,1987,Local Nalla,Khadgawan,TE,17,450,177,1600,2900,1500,I,48
144,CG03LH0144,BANGOTI TANK,1987,Local Nalla,Sonhat,TE,10.15,1110,168,1060,44,990,I,117
145,CG03MH0145,CHARCHA TANK,1987,Local Nalla,Baikunthpur,TE,17.56,429,118,518,931,445,I,41
146,CG03MH0146,CHINIYA TANK,1987,Local Nalla,Ramchandrapur,TE,15.2,325,56,470,141,440,I,25
147,CG03LH0147,DARRITOLA TANK,1987,Local Nalla,Kusmi,TE,11.5,990,82,1190,395,1129,I,38
148,CG03MH0148,DOURA TANK,1987,Local Nalla,Balrampur,TE,25.09,630,190,740,227,696,I,45
149,CG03LH0149,KARAKACHHAR T.,1987,Local,Pathalgaon,TE,11.3,660,244,1488,49109,1261,I,57
150,CG03LH0150,KARIDIH TANK,1987,Local Nalla,Bhaiyathan,TE,10.97,795,139,1250,433,1140,I,103
