"Sl
No",Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur pose,Designed Spillway capacity
1,JK20MH0001,GUJAR NAR DAM,1971,Jhelum,Srinagar,TE,18,115,72,12460,,,I,20
2,JK20MH0002,ARZAM GARZAM DAM,1974,Arzam Garzam,Arzam Garzam,TE,19,128,61,310,,,,49
3,JK30VH0003,SALAL (Rockfill Dam) NHPC,1987,Chinab,Jammu,ER,118,630,8000,284080,93563.6,14780,H,Nil
4,JK30VH0004,SALAL (Concrete Dam) NHPC,1987,Chinab,Jammu,PG,112.91,450.81,1450,284080,93563.6,14780,H,22427
5,JK30HH0005,URI,1997,Jhelum,Baramulla,PG,30,95,,ROR,1304.4,309,H,2264
6,JK20VH0006,BAGLIHAR,2009,Chenab,Udampur,PG,143,362.86,2600,475000,8079,15000,H,16500
7,JK20MH0007,MALAPORE,NA,Malapore,Malapore,TE,18,90,65,348,,300,,89
8,JK20MH0008,PYNEER STORAGE SCHEME,NA,Hajinar,Hajinar,TE,19,209,71,125,,,I,17
9,JK20MH0009,TUJAN,NA,Khanchi,Khanchi,TE,18,84,48,400,,367,,89
10,JK20MH0010,KARPURA,U/C,Khanchi,Do,TE,20,109,68,268,,249,,89
11,JK30HH0011,DUL,2007,Chinab,Kishtwar,PG,65,186,200,11550,10500000,10970,H,8000
12,JK20HH0012,SEWA II,2010,Sewa,Kathua,PG,53,113,132,6820,433,4410,H,4020
13,JK20VH0013,PAKAL DUL (Drangdhuran) HEP,U/C,Marsudar,,PG,167,,,,,,,
14,JK20MH0014,Chutak H.E. Project,2011,Suru (tributary of Indus river),Kargil,PG,29,47.5,55,588.3,135,588.3,H,1400
