"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
1,JH05MH0001,TILAIYA,1953,Barkar,Hazaribagh,PG,29.7,360,110,12460,75000,,I/H,3852
2,JH05MH0002,BATARE,1954,Batare,Daltonganj,TE,19.33,748.48,,3160,,2974.7,I,113
3,JH05MH0003,GONDA,1954,Gonda,Hazaribagh,TE,16.76,1006,,2257,,,I,
4,JH05MH0004,JAMUNIA,1954,Jamuni,Hazaribagh,TE,17.36,1067.1,,2590,610,,I,219
5,JH05HH0005,KONAR,1955,Konar,Hazaribagh,TE/PG,48.77,3806.65,,292335,26491,284933.8,I/H,6796
6,JH05MH0006,BUCHAOPA,1957,Buchaopa Nala,Ranchi,TE,24.02,1067,,2840,20,2400,I,58
7,JH05MH0007,GHAGHRA,1957,Ghaghra,Hazaribagh,PG,19.82,94.51,,9374,,6661,I,217
8,JH05HH0008,MAITHON,1957,Barakar,Asansol,TE/PG,56,4426,3719,1093540,107160,804000,I/H/S/C,13592
9,JH05HH0009,PANCHAT HILL,1959,Damodar,Asansol,TE/PG,48,6777,5704,1358080,153380,504000,I/H/S/C,16608
10,JH05MH0010,HATIA,1963,Subarnarekha,Hatia,TE,24,4525,,34100,,31900,I,
11,JH05MH0011,SITARAM PUR,1964,Sitaram pur,Jamshedpur,TE,16.77,2043,,8826.2,63.7,8085.3,M.I,317.7
12,JH05MH0012,BARANADI,1965,Baranadi,Dumka,TE,19.51,221,,5640,2110,4555,I,289
13,JH05MH0013,KAIRABANI,1967,Dararika,Dumka,TE,18.59,295.66,,3550,550,3260,I,164
14,JH05HH0014,NALKARI,1968,Nalkari,Ramgarh Cantt.,TE,36,3074,2620,107000,9920,,S,2820
15,JH05MH0015,DULAKI,1971,Dulaki,Hazaribagh,TE,16.76,1067,,2097,,1923,I,108
16,JH05HH0016,GATALSUD,1971,Subarnarekha,Ranchi,TE,40.24,5616.77,,288760,34380,230760,I,8500
17,JH05LH0017,TEMARAIN,1973,Temarain,Daltonganj,TE,12.8,503.05,,1300,340,1220,I,66
18,JH05LH0018,LARWA,1974,Larwa Nala,Gumla,TE,14.8,366,,1253,,,I,71
19,JH05MH0019,JANASAI,1976,Sanjay Nala,Chakardharpur,TE,19.21,1128,,7030,1250,6600,I,239
20,JH05HH0020,Sunder,1976,Sunder,Godda,TE,35.67,1555,,30890,4970,,I,833
21,JH05MH0021,BOUDHA,1978,Jaroa,Hazaribagh,TE,15.85,609.26,,1570,480,1480,I,78
22,JH05HH0022,TENUGHAT,1978,Damodar,Hazaribagh,TE,64.87,6494,,1020900,64780,999920,I/S/H,16000
23,JH05LH0023,DHANKAI,1979,Dhankai,Gharhwa,TE,10.55,811,,855.4,,790,I,55
24,JH05LH0024,LEFT BANKI,1979,Left Banki,Daltonganj,TE,14.32,1500,,5074.3,,4749.7,I,195.29
25,JH05MH0025,CHATANIA GHAT,1980,Kuljhiri Nala,Garhwa,TE,19.82,365.85,,1680,310,,I,100
26,JH05MH0026,ANJANWA,1981,Anjanwa,Chatra,TE,16.25,1341.46,,6167.4,2100,6103,I,283
27,JH05LH0027,BARHI,1981,Matwghat,Barhi,TE,12.86,1057.92,,3207,,1580,I,125
28,JH05MH0028,BUKSA,1981,Buksa,Chatra (H'Bagh),TE,19.21,2682.92,,12340,3160,11110,I,312
29,JH05MH0029,LOTIA,1981,Dainta,Hazaribagh,TE,19.51,762.2,,5500,1060,4640,I,297
30,JH05MH0030,HIROO,1983,Hiroo,Chatra,TE,18.3,971,,6232,,5345,I,
