Sl    No,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
61,KA06LH0061,Tadavalga Tank,1965,Tadavalga Nala,Bijapur,"PG,TE",11.02,1070,83.24,1840.4,708,1323.7,I,311.48
62,KA06MH0062,Yallur Tank,1965,"Local Nala of Markandaya
Sub Basin (Ghatapraba)",Belgaum,TE,15.5,393,139.88,437.15,82.9,430,I,420
63,KA06MH0063,Bellathasanahalla Tank,1966,Bellathasanahalla,Yelandur,TE,18.89,1155.36,11.72,4400,670,4440,I,83.45
64,KA06LH0064,Hirekop Tank,1966,Local Nala,Bailhongala,TE,12.39,785.4,65.37,1465.18,429.3,1197,I,305.78
65,KA06LH0065,Hokarani Tank,1966,Hokarani,Bijapur,PG.TE,11.72,755,76.32,1184.9,482.7,1108,I,126.01
66,KA06LH0066,Kamarahalli Tank,1967,K.Hallihalla,Mysore,TE,12,1020,2.67,2960,2670,2540,I,260.36
67,KA06LH0067,Siddasamudra,1967,Local Nala Under,Soundatti,TE,13.72,712,212.47,2158.55,1045,1880,I,398
68,KA06LH0068,Hanajagi Tank,1968,Hanajagi,Bijapur,PG.TE,12.81,785,71.06,1500,700,1415.8,I,170
69,KA06HH0069,Jambadahalla Dam,1968,Jambadahalla,Chickamagalore,"PG,TE",31.7,838.1,N.A,9685,1630,6910,I,467.2
70,KA06LH0070,Kalikatte Tank,1968,Kalikattehalla,Mysore,TE,14.84,1122,2859,3170,2860,2720,I,418.84
71,KA06MH0071,Sangenahalli Tank,1968,Jinigehalla,Jagalur,TE,15.55,1341,331.21,11030,3360,10300,I,269
72,KA06MH0072,Aigali Tank,1969,Local Nala Krishna /,Athani,TE,15.66,526.5,120.99,1443.37,436,1192,I,587
73,KA06LH0073,Kuppakaddi Tank,1969,Kuppakadi,Bijapur,PG.TE,11.27,865,57.85,1842.05,737.1,1656.5,I,119.3
74,KA06LH0074,Mangala Tank,1969,Nagini River,Kunigal,TE,13.1,610,108,15000,4089,13500,I,736.3
75,KA06LH0075,Yarazarvi Tank,1969,Local Nala,Soundatti,TE,12.16,699,61.24,1338.9,415,1164.52,I,231
76,KA06MH0076,Chakena Hally Tank,1970,Hemavathy River,Holenarasipura,TE,17.3,886.75,360,4280,250,3920,I,1008
77,KA06MH0077,Gandabommanahalli Tank,1970,Krishna /T.Bhadra,Kudligi,TE,23.15,1104,41207,7315,1780,7315,I,418.52
78,KA06LH0078,Ghastoli Tank,1970,Local Nala,Bidi,TE,14.5,486,70.3,866.36,259,750,I,71
79,KA06LH0079,Kadatnal Tank,1970,Local Nala  Malaprabha,Bailahongala,TE,13.75,470,118.68,1289.35,539.6,1120,I,234
80,KA06MH0080,Mangalore Tank,1970,Mangalore,Bagalkot,PG.TE,16.38,124,42.65,1591.1,331,1288,I,103.47
81,KA06MH0081,Murakumbi Tank,1970,Local Nala,Bailahongala,TE,16.94,726,57.4,1435.45,453.2,1456,I,226.5
82,KA06LH0082,Muthurayanakere,1970,Local Nala,Kunigal,TE,12.06,1140,129,6795,,5872,I,144.35
83,KA06LH0083,Chittawadagi Tank,1971,Chittawadagi,Bagalkot,PG.TE,12,481,45.68,5785.2,2080,5204.5,I,892
84,KA06MH0084,Medipally Tank,1971,"Local, Manjara, Godavari",Bidar,TE,22.03,487,106.12,1591,346.2,1517,I,44.4
85,KA06MH0085,Ambadaga Tank,1972,Tatti halla,Dharwad,TE,18.3,185.9,70,1190,254,1110,I,23.34
86,KA06LH0086,Bellikindi Tank,1972,Bellikindi,Bagalkot,PG.TE,11.91,457,43.55,1075.1,425.7,989,I,107.38
87,KA06MH0087,H.B.Halli Pickup,1972,Chikkahagari,Hagaribommanahalli,"PG,TE",17.62,1607,126.05,56640,13360,49560,I,2650.43
88,KA06MH0088,Karimuddenahalli Tank,1972,Lakshman Theertha,Gaddige,TE,18.32,422.25,36,180.1,124.86,179.38,I,309
89,KA06HH0089,Malaprabha Dam,1972,Malaprabha,Saundathi,PG,43.13,154.52,182,1068000,129500,972000,I,5238.6
90,KA06MH0090,Bavalgaon Tank,1973,"Local, Manjara, Godavari",Bidar,TE,22.39,389,90.33,2093,340,1903,I,46.58
