Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
61,MH09LH0061,JAVALA,1952,Local Nallah,Sangola,TE,10.57,,,1320,,1320,I,169
62,MH09LH0062,TARANGAWADI,1953,Local Nallah,Indapur,TE,14.3,593,742,1730,,1730,I,326
63,MH09MH0063,PALASDEO,1953,Local Nallah,Indapur,TE,15.55,518,267,2670,750,270,I,383
64,MH09LH0064,DURGAON,1953,Nandan,A'Nagar,TE,11.13,317,161,1812,111,1722,I,655
65,MH09LH0065,ZADI,1954,Suki,Malegaon,TE,11.28,869,,1227,44,1130,I,489.84
66,MH09LH0066,GUROPIMPRI,1954,Bhokri,Karjap,TE,14.33,945,11,3851,122,3143,I,717
67,MH09HH0067,RADHANAGARI,1954,Bhogawati,Radhanagari,PG,42.68,1143,,236810,18218,220000,I/H,1133
68,MH09HH0068,VAITARNA / MODAKSAGAR,1954,Vaitarna,Mumbai,PG,82,567.07,0.06,204980,8.39,174790,S,5660
69,MH09MH0069,VELHALE,1955,Datapadi nalla,Bhusawal,TE,16.24,446,240,2500,273,2400,I,264
70,MH09LH0070,GUNODI,1955,Shanala,A'Nagar,TE,14.93,793,,8040,192,6960,I,963
71,MH09MH0071,BANGANGA,1955,Banganga,Phaltan,TE,16.76,1631,152,6500,2621,6490,I,1110
72,MH09MH0072,BENDSURA,1955,Bendsura,Beed,TE,21.18,1469,960,9570,643,9700,I,1654
73,MH09MH0073,PURMEPEDA,1955,Bori,Dhule,TE,24.7,1500,525,13550,303,12960,I,2141
74,MH09MH0074,DARUJ,1956,Daruj,Khatav,TE,16.46,869,211,2880,882,2650,I,364
75,MH09LH0075,KOLGAON,1956,Hanga,A'Nagar,TE,12.74,1038,724,2882,85,2491,I,1019
76,MH09MH0076,KHASAPUR,1956,Local Nallah,Paranda,TE,23.78,1882,,19830,430,15830,I,2863
77,MH09LH0077,PISERVE,1958,Local Nallah,Purandar,TE,14.63,625,,1560,,1440,I,530
78,MH09MH0078,RANAND,1958,Wagzari,Man,TE,19.32,927,31,7120,1239,6420,I,1169
79,MH09MH0079,KAMBALI,1958,,Ashti,TE,15.6,1500,,3800,,3100,I,1349
80,MH09LH0080,TALWAR,1958,Local Nallah,Ashti,TE,14.36,1584,,3778,,3237,I,
81,MH09LH0081,RAWANWADI,1960,Local Nallah,Bhandara,TE,12.44,96,26,6900,12.8,6750,I,456.98
82,MH09MH0082,JUI,1960,Jui,Bokardan,TE,15,910,311,9000,236,8220,I,1613
83,MH09MH0083,DHEKU,1960,Dheku,Vaijapur,TE,20,2421,137,14000,4470,12160,I,1945
84,MH09LH0084,AMJAON,1961,Mahur,Bhandara,TE,10.45,704.08,61,910,3.74,870,I,21.24
85,MH09LH0085,KUCHI,1961,Local Nallah,Kavathemahankal,TE,13.3,551,70.01,2230,3017,2200,I,177
86,MH09MH0086,KHADAKOZER,1961,Wadali,Chandwad,TE,21.67,1220,,8429,1924,7570,I,1143
87,MH09MH0087,WANJARWADI,1961,Wanjarwadi,Beed,TE,15.03,500,289,2890,42,1080,I,1867
88,MH09MH0088,ASHTI,1963,Local Nallah,Arvi,TE,17.31,589,115,1710,430,1620,I,143.24
89,MH09LH0089,KASNER,1963,Local Nallah,Paithan,TE,14.35,1479,,1791,603,1584,I,167
90,MH09LH0090,SATIGHAT,1963,Local Nallah,Umrer,TE,12.22,85.37,-,3280,50,3100,I,181.6
