"Sl
No",Project Identification Code,Name of Dam,Year of completi on,River,Nearest city,T ype,Height above low est foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillw ay capacity
31,RA11MH0031,MAN SAROWAR,1955,Chambal,Khandar,TE,24.82,930,NA,17480,8000,16180,I,921.42
32,RA11LH0032,PAIBALA PURA,1957,Mej River,Nainwa,TE,14.63,3644.52,NA,10200,9400,10000,I,632
33,RA11MH0033,JUGGAR,1957,Juggar Banas,Hindaun,TE,21,239.26,NA,46430,8210,42970,I,1881
34,RA11MH0034,ORA,1957,Khari,Sheoganj,TE,20.12,5618.87,NA,22650,7460,22280,I,836
35,RA11MH0035,BUNDIKA  GOTHRA,1957,Mej River,Hindoli,TE/PG,20.14,2613.94,NA,28400,6700,28400,I,857
36,RA11HH0036,SARERI,1957,Khari,Bhilwara,TE/PG,12.8,6336,NA,55800,18000,55010,I,1604
37,RA11MH0037,KHARI,1957,Khari,Asind,TE/PG,17.67,2391,NA,38940,8840,33280,I,1911
38,RA11MH0038,ARWAR,1957,Mansi,Shahpura,TE/PG,18.28,1112.6,NA,47910,18800,47770,I,2761
39,RA11HH0039,JAWAI,1957,Jawai,Bali,PG,46.33,924,NA,198200,25900,184200,I,4245
40,RA11MH0040,PACHKI  BAORI,1957,Began,Bundi,TE,19,954,NA,5600,782,5100,I,379
41,RA11LH0041,KALA BHALA,1958,Khari,Deogarh,TE,14.06,979,NA,4240,1450,3870,I,351
42,RA11MH0042,BHIMLAT,1958,Mangli,Bundi,TE/PG,17,274,NA,10800,2507,10700,I,442
43,RA11LH0043,HARO,1958,Local nallah,Haro,TE,14.02,900,NA,11920,2560,11660,I,579.6
44,RA11LH0044,CHANDRABHAGA,1958,Chandrabhaga,Sahada,TE,10.52,4738,NA,9960,5760,9854,I,1218
45,RA11LH0045,LODISAR,1958,Moran,Sagwara,TE,16,1960,NA,11940,3140,10940,I,1777
46,RA11MH0046,NANDSAMAND,1958,Banas,Nathwara,TE,23,1733.89,NA,21200,4400,20600,I,3240
47,RA11MH0047,MEJA,1957,Kothari,Mandal,TE/PG,19.2,9000,NA,84050,23980,83552,I,3625
48,RA11MH0048,GUDHA,1958,Mejchambal,Hindoli,TE,25,2760,NA,95650,18590,93700,I,5883
49,RA11MH0049,MATRAKUNDIA,1991,Kotharia,Bhilwara,TE/PG,22,9808,NA,50660,14353,49980,I,8240
50,RA11MH0050,GAMBHIRI,1957,Berach,Nimbahera,TE,23.34,3800,NA,76400,20570,65100,I,2290
51,RA11MH0051,NAGDI,1959,Nagdi,Jahazpur,TE,15,805,NA,5150,1602,5090,I,199
52,RA11MH0052,TOKRA,1959,Tokra,Sirohi,TE,20,1768,NA,5430,2090,5190,I,370
53,RA11LH0053,GIRINANDA,1959,Luni,Raipur,TE,12.2,351,NA,5700,1300,5500,I,446
54,RA11MH0054,MOREL,1952,Morel,Bonli,TE,24.08,5342,NA,76700,15670,70710,I,1958
55,RA11MH0055,GALWA,1960,Galwa,Uniara,TE,16.08,6068,NA,52790,17590,52440,I,3240
56,RA11LH0056,MASHI,1960,Bandi,Newai,TE,12.88,2103,NA,48100,10620,35117,I,11954
57,RA11HH0057,KOTA BARRAGE,1960,Chambal,Kota,PG/TE,37.35,551.68,NA,112060,5820,69830,I,21225
58,RA11LH0058,KANA,1961,Ghanerow,Desuri,TE,13.41,1400,NA,3225,115,3115.2,I,332
59,RA11LH0059,ATAWARA,1961,Local Nalla,Gangapur,TE,10.36,2671,NA,5235,510,5094,I,402
60,RA11LH0060,BANAKIYA,1962,Local nallah,Chittorgarh,TE,15.13,2555,NA,9439,5500,9269,I,849.33
