"Sl
No","Project
Identification Code",Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
30,UP13MH0031,SAPRAR,1952,Saprar,Jhansi,TE,16.76,3000,,76200,200500,65700,I,1143.32
31,UP13MH0032,GOVIND SAGAR,1953,Shahjad,Lalit Pur,TE,18.29,3606,13406,96884,247880,50110,I,1445
32,UP13MH0033,AHRAURA,1954,Garai,Mirzapur,TE,22.87,1219.5,,60240,101200,58300,I,1161.47
33,UP13MH0034,KABRAI,1955,Magaria,Mahoba,TE,18.24,2440,425000,14617,50500,11944,I,387
34,UP13MH0035,NAUGARH,1956,Karmnasa,Varanasi,TE,19.81,5975,101.88,173396,83870,101940,I,3114.85
35,UP13MH0036,ARJUN,1957,Arjun,Mahoba,TE,25.88,4206,1823,69206,180000,63826,I,678
36,UP13MH0037,BAGHEL KHAND,1957,Jamunahwa,Balrampur,TE,15,3200,41318,2720,1610,2490,I,127.35
37,UP13MH0038,BARWATOLA,1957,Local Stream,Mirzapur,TE,16.77,1050,18100,2058,77000,1270,I,127
38,UP13LH0039,RAJKHAR,1957,Local Stream,Mirzapur,TE,14.94,970,,1700,,,I,313
39,UP13MH0040,RANGAWAN,1957,Bannel Nala,Chhatar Pur,TE,27.4,2073,,164238,25900,155177,I,2407.93
40,UP13LH0041,BANGHOGHW A,1958,Dagwara,Bahraich,TE,14.1,2920,280900,2809,26480,1141,I,100
41,UP13LH0042,DHARTIDOLW A,1958,Local,Robertsganj,TE,12.19,838,,793,,,I,1.73
42,UP13MH0043,JIRGO,1958,Jirgo,Mirzapur,TE,29.88,6704,,150850,307200,132720,I,2069.24
43,UP13LH0044,KHAIRMAN,1958,Henga Nala,Gonda,TE,10.6,3020,50180,5051,4994,1447,I,110
44,UP13LH0045,RAMPUR,1958,Goinghawa Nala,Bahraich,TE,10.5,3820,10500,10500,9933,9227,I,56.65
45,UP13MH0046,SIRSI,1958,Bakhar nala,Mirzapur,TE,21.34,3808,,215000,30149,195000,I,2266.29
46,UP13MH0047,UPPER KHAJURI,1958,Khajuri,Mirzapur,TE,24.88,2313,8923,44740,113172,37834,I,841.28
47,UP13LH0048,KOTA,1960,Local,Robertsganj,TE,14.63,549,,1983,,1133,I,1.98
48,UP13LH0049,LAKRA,1960,Local,Robertsganj,TE,10.36,1026,,1345,,977,I,1.34
49,UP13LH0050,SALAR PUR,1960,Kardia,Mahoba,TE,11,2975,13406,4020,,3483,I,158
50,UP13LH0051,DHORA,1962,Dhora and Katna,Udhamsingh,TE,14.63,9050,45640,45640,55400,44890,I,549
51,UP13MH0052,OHEN ( BALMIKI ),1962,ohen,NCahgitarrakoot,TE,23.5,2401,,38340,64850,37775,I,1415.85
52,UP13HH0053,RIHAND,1962,Rihand,Renukoot,PG,91.46,934.45,16827.19,10600000,46080,8900000,I/H,13342.78
53,UP13MH0054,SARDA SAGAR,1962,Chauba,Pilibhit,TE,16.15,22200,406240,406260,57650,330100,I,
54,UP13MH0055,SILHATA,1962,Local,Robertsganj,TE,16.2,990,,1288,,1138,I/H,1.7
55,UP13LH0056,SUKHRA,1962,Local,Robertsganj,TE,10.36,1896,,1699,,1416,I,0.34
56,UP13LH0057,NANAUTI,1963,Local,Mirzapur,TE,13.71,1400,,340280,,,I,769
57,UP13LH0058,HINAUTI,1964,Col Nala,Mirzapur,TE,10.66,995,121.9,6147,4921,4380,I,162
58,UP13HH0059,MATATILA,1964,Betwa,Jhansi,TE,45.72,6315.15,5012.05,1132580,138850,1019400,I/H,15350
59,UP13LH0060,BHAGW AN PUR,1965,Nakti nala,Gonda,TE,14.52,4400,44300,9770,401044,8836,I,362.25
