"Sl
No",Project Identification Code,Name of Dam,Operated & Maintained by,Longitude of dam,Latitude of dam,Year of completion,River,Nearest city,seismic zone,Type of Dam,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
1,WB14HH0001,MASSANJORE,,"87°18'30.99233""E","24°06'25.34870""N",1955,Mayurakshi,Suri,III,PG,47,661,282.16,617000,64710,549130,I/H/C,4443
2,WB14HH0002,KANGSABATI KUMARI,,"86°47'20.14555""E","22°57'49.90269""N",1965,Kangsabati Kumari,Bankura,III,TE,41,10400,11300,1036000,124320,900400,I/C,5715
3,WB14LH0003,HINGLOW,,"87°11'36.11896""","23°49'19.59128""N",1976,Hinglow,Bolpur,III,TE,12,1158,3000,17069,6480,14150,I,1631
4,WB14LH0004,NACHAN,,"87°19'17.41862""","23°37'02.14106""N",1977,NachanKandar,Burdwan,III,TE,14,853,8280,961,174,886,I,33
5,WB14MH0005,BARA MANDIRA,,"86°57'15.88275""E","23°49'58.35128""N",1977,Baramandira,Burdwan,III,TE,17,380,70,1419,243,1219,I,101
6,WB14MH0006,MALIARAJORE,,"87°11'59.10060""E","23°26'58.05800""N",1978,Maliarajore,Bankura,III,TE,16,2682,252,3761,1984,3420,I,255
7,WB14MH0007,PARGA,,"86°04'55.30582""E","23°26'15.56414""N",1982,Parga,Purulia,III,TE,16,737,163,2222,526,1579,I,127
8,WB14LH0008,RUPAI,,"85°55'16.79284""","23°18'36.02958""N",1982,Rupai,Purulia,III,TE,12,620,110,1676,761,1560,I,365
9,WB14LH0009,DANGRA,,"86°46'59.62357""","23°27'10.48112""N",1982,Dungrajhore,Purulia,III,TE,10,580,144,1525,665,1420,I,161
10,WB14MH0010,SAHARAJORE,,"86°03'15.32049""E","23°18'58.47284""N",1982,Saharajore,Purulia,III,TE,19,328,106,8740,1720,7410,I,255
11,WB14LH0011,GOLAMARJORE,,"86°21'54.23770""","23°25'38.79642""N",1984,Golamarajore,Purulia,III,TE,13,1158,196,2398,951,1711,I,137
12,WB14MH0012,KUMARI,,"86°17'04.60087""E","23°09'23.32176""N",1984,Kumari,Purulia,III,TE,15,1068,233,7155,1783,4319,I,765
13,WB14MH0013,LIPANIA,,"86°27'36.4055""E","23°28'01.03540""N",1985,Lipania,Purulia,III,TE,15,750,197,3451,931,2739,I,201
14,WB14LH0014,SALI,,"87°05'07.40454""","23°24'19.5628""N",1985,Sali,Purulia,III,TE,12,1494,59,2400,1951,2344,I,144
15,WB14MH0015,TATKO,,"86°30'45.90936""E","22°55'44.41626""N",1985,Tatko,Purulia,III,TE,15,1468,294,10330,2028,6503,I,1351
16,WB14LH0016,TARAGONIA,,"86°23'15.32495""","23°28'40.8324""N",1987,Taragonia,Purulia,III,TE,12,716,141,1974,688,1369,I,156
17,WB14LH0017,KARRIOR,,"85°56'44.47122""","23°25'30.44029""N",1988,Karrior,Purulia,III,TE,11.5,925,298,390,198,308,I,117
18,WB14LH0018,DIMU,,"85°58'48.87856""","23°25'29.65371""N",1989,Dimu,Purulia,III,TE,12,841,119,926,340,677,I,49
19,WB14MH0019,KHAIRABERA,,"86°00'19.03005""E","23°15'49.45140""N",1989,Khairabera,Purulia,III,TE,21,372,254,5442,373,5195,I,120
20,WB14LH0020,MOUTOREJORE,,"86°35'13.28494""","23°34'48.63928""N",1990,Moutorejore,Purulia,III,TE,14,1151,174,2652,709,1685,I,190
21,WB14MH0021,BEKO,,"86°37'42.98162""E","23°28'40.22153""N",1990,Beko,Purulia,III,TE,16,914,238,2710,1417,2716,I,289
22,WB14MH0022,TURGA,,"86°03'45.49906""E","23°11'52.41248""N",1990,Turga,Purulia,III,TE,21,433,385,1970,316,1704,I,97
23,WB14LH0023,BARABHUM,,"86°18'31.53632""","23°01'55.31187""N",1991,Barabhum,Purulia,III,TE,11,890,252,8391,184,5183,I,543
24,WB14MH0024,RAMCHANDRAPUR,,"86°50'15.64343""E","23°35;15.42228""N",1991,Machkandajore,Purulia,III,TE,15,1529,285,3953,1700,2989,I,260
25,WB14MH0025,BANDHU EXTENSION,,"86°08'24.25539""E",23°16'50.36096N,2004,Bandhu,Purulia,III,TE,16,899,230,2433,4754,2186,I,98
26,WB14LH0026,FUTIARY,,"86°34'02.21974""","23°23'04.41369""N",2004,Futiary,Purulia,III,TE,13.7,768,533,2386,793,1850,I,143
27,WB14MH0027,HANUMATA,,"86°15'51.53985""E","23°06'38.04835""N",2004,Hanumata,Purulia,III,TE,19,1188,114,7030,2126,5021,I,397
28,WB14LH0028,PATLOI,,"86°29'01.85343""","23°21'44.12750""N",2004,Patloi,Purulia,III,TE,14,945,225,5555,1820,4209,I,265
