,District,Recharge from Rainfall,Recharge From Other Sources,Recharge from Rainfall,Recharge From Other Sources,Total ,,, Irrigation ,Domestic & Industrial Water Supply ,Total ,Projected demand for Domestic and Industrial uses  upto 2025 ,Net Ground Water Availability for Future Irrigation use ,Stage of Ground Water Development (%) 
Andhra Pradesh,Guntur,109985,18487,22881,19825,171178,15819,155359,46677,8552,55229,10461,98221,36
,Vizianagaram,69126,18403,43050,28717,159296,15140,144156,104597,9585,114182,13376,38123,79
,Visakhapatnam,138586,13441,10345,24058,186430,18064,168366,103764,16033,119797,18852,47361,71
,East Godavari,60450,38551,36600,25814,161415,14536,146879,32646,4451,37097,13177,101056,25
,Srikakulam,48619,103483,31345,16859,200306,19729,180577,28288,6642,34930,14624,137823,19
,Nellore,50584,16543,40086,16432,123645,8284,115361,62328,6105,68433,8804,44229,59
,Kurnool,95298,27618,19069,53391,195376,18097,177279,108666,4620,113286,11415,60269,64
,Prakasam,143369,12893,38140,26725,221127,18738,202389,51976,6206,58182,10983,139986,29
,Khammam,48537,44546,22447,66356,181886,16917,164969,49627,9530,59157,11884,105226,36
,Adilabad,58378,30103,29158,32876,150515,12790,137725,35086,4144,39230,13067,89853,28
,Krishna,72443,15561,18917,24741,131662,12994,118668,95973,3066,99039,7603,24967,83
,West Godavari,95154,29351,25467,31327,181299,17958,163341,69040,4502,73542,12666,81635,45
,Mehaboobnagar,90352,47433,28710,44651,211146,20217,190929,103380,10197,113577,11549,76000,59
,Kadapa,150029,48098,734,73610,272471,25583,246888,62575,5080,67655,44026,140287,27
,Nalgonda,64576,22336,15913,30200,133025,12658,120367,81284,1934,83218,6679,34153,69
,Warangal,60835,20303,26994,70492,178624,17210,161414,43804,2124,45928,7795,112453,28
,Karimnagar,43753,5789,12695,8870,71107,6761,64346,33303,11954,45257,16234,18452,70
,Nizamabad,44230,28943,26204,10774,110151,9938,100213,20871,4404,25275,9475,69867,25
,Rangareddy,68026,5484,13207,5739,92456,7972,84484,14310,4287,18597,11421,58753,22
,Chittoor,42054,22125,27903,7372,99454,9407,90047,16184,838,17022,6650,67213,19
,Anantapur,116570,17391,26082,33863,193906,18138,175768,100739,8159,108898,14703,62290,62
,Medak,53946,42053,22462,43810,162271,15071,147200,52859,565,53424,6003,88338,36
Arunachal Pradesh,Tirap,8718,0,2283,0,11000,1100,9900,3,0,3,43,9855,0.02828
,Changlang,20988,18,6996,27,28029,2803,25226,26,,26,59,25142,0.10109
,Lohit,143000,0,52360,0,195360,19536,175824,5,,5,101,175717,0.00301
,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dibang valley,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lower Dibang Valley,70488,0,30624,0,101112,10111,91001,34,,34,104,90864,0.03681
,East Siang,60078,8,14049,12,74147,7415,66732,84,44,128,45,66603,0.19196
,West Siang,4878,1,1220,1,6099,610,5489,0,0,0,18,5471,0
,Upper Siang,0,0,0,0,0,0,0,0,0,0,0,,0
