State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,
Assam,Barpeta,2004,14.8,12.7,97.8,461.3,633.1,560.1,1013.3,154.8,284.9,162.9,2.1,10.8,3408.6,,,,,,,,,
Assam,Barpeta,2005,7.9,2.7,158.7,295.1,286.8,448,600.4,571.1,190.6,345.3,7.5,0,2914.1,,,,,,,,,
Assam,Barpeta,2006,0,16.6,0.7,154.7,162.1,312.5,435.5,180.9,487.2,83.2,29.4,11.1,1873.9,,,,,,,,,
Assam,Barpeta,2007,0,55.1,9,255.8,175.7,604.5,620.4,391.5,434.5,104.1,4.5,0,2655.1,,,,,,,,,
Assam,Barpeta,2008,28.9,15.1,133.9,298.1,281.2,459.6,454.7,725.3,303,101,0,0,2800.8,,,,,,,,,
Assam,Barpeta,2009,0.1,0,51.9,162.4,300.7,463.9,414.4,681.7,180.3,209.4,6.3,0.8,2471.9,,,,,,,,,
Assam,Barpeta,2010,0,1.7,91.3,448.3,436.1,735.2,636.7,329,575.6,40.8,1.2,0.7,3296.6,,,,,,,,,
Assam,Bongaigaon,2004,15.2,9,39.8,357.1,665.1,460.5,1071.7,141.4,176.2,216.6,0,7.2,3159.8,,,,,,,,,
Assam,Bongaigaon,2005,18.4,3.2,276.2,381.2,272.2,567.7,460,276.6,136.2,356.4,3.2,0,2751.3,,,,,,,,,
Assam,Bongaigaon,2006,0,17.6,0,160.7,182.2,393.8,481.2,144.8,381.6,0,0,0,1761.9,,,,,,,,,
Assam,Bongaigaon,2007,0,0,0,0,200,636.6,818.4,311,490,127.3,1.7,4.3,2589.3,,,,,,,,,
Assam,Bongaigaon,2008,10,41.4,76.8,196.9,242.2,477.5,681.7,890.9,274.6,129,0,0,3021.0,,,,,,,,,
Assam,Bongaigaon,2009,0,0,54.2,263.9,243,447,432.1,637.2,216,185,3.7,3,2485.1,,,,,,,,,
Assam,Bongaigaon,2010,0,2.1,110.2,550.4,566.6,864.6,612.2,291,506.8,65.8,0,0,3569.7,,,,,,,,,
Assam,Cachar,2004,7.4,0.3,26.3,321.7,395.4,400.2,573.9,398.6,396.1,182,0,7.2,2709.1,,,,,,,,,
Assam,Cachar,2005,0.4,92.7,375.8,162.3,386.6,412.8,568.9,452.3,258.5,153.3,7.7,3.4,2874.7,,,,,,,,,
Assam,Cachar,2006,0,50.4,3.7,154.7,258,664.6,498.1,221.5,150.7,48.9,28.9,0.4,2079.9,,,,,,,,,
Assam,Cachar,2007,0,104.2,53.9,387.7,326.9,467.7,393.9,450.1,460.2,245.7,63.2,0.7,2954.2,,,,,,,,,
Assam,Cachar,2008,28.8,10.9,144.5,65.3,238.6,420.3,554.1,749.4,470.4,234.5,0,2.9,2919.7,,,,,,,,,
Assam,Cachar,2009,0,24.6,111,238.5,200.2,511.8,456.8,566.5,265.4,91.2,38.4,0,2504.4,,,,,,,,,
Assam,Cachar,2010,0,9.9,234,588.1,597.3,680.7,474.5,584.9,659.9,206.7,16.5,41.4,4093.9,,,,,,,,,
Assam,Darrang,2004,39.1,37.3,69.9,254.3,470.5,394.4,658.1,124.5,225.1,172.2,1.8,0,2447.2,,,,,,,,,
Assam,Darrang,2005,19.4,29.4,110.1,327.4,287.1,396.4,309.4,428.7,124.1,240.2,6.8,0,2279.0,,,,,,,,,
Assam,Darrang,2006,0,31.6,4.2,225.2,177.5,611.1,202.5,131.9,158.5,87.2,10.2,1,1640.9,,,,,,,,,
Assam,Darrang,2007,0,92.6,19.7,342.3,166.2,398.1,433.3,150.7,153.5,136.4,3.7,0,1896.5,,,,,,,,,
Assam,Darrang,2008,25,14.5,69.6,189.9,122.2,410.9,398.6,197.4,232,87.9,8.4,0,1756.4,,,,,,,,,
Assam,Darrang,2009,0,8.4,40.3,160.8,210.5,208.9,486.3,254.8,155.3,77.1,0.6,5.7,1608.7,,,,,,,,,
Assam,Darrang,2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,
Assam,Dhubri,2004,6.4,2.8,9.1,213,520.7,460.1,827.1,128.2,243.6,383,9,0,2803.0,,,,,,,,,
Assam,Dhubri,2005,11,3.7,122.3,231.4,433.7,895.3,613.3,435.6,192.3,558.7,0,0,3497.3,,,,,,,,,
Assam,Dhubri,2006,0,9,2.5,156.5,274,406.7,189.3,48.2,313,150,2.7,6.8,1558.7,,,,,,,,,
Assam,Dhubri,2007,0,52.9,26.3,168.8,132.8,676,357.4,354.3,314.6,155.2,1.5,0,2239.8,,,,,,,,,
Assam,Dhubri,2008,38.3,1,196.3,122.3,268,339.1,270,348.5,266.8,120,0,0,1970.3,,,,,,,,,
