State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,
Bihar,Araria,2004,10.2,0,0,64.8,153.5,320.8,801.6,230.1,263.1,88.2,0,N.A.,N.A.,,,
Bihar,Araria,2005,0,5.5,2,38.8,31.7,438.3,397.4,314.2,126,29.3,0,0,1383.2,,,
Bihar,Araria,2006,0,0,4.2,17.3,N.A.,465.2,287.8,154.8,316.6,57.6,0,0,N.A.,,,
Bihar,Araria,2007,N.A.,N.A.,N.A.,N.A.,0,96,410.6,416.3,310.2,0,0,N.A.,N.A.,,,
Bihar,Araria,2008,N.A.,N.A.,N.A.,N.A.,N.A.,152.4,766.3,467.5,242.7,71.8,0,0,1700.7,,,
Bihar,Araria,2009,0,0,13.8,12.3,204.5,185.5,307.1,530,60.1,68,3,0,1384.3,,,
Bihar,Araria,2010,0,0,0,17.2,97.5,218.3,590.8,203,288.4,41.7,0,0,1456.9,,,
Bihar,Aurangabad,2004,19.8,N.A.,0,0,13.2,236.7,160.2,154.3,106.3,6.1,N.A.,N.A.,N.A.,,,
Bihar,Aurangabad,2005,28.6,36.4,0,0,N.A.,38.1,152.1,147.9,143.8,0,N.A.,10.1,N.A.,,,
Bihar,Aurangabad,2006,N.A.,N.A.,N.A.,N.A.,N.A.,72,263.7,192.4,165.9,10,N.A.,N.A.,N.A.,,,
Bihar,Aurangabad,2007,N.A.,N.A.,N.A.,N.A.,N.A.,115,521.9,445.8,261.8,13.2,N.A.,N.A.,N.A.,,,
Bihar,Aurangabad,2008,N.A.,N.A.,N.A.,N.A.,N.A.,223.3,312.7,251.3,70.8,0,N.A.,N.A.,N.A.,,,
Bihar,Aurangabad,2009,N.A.,N.A.,N.A.,N.A.,N.A.,20.6,212.8,457.2,285.5,56.5,N.A.,N.A.,N.A.,,,
Bihar,Aurangabad,2010,0,0,0,0,0,45.2,199.5,152.6,124.3,48,0,0,569.6,,,
Bihar,Begusarai,2004,22.2,0,0,0,34.2,165.8,412.8,67,58,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Begusarai,2005,14,15,30.4,0,35,23,280.4,261.1,139.6,4,N.A.,0,N.A.,,,
Bihar,Begusarai,2006,0,0,N.A.,N.A.,N.A.,N.A.,384.8,23.4,204.3,0,N.A.,N.A.,N.A.,,,
Bihar,Begusarai,2007,N.A.,N.A.,N.A.,N.A.,0,11.8,269.8,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Begusarai,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
