State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,
Gujarat,Ahmedabad,2004,0,0,0,0,2.4,61.2,222.6,454.2,45.4,34,0.1,0,819.9,,,,,,
Gujarat,Ahmedabad,2005,0,0,0,0,0,393.2,301,223.3,341.4,0,0,0,1258.9,,,,,,
Gujarat,Ahmedabad,2006,0,0,0.4,0,0,84.9,433,268,108.5,0,0,0,894.8,,,,,,
Gujarat,Ahmedabad,2007,0,0.1,0,0,0.4,95.3,381.2,310,103.2,0,0,0,890.2,,,,,,
Gujarat,Ahmedabad,2008,0,0,0,0.7,0,26.7,221.9,233.6,273.5,8.4,0,2,766.8,,,,,,
Gujarat,Ahmedabad,2009,0,0,0,0,0,4.7,265.5,103.2,8.8,4.9,0,0,387.1,,,,,,
Gujarat,Ahmedabad,2010,0.2,0,N.A.,0,0,46.7,335.9,421,241.7,0.9,50.7,0.2,N.A.,,,,,,
Gujarat,Amreli,2004,0,0,0,0,12,88.4,159.7,223.1,61.8,21.3,0.2,0,566.5,,,,,,
Gujarat,Amreli,2005,0,0,0,0,0.3,558.2,150.7,45.2,405.8,5,0,0,1165.2,,,,,,
Gujarat,Amreli,2006,0,0,1.5,0,0,181.2,479.3,77.6,80.7,3.7,1,0,825.0,,,,,,
Gujarat,Amreli,2007,0,0.4,0,0,0,118.2,278.8,306.4,338.4,0.1,2.8,0,1045.1,,,,,,
Gujarat,Amreli,2008,0,0,0,4.2,0,72.1,237,90.7,300.6,23.8,0,0,728.4,,,,,,
Gujarat,Amreli,2009,0,0,0,0,0,56.4,360.4,70.8,16.9,5.2,3.2,0.2,513.1,,,,,,
Gujarat,Amreli,2010,0,0,0,0,0,110.2,348.4,197.9,178.5,16.8,79.3,0,931.1,,,,,,
Gujarat,Anand,2004,0,0,0,0,3.3,41.5,186.8,526,4,9.7,0,0,771.3,,,,,,
Gujarat,Anand,2005,0,0,0,0,0,502.3,521.8,153.1,340.9,0,0,0,1518.1,,,,,,
Gujarat,Anand,2006,0,0,0,0,0,62.3,552.5,392.3,42.6,0,0,0,1049.7,,,,,,
Gujarat,Anand,2007,0,0.5,0,0,0,78.5,391.5,280.4,147.2,0,0,0,898.1,,,,,,
Gujarat,Anand,2008,0,0,0,0.4,0,38.4,151,276.8,292.1,1.4,0.1,0,760.2,,,,,,
Gujarat,Anand,2009,0,0,0,0,0,0.6,246.9,95.3,10,3,1.3,0,357.1,,,,,,
Gujarat,Anand,2010,0,0,0,0,0,35.3,192.1,433.7,170,0.2,32.2,0,863.5,,,,,,
Gujarat,Banaskantha,2004,0,0,0,0,12.5,96,30.4,218.1,38.8,39.9,0,0,435.7,,,,,,
Gujarat,Banaskantha,2005,0,0,0,0,0,68,200.4,197.9,284.3,0,0,0,750.6,,,,,,
Gujarat,Banaskantha,2006,0,0,0.5,0,0,55,269.4,882.6,167.5,0.1,0,0,1375.1,,,,,,
Gujarat,Banaskantha,2007,0,0.5,0.2,0,0,37.6,517.9,238,68.8,0,0,0,863.0,,,,,,
Gujarat,Banaskantha,2008,0,0.1,0,7.6,0,27.5,88.2,312,102,1.1,0,0.6,539.1,,,,,,
Gujarat,Banaskantha,2009,0,0,0.3,0,0,9.9,283.1,74.1,2.5,0,0,0,369.9,,,,,,
Gujarat,Banaskantha,2010,0.8,0,0,0,0,35.8,404,331.3,138.4,0,75.9,0.1,986.3,,,,,,
Gujarat,Baroda,2004,0,0,0,0,2.1,83.2,253,549.5,29.2,20.6,0,0,937.6,,,,,,
Gujarat,Baroda,2005,0,0,0,0,0.1,453.5,371.1,157.3,381.8,1.4,0,0,1365.2,,,,,,
Gujarat,Baroda,2006,0,0,0.1,0,0,103.8,665.3,691.6,171,12.3,0,0,1644.1,,,,,,
Gujarat,Baroda,2007,0.2,0,0,0,0,112.8,544.1,243.8,258.8,0,0.7,0,1160.4,,,,,,
Gujarat,Baroda,2008,0,0,0,0.7,0,32.3,264.3,353.2,192.1,8,0.5,0.1,851.2,,,,,,
Gujarat,Baroda,2009,0,0,0,0,0,12.8,308.1,123,40.3,28.8,12.8,0.4,526.2,,,,,,
Gujarat,Baroda,2010,0,0,0,0,0,48,290.1,374.7,214.8,0.6,21.9,0,950.1,,,,,,
Gujarat,Bhavnagar,2004,0,0,0,0,9.2,88.2,225,191.8,43.6,19.9,0,0,577.7,,,,,,
Gujarat,Bhavnagar,2005,0,0,0,2,0.7,396,129.4,105.2,357.9,0.1,0,0,991.3,,,,,,
Gujarat,Bhavnagar,2006,0,0,0.8,0,0,126,456.1,92.4,55.6,1,0.2,0,732.1,,,,,,
Gujarat,Bhavnagar,2007,0,0.1,0,4,0,109.1,254.3,285.7,313.5,0,0.5,0,967.2,,,,,,
Gujarat,Bhavnagar,2008,0,0,0,1.9,0,39.8,221.1,186.6,279.6,11.7,0,0,740.7,,,,,,
Gujarat,Bhavnagar,2009,0,0,0,0,0,26.2,256.2,46.3,35.4,16.8,2.2,0,383.1,,,,,,
Gujarat,Bhavnagar,2010,0.2,0,0,0,0,72.5,244.4,214.2,200,6.3,52.4,0,790,,,,,,
Gujarat,Broach,2004,0,0,0,0,3.9,99.1,221.2,389.9,45.9,21.1,0,0,781.1,,,,,,
Gujarat,Broach,2005,0,0,0,0,0,461.8,149,99,246.5,0,0,0,956.3,,,,,,
Gujarat,Broach,2006,0,0,0,0,0,67.1,572.9,239.6,85.8,4.2,7.9,0,977.5,,,,,,
Gujarat,Broach,2007,0,0,0,0,0,72.5,445.7,218.1,189.6,0,0,0,925.9,,,,,,
Gujarat,Broach,2008,0,0,0,3,0,47.1,267.7,226.3,209.7,2.8,0.9,0,757.5,,,,,,
Gujarat,Broach,2009,0,0,0,0,0,12,250.8,81.2,44.7,38.4,3.3,0,430.4,,,,,,
Gujarat,Broach,2010,0,0,0,0,0,47.4,290.5,247.1,286.5,11.8,19.3,0,902.6,,,,,,
Gujarat,Dahod,2004,0,0,0,0,0,77.5,169.3,773.2,29.3,7,0,0,1056.3,,,,,,
Gujarat,Dahod,2005,0,0,0,0,0,39.3,215.3,103.3,171.7,0,0,0,529.6,,,,,,
Gujarat,Dahod,2006,0,0,0,0,0,85.9,373.6,590.3,145.4,4.1,0,0,1199.3,,,,,,
Gujarat,Dahod,2007,0,0,0,0,0,41.3,415.4,281.7,121.7,0,0,0,860.1,,,,,,
Gujarat,Dahod,2008,0,0,0,0,0,35.7,163.8,267.7,120.3,5.4,0,0,592.9,,,,,,
Gujarat,Dahod,2009,0,0,0,0,0,20,221,103.9,56.3,26.9,11.1,0,439.2,,,,,,
Gujarat,Dahod,2010,0,0,0,0,0,54.4,158.4,249.9,115.3,0,8.1,0,586.1,,,,,,
Gujarat,Dangs,2004,0,0,0,0,0,285,517,1369,217,71,0,0,2459.0,,,,,,
Gujarat,Dangs,2005,0,0,0,0,0,1448,836,774,745,20,0,0,3823.0,,,,,,
Gujarat,Dangs,2006,0,0,9,0,0,193,1253,952,151,51.6,7,0,2616.6,,,,,,
Gujarat,Dangs,2007,0,0,0,0,0,292,832,518,243,0,36,0,1921.0,,,,,,
Gujarat,Dangs,2008,0,0,0,0,0,65,546,1071,784,127,0,0,2593.0,,,,,,
Gujarat,Dangs,2009,0,0,0,0,0,37,866,154,250,166,59,0,1532,,,,,,
Gujarat,Dangs,2010,0,0,0,0,0,176,427,788,312,40,144,0,1887,,,,,,
Gujarat,Gandhinagar,2004,0,0,0,0,0,138.3,170,429,14.7,6.7,0,0,758.7,,,,,,
