State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,
Himachal Pradesh,Bilaspur,2004,148.6,12.8,0,25.4,55,93.7,219.4,348.6,52.5,125,0,19,1100.0,,,,,,,
Himachal Pradesh,Bilaspur,2005,56,113.9,81.2,1.4,17.6,46.7,334.7,187.2,103,0.2,0,0,941.9,,,,,,,
Himachal Pradesh,Bilaspur,2006,53.9,1.7,86.3,27.2,82.2,75.6,403.1,366.4,204.7,20.8,7.9,18.2,1348.0,,,,,,,
Himachal Pradesh,Bilaspur,2007,0,121,168.1,15.2,12.9,94.7,339.2,386.4,66.9,20,0,26.3,1250.7,,,,,,,
Himachal Pradesh,Bilaspur,2008,25.1,37,0.8,37.1,36.2,248.2,295.9,385.3,207,25.2,0.4,0.5,1298.7,,,,,,,
Himachal Pradesh,Bilaspur,2009,12,14.1,41.6,39.2,16.5,28.1,347.4,276.9,229.1,13.2,11,0,1029.1,,,,,,,
Himachal Pradesh,Bilaspur,2010,10.1,41.2,1.6,2.7,56.4,157.4,314.3,205,180,18,9.4,73.6,1069.7,,,,,,,
Himachal Pradesh,Chamba,2004,111.7,49.4,2.5,91.8,56.4,83.8,112.8,187,27.4,124.7,17.5,25.3,890.3,,,,,,,
Himachal Pradesh,Chamba,2005,61.1,177,112,26.7,39.3,51.3,357.8,49.1,130.1,0,0,0,1004.4,,,,,,,
Himachal Pradesh,Chamba,2006,194.2,128.2,118,3,36,88.3,208.6,312.3,66.3,16,27.2,21,1219.1,,,,,,,
Himachal Pradesh,Chamba,2007,0.7,108,189.8,7,23.5,63.7,72.7,57,11,0,0,0,533.4,,,,,,,
Himachal Pradesh,Chamba,2008,N.A.,N.A.,N.A.,N.A.,N.A.,98.3,134.6,98.7,90.8,4.6,0,50.5,N.A.,,,,,,,
Himachal Pradesh,Chamba,2009,81,18.1,5.4,0,26.3,10.9,78.4,22.8,115.3,0,65.8,7.3,431.3,,,,,,,
Himachal Pradesh,Chamba,2010,17.9,58.8,17.1,44,73.3,82.4,232.9,358.4,137.9,8.4,5.2,50.9,1087.2,,,,,,,
Himachal Pradesh,Hamirpur,2004,140.6,21.6,0,41.8,47,137.1,303.6,319.3,98.3,138.8,3.1,38.7,1289.9,,,,,,,
Himachal Pradesh,Hamirpur,2005,70.2,166.8,74.4,9.7,23,57.9,407.6,298.1,141.7,3.2,0,0,1252.6,,,,,,,
Himachal Pradesh,Hamirpur,2006,57.2,2.1,99.7,20.3,112,166.5,482.9,394.9,189,31.7,7,28,1591.3,,,,,,,
Himachal Pradesh,Hamirpur,2007,0,136.8,163.1,41.2,33.1,129.7,247.2,548.5,95.2,2.1,0,19.7,1416.6,,,,,,,
Himachal Pradesh,Hamirpur,2008,41.9,46.8,0,47.9,57.9,359.1,325.8,396.1,111.8,30.4,0,1,1418.7,,,,,,,
Himachal Pradesh,Hamirpur,2009,17.3,20.1,26.9,43.5,49.1,55.2,330.5,403.7,196.3,9.4,10.8,0,1162.8,,,,,,,
Himachal Pradesh,Hamirpur,2010,11.8,52.2,5.8,4.7,38.2,118.1,325.1,346.4,250.2,12.9,13.3,67.7,1246.4,,,,,,,
Himachal Pradesh,Kangra,2004,112.9,13.7,0,31.4,35.3,133.9,364.4,377.8,111.1,125.2,6.1,32.1,1343.9,,,,,,,
Himachal Pradesh,Kangra,2005,71.9,156.3,83.2,7.1,11.3,95.7,482.2,315.7,240.5,6.9,0,0,1470.8,,,,,,,
Himachal Pradesh,Kangra,2006,58.2,24.2,80,11.9,96.3,240.5,532.2,436.3,189.3,46.6,10.9,40.2,1766.6,,,,,,,
Himachal Pradesh,Kangra,2007,0,126.8,195.5,11.4,50,241.9,388.1,398.4,172.4,2.1,3.4,20,1610.0,,,,,,,
Himachal Pradesh,Kangra,2008,61.9,58.7,1.6,40.3,74.3,488.8,475.2,486.2,69.6,45.2,0,3.5,1805.3,,,,,,,
Himachal Pradesh,Kangra,2009,30.1,35.1,29,55.6,33.9,52.3,402.8,329.4,162.1,13.5,65.7,0.4,1209.9,,,,,,,
Himachal Pradesh,Kangra,2010,17.3,66,12.3,10.7,50.4,123.9,339.9,658.3,249.5,22.4,8.2,52.3,1611.2,,,,,,,
Himachal Pradesh,Kinnaur,2004,29.3,37.1,2.8,45.6,19.5,2.9,25.9,51.7,5.9,22.4,0,12.8,255.9,,,,,,,
Himachal Pradesh,Kinnaur,2005,123.9,137.6,76,19,20.7,13.7,132.1,14.5,104.4,1.9,0,0,643.8,,,,,,,
Himachal Pradesh,Kinnaur,2006,0.5,0,41.8,83.1,14.8,22.3,57.6,42,21.1,2.3,5.3,42.8,333.6,,,,,,,
Himachal Pradesh,Kinnaur,2007,0,116.2,165.9,5.1,28.8,19.2,61.3,82.8,71.9,25.7,0.4,51.2,628.5,,,,,,,
Himachal Pradesh,Kinnaur,2008,227,52.4,18.4,60.8,21.4,33.9,28.7,75.9,169.9,1.1,3.1,42.5,735.1,,,,,,,
Himachal Pradesh,Kinnaur,2009,29.9,36.5,12.6,59.8,65.3,26.8,49.4,19.3,205.9,19.6,24.8,22.1,572,,,,,,,
Himachal Pradesh,Kinnaur,2010,37.1,107.2,63.2,113.1,118.1,80,130.7,132.4,203.9,26.3,13.6,44.2,1069.8,,,,,,,
