State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,,,
Jharkhand,Bokaro,2004,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Bokaro,2005,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Bokaro,2006,N.A.,N.A.,N.A.,N.A.,N.A.,23.5,308.7,236.2,370.5,7.9,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Bokaro,2007,N.A.,N.A.,N.A.,15.3,48.8,9.3,420.2,325.4,272.2,9.8,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Bokaro,2008,N.A.,N.A.,N.A.,N.A.,N.A.,258.6,433.7,256.9,235.6,24.2,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Bokaro,2009,N.A.,N.A.,N.A.,N.A.,N.A.,79.9,210.4,320.6,335,57,17.7,0,N.A.,,,,,,,,,,,,
Jharkhand,Bokaro,2010,0.6,24.8,0,18.2,73,58.2,304.5,245.2,263.4,77.8,3.4,27,1096.1,,,,,,,,,,,,
Jharkhand,Dhanbad,2004,9,0,4.1,78.3,71.3,212.2,193.3,272.8,193.6,38.9,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Dhanbad,2005,N.A.,N.A.,N.A.,N.A.,N.A.,3.5,392.7,86.8,111.1,11.9,0,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Dhanbad,2006,N.A.,N.A.,N.A.,N.A.,N.A.,35.8,283.5,233.3,263.8,10,N.A.,0,N.A.,,,,,,,,,,,,
Jharkhand,Dhanbad,2007,N.A.,N.A.,N.A.,9.9,52.3,63.7,621,474.4,329.3,26,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Dhanbad,2008,N.A.,N.A.,0,N.A.,N.A.,165.9,442.1,195.3,174.5,39.7,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Dhanbad,2009,N.A.,N.A.,N.A.,N.A.,N.A.,81.8,257.2,284.1,272.9,102.1,1.5,0,N.A.,,,,,,,,,,,,
Jharkhand,Dhanbad,2010,7,0,0,4.6,28.1,152.8,171.2,171.5,253.4,49.1,3.7,38.5,879.9,,,,,,,,,,,,
Jharkhand,East Singbhum,2004,0,15.5,11.5,61.1,64.8,191.8,249.2,516.8,161,75.2,0,0,1346.9,,,,,,,,,,,,
Jharkhand,East Singbhum,2005,25.5,24.8,21.1,7.2,68.9,156.6,246.8,163.4,152.8,137.3,0,67.3,1071.7,,,,,,,,,,,,
Jharkhand,East Singbhum,2006,0.3,0,2.3,42.5,193.5,351.8,706.3,331.2,377.5,29.6,17.4,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,East Singbhum,2007,0,64.8,N.A.,40.9,10.8,146.5,646.4,498.5,374.4,27.2,32.3,0,N.A.,,,,,,,,,,,,
Jharkhand,East Singbhum,2008,30.8,7.5,8.6,46.4,85.4,655.1,275.6,313.2,200.3,5.4,0,0,1628.3,,,,,,,,,,,,
Jharkhand,East Singbhum,2009,2.9,0,11,0.4,130.8,66.8,396,228.1,268,153.5,22.3,6.3,1286.1,,,,,,,,,,,,
Jharkhand,East Singbhum,2010,0.5,6.2,5.8,10.4,74.1,51.7,99.6,133.1,137.2,48.3,10.6,38.6,616.1,,,,,,,,,,,,
Jharkhand,Giridih,2004,0,0,0,0,0,199.1,179.6,224.1,275.9,148.9,0,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Giridih,2005,N.A.,0,0,10.2,38.6,79.2,313.6,110.7,115.5,41.8,0,0,N.A.,,,,,,,,,,,,
Jharkhand,Giridih,2006,0,0,0,20.4,119.8,292.1,291.2,234,404.5,40.1,0,0,1402.1,,,,,,,,,,,,
Jharkhand,Giridih,2007,0,83.8,N.A.,11,48,132.6,588.8,326.5,350.9,59.5,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Giridih,2008,0,0,N.A.,6.2,0,223.8,508.5,262.6,189.7,23.7,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Giridih,2009,N.A.,N.A.,N.A.,N.A.,N.A.,77.7,157.6,386.3,309.9,83.4,11.7,0,N.A.,,,,,,,,,,,,
Jharkhand,Giridih,2010,1.1,N.A.,8.6,10,85.6,102.7,212.2,260.2,220.8,55.8,4.4,32,N.A.,,,,,,,,,,,,
Jharkhand,Godda,2004,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Godda,2005,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Godda,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,492,N.A.,3,0,N.A.,,,,,,,,,,,,
Jharkhand,Godda,2007,N.A.,27,17,0,N.A.,211,593.1,200,N.A.,N.A.,0,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Godda,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Godda,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,69,175,35.9,73.5,0,0,N.A.,,,,,,,,,,,,
Jharkhand,Godda,2010,0,N.A.,N.A.,N.A.,N.A.,33.1,212.9,176.9,130.5,13.5,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Gumla,2004,N.A.,N.A.,N.A.,N.A.,N.A.,73.6,376.9,348.3,0,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Gumla,2005,N.A.,N.A.,N.A.,N.A.,N.A.,164,134.7,305.7,198.3,14.9,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Gumla,2006,0,N.A.,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Gumla,2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Gumla,2008,N.A.,N.A.,74.2,N.A.,N.A.,N.A.,533,278.2,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Gumla,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,166,109.7,44.4,18.7,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Gumla,2010,N.A.,N.A.,N.A.,N.A.,N.A.,92.1,234.2,211.2,245.4,147.6,0,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Hazaribagh,2004,17.7,0,0.6,63.6,24.7,239.8,251.1,263.2,381.1,85.5,0,0.9,1328.2,,,,,,,,,,,,
Jharkhand,Hazaribagh,2005,N.A.,10.8,0,0.9,0,22.2,216.4,281.4,156.3,0,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Hazaribagh,2006,N.A.,N.A.,N.A.,N.A.,N.A.,65.8,278.7,211.3,421.5,3.1,N.A.,0,N.A.,,,,,,,,,,,,
Jharkhand,Hazaribagh,2007,N.A.,N.A.,6.4,4.9,57.3,32.3,505,301.9,274.3,57.7,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Hazaribagh,2008,N.A.,0,0,23.6,13.8,212.4,526,497.4,262.7,21.4,10.8,0,N.A.,,,,,,,,,,,,
Jharkhand,Hazaribagh,2009,30.4,0,0,0,0,84.2,241.7,293.9,345.4,34.6,10.7,0,1040.9,,,,,,,,,,,,
Jharkhand,Hazaribagh,2010,2.3,0,3,0,54,140.2,105.4,232.2,98.3,43.4,7.8,48.4,735,,,,,,,,,,,,
Jharkhand,Koderma,2004,0,N.A.,0,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Koderma,2005,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Koderma,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,454,15,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Koderma,2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Koderma,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,9.6,N.A.,N.A.,N.A.,,,,,,,,,,,,
