State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,,
Meghalaya,East Garo Hills,2004,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,
Meghalaya,East Garo Hills,2005,N.A.,1.8,136.9,116.6,0,43,671.3,447.9,129.6,506.6,0,0,N.A.,,,,,,,,,,,
Meghalaya,East Garo Hills,2006,0,23.2,2.4,167.4,242.6,401.1,282.9,194.4,346.9,73.1,12,8.1,1754.1,,,,,,,,,,,
Meghalaya,East Garo Hills,2007,0,40.4,32.5,214.6,132.8,705.5,945.1,432.3,524.9,203.8,38.9,0,3270.8,,,,,,,,,,,
Meghalaya,East Garo Hills,2008,30.7,6.1,147.1,205,302.6,651.4,794.4,622.5,159.8,243.1,0,0,3162.7,,,,,,,,,,,
Meghalaya,East Garo Hills,2009,0,0,38.5,98.1,340.1,462.7,687.3,1120.4,56.8,255.9,0,0,3059.8,,,,,,,,,,,
Meghalaya,East Garo Hills,2010,0,0,102.1,549.5,365.6,301.1,619.5,210.6,160.9,176.9,0,0,2486.2,,,,,,,,,,,
Meghalaya,East Khasi Hills,2004,8.5,13,465.5,1108.2,1053.8,1150.2,3079,1060.1,782,1174.1,22.6,18,9935.0,,,,,,,,,,,
Meghalaya,East Khasi Hills,2005,13.2,12.7,342.4,273.8,609.2,1276.2,1396.8,1585.7,295.2,429.1,3.7,1.9,6239.9,,,,,,,,,,,
Meghalaya,East Khasi Hills,2006,0.2,88,29.2,378.7,833.4,1433.3,817.6,368.9,576.1,37.9,27.8,9.4,4600.5,,,,,,,,,,,
Meghalaya,East Khasi Hills,2007,0,75.1,18.2,527.9,592.4,1714.6,2997.5,643.1,1326.1,522.1,171.8,0.3,8589.1,,,,,,,,,,,
Meghalaya,East Khasi Hills,2008,40.6,21.5,233.7,257,295.7,1211.4,2035,1899.8,591.5,292,2.7,4.3,6885.2,,,,,,,,,,,
Meghalaya,East Khasi Hills,2009,0,45,59,254.8,659.5,766.9,1482,1432.1,399.2,284.9,2.2,0.7,5386.3,,,,,,,,,,,
Meghalaya,East Khasi Hills,2010,0,0.5,418.7,1427.4,757.4,1883.4,1385.8,1188.9,714.6,478,15,21.7,8291.4,,,,,,,,,,,
Meghalaya,Jaintia Hills,2004,3,3.9,68,247.4,546,545.2,2372.8,377.2,371.4,829.4,1.2,3,5368.5,,,,,,,,,,,
Meghalaya,Jaintia Hills,2005,15.4,7,222.6,413.8,224.2,435.4,546,730.8,142,373.6,21.6,13.2,3145.6,,,,,,,,,,,
Meghalaya,Jaintia Hills,2006,0,11,66.8,152.6,756.3,507.1,408.7,243,345.2,229,43,15.6,2778.3,,,,,,,,,,,
Meghalaya,Jaintia Hills,2007,0,87.4,0.8,102.4,134.4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,
Meghalaya,Jaintia Hills,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,
Meghalaya,Jaintia Hills,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,
Meghalaya,Jaintia Hills,2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
