State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,
Nagaland,Kohima,2004,2.9,3.5,10.6,217,174.5,209.2,547.9,237.6,285.2,161,15.3,0.2,1864.9,,,,,,,,,,
Nagaland,Kohima,2005,7.6,33.3,101.2,55.4,171.1,263.8,175.6,346.1,255.7,147.7,4.5,8.3,1570.3,,,,,,,,,,
Nagaland,Kohima,2006,0,22.7,10.6,85,214,309.8,234.9,102.5,261.3,83.5,25.4,10.4,1360.1,,,,,,,,,,
Nagaland,Kohima,2007,1.3,63.9,23.3,103.2,243.9,286.7,318.1,458.3,196.5,195.2,77.7,7.3,1975.4,,,,,,,,,,
Nagaland,Kohima,2008,41.9,5.4,64.5,37.4,182,350.3,406.4,300.5,349.8,131.1,0,6.4,1875.7,,,,,,,,,,
Nagaland,Kohima,2009,0,7.9,24.6,33.7,146.6,161.5,243.7,367.1,190.1,122.1,10.5,0,1307.8,,,,,,,,,,
Nagaland,Kohima,2010,2.4,13,60.9,84.1,98.9,329.3,451.6,516.8,228.5,73.7,1,21.2,1881.4,,,,,,,,,,
Nagaland,Mon,2004,14,14,20,10.6,N.A.,242,447,164,83.2,193,0,0,N.A.,,,,,,,,,,
Nagaland,Mon,2005,N.A.,40,360,163,73,108,168.5,N.A.,N.A.,N.A.,N.A.,13,N.A.,,,,,,,,,,
Nagaland,Mon,2006,7.4,103.3,11.4,316,176.8,183.4,257.6,190.8,299.6,N.A.,18.8,9.2,N.A.,,,,,,,,,,
Nagaland,Mon,2007,0,0,72.6,279.6,158.8,349.6,N.A.,386,405,N.A.,N.A.,13.5,N.A.,,,,,,,,,,
Nagaland,Mon,2008,N.A.,N.A.,117,0,206.8,N.A.,N.A.,N.A.,152.1,N.A.,N.A.,0,N.A.,,,,,,,,,,
Nagaland,Mon,2009,N.A.,6.2,41,90.6,97.8,145.9,N.A.,N.A.,164,118.4,31,N.A.,N.A.,,,,,,,,,,
Nagaland,Mon,2010,0.5,7.1,9,N.A.,N.A.,N.A.,N.A.,N.A.,282.5,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,
Nagaland,Phek,2004,2.2,2.8,7,275.6,126.7,215.8,450,224.5,253.9,205.3,17,0,1780.8,,,,,,,,,,
Nagaland,Phek,2005,2.4,29.8,143.8,61.9,227.4,294.2,235,161,108.2,166.2,4.4,23.4,1457.7,,,,,,,,,,
Nagaland,Phek,2006,0,15.6,7.8,127.2,109,232.2,211.4,100.2,281.4,76.6,21.8,0,1183.2,,,,,,,,,,
Nagaland,Phek,2007,0,81,6.8,88.4,200.4,306.4,325.4,213.4,217.8,185.1,64.2,13.8,1702.7,,,,,,,,,,
Nagaland,Phek,2008,40,10,43.6,31.8,189,353.6,169.6,225.6,143,131.8,0.4,5.8,1344.2,,,,,,,,,,
Nagaland,Phek,2009,1.4,6.8,9.6,57.8,164.4,157.2,182.2,273.8,84.8,109.4,1.2,0,1048.6,,,,,,,,,,
Nagaland,Phek,2010,0,0.6,0,0,109.5,339.8,253.6,288,212.6,193,5.8,0,1402.9,,,,,,,,,,
Nagaland,Tuensang,2004,24.8,N.A.,4.2,4.3,63.9,116.2,171.9,102,122.3,85,7.6,1.6,N.A.,,,,,,,,,,
Nagaland,Tuensang,2005,N.A.,2.1,49.8,25.1,78,76.4,118.9,86.5,66.4,105,N.A.,3.8,N.A.,,,,,,,,,,
Nagaland,Tuensang,2006,0,1.6,0,37.2,58.8,130.9,173.2,49.6,83.2,44,5.5,0,584,,,,,,,,,,
Nagaland,Tuensang,2007,0.1,0,10.2,43,105.2,111.4,257.8,152.6,167.9,N.A.,45.6,30,N.A.,,,,,,,,,,
Nagaland,Tuensang,2008,33.4,3.8,5,21,26.2,197,138.2,134.9,48.9,91.4,0,2.3,702.1,,,,,,,,,,
Nagaland,Tuensang,2009,0,3.5,13.7,29.7,64.2,115.4,184.5,207.3,128.9,74.2,0,0,821.4,,,,,,,,,,
Nagaland,Tuensang,2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,
,,,182.3,477.9,1228.2,2278.6,3466.9,5586,6123,5289.1,5072.8,2692.7,357.7,170.2,32925.4,,,,,,,,,,
