State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,,,,,,,
Rajasthan,Ajmer,2004,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7,,,,,,,,,,,,,,,,
Rajasthan,Ajmer,2005,0.2,2.9,9.5,28.1,2.4,57,148.1,79.9,170.6,0,0,0,498.7,,,,,,,,,,,,,,,,
Rajasthan,Ajmer,2006,0,0,0.7,0,29,48.3,101.7,219.4,43.4,0.1,0,0,442.6,,,,,,,,,,,,,,,,
Rajasthan,Ajmer,2007,0.4,10.6,4.5,0.5,0.9,47.1,172.9,92.6,46.3,0,0,1.8,377.6,,,,,,,,,,,,,,,,
Rajasthan,Ajmer,2008,0,0,0.4,5.7,15.4,89.7,86.4,189.7,85.9,19.1,0,0,492.3,,,,,,,,,,,,,,,,
Rajasthan,Ajmer,2009,0.1,0,1.3,0.3,1.5,13.6,152,60.5,18.9,0.4,5,0,253.6,,,,,,,,,,,,,,,,
Rajasthan,Ajmer,2010,0.5,1.1,0.4,0.6,0.1,5.3,152.1,277.5,113,0.6,109.3,1.2,661.7,,,,,,,,,,,,,,,,
Rajasthan, Alwar,2004,2.9,0,0,1.4,13.1,20.9,33.5,293,6.5,52.4,4.9,0,428.6,,,,,,,,,,,,,,,,
Rajasthan, Alwar,2005,0.6,10.1,21.3,2.4,9.3,138.8,300.5,43,159.6,0,0,0,685.6,,,,,,,,,,,,,,,,
Rajasthan, Alwar,2006,0,0.1,22.2,0.1,6.3,34.9,265,59.3,57.5,2,0,0.6,448.0,,,,,,,,,,,,,,,,
Rajasthan, Alwar,2007,0.5,50,43.3,9.8,4.3,56.4,105.6,158,127,0,0,2.3,557.2,,,,,,,,,,,,,,,,
Rajasthan, Alwar,2008,0,0,0,13.6,79.1,296.1,127.9,153.3,210.9,0,0,0,880.9,,,,,,,,,,,,,,,,
Rajasthan, Alwar,2009,0,0,1.9,1.4,1.8,33.2,144.5,156.2,140.7,1.4,13.1,1.1,495.3,,,,,,,,,,,,,,,,
Rajasthan, Alwar,2010,5.1,8.3,1.8,0,0.4,40.2,213.4,272.2,232.2,3.5,36.7,6.7,820.5,,,,,,,,,,,,,,,,
Rajasthan, Banswara,2004,0,0,0,0,11,108.7,160.1,739.6,32.7,28.1,0,0,1080.2,,,,,,,,,,,,,,,,
Rajasthan, Banswara,2005,0,0,0,0,2.3,64.4,327.9,141.7,222.1,0,0,0,758.4,,,,,,,,,,,,,,,,
Rajasthan, Banswara,2006,0,0,0.3,0,0,111.5,526,839.4,318.4,4.9,0.7,0,1801.2,,,,,,,,,,,,,,,,
Rajasthan, Banswara,2007,0,0,0,0,0,64.6,557.9,425.4,195.3,0,0,0,1243.2,,,,,,,,,,,,,,,,
Rajasthan, Banswara,2008,0,0,0,0,0,77.1,176,147,84.7,0.9,2.9,0,488.6,,,,,,,,,,,,,,,,
Rajasthan, Banswara,2009,0,0,0,0,0,47,317.9,222.5,117.2,11.9,7.7,0.8,725,,,,,,,,,,,,,,,,
Rajasthan, Banswara,2010,0,0,0,0,0,15.8,175,303,93.7,0.3,16.8,0,604.6,,,,,,,,,,,,,,,,
Rajasthan, Baran,2004,0,0,0,0,4.4,84.6,113.3,391.8,16.2,37,0,0,647.3,,,,,,,,,,,,,,,,
Rajasthan, Baran,2005,0.8,0,9.7,0.3,0,55,496.2,86.8,143.2,0,0,0,792.0,,,,,,,,,,,,,,,,
Rajasthan, Baran,2006,0,0,13.9,0,0,87.4,232.3,276.7,120.4,0,0,0,730.7,,,,,,,,,,,,,,,,
Rajasthan, Baran,2007,0,13,0,0,0,108.4,196.7,143.3,99.6,0,0,0,561.0,,,,,,,,,,,,,,,,
Rajasthan, Baran,2008,0,0,0,0,3.6,275.2,209.4,175.4,159.6,0,0,0,823.2,,,,,,,,,,,,,,,,
Rajasthan, Baran,2009,0,0,0,0,0,27.1,226,227.5,101,47.5,29.1,3.2,661.4,,,,,,,,,,,,,,,,
Rajasthan, Baran,2010,0,0,0,0,0,35,205.8,187,129.1,0,43.6,0,600.5,,,,,,,,,,,,,,,,
Rajasthan,Barmer,2004,0,0,0,1.8,0,32.4,14.5,89.2,8.7,34.7,0,0.2,181.5,,,,,,,,,,,,,,,,
Rajasthan,Barmer,2005,0.3,0.9,0,3.8,12.2,26.2,50.7,43.2,48.4,0,0,0,185.7,,,,,,,,,,,,,,,,
Rajasthan,Barmer,2006,0,0,35.5,2.6,2.8,22.2,64.5,509,60.6,0.2,0,0,697.4,,,,,,,,,,,,,,,,
Rajasthan,Barmer,2007,0,22.6,10.8,0,6.6,22.1,63.9,75.7,37.9,0,0,4.2,243.8,,,,,,,,,,,,,,,,
Rajasthan,Barmer,2008,0,0,0.5,18.3,0,30,83.7,136.7,4.6,0,0,6.4,280.2,,,,,,,,,,,,,,,,
Rajasthan,Barmer,2009,0,0,8.1,0.1,0.8,13.3,118.4,34.4,6.3,0,0,0,181.4,,,,,,,,,,,,,,,,
Rajasthan,Barmer,2010,1.1,0,0,0,0,18.7,174.5,174.7,108.6,0,29,0.5,507.1,,,,,,,,,,,,,,,,
Rajasthan,Bharatpur,2004,8.2,0,0,3,28.4,72.2,59.7,273.4,19.7,41.1,0,0,505.7,,,,,,,,,,,,,,,,
Rajasthan,Bharatpur,2005,0.2,7.2,16.8,1.2,3.9,20,486.9,92.2,69.7,0,0,0,698.1,,,,,,,,,,,,,,,,
Rajasthan,Bharatpur,2006,0,0,14.3,0,13.1,38.6,163.6,61.8,72.4,0.8,0,0.5,365.1,,,,,,,,,,,,,,,,
Rajasthan,Bharatpur,2007,0,7.8,7.2,0.5,1.7,115.4,111.4,99.2,79.1,0,0,0,422.3,,,,,,,,,,,,,,,,
Rajasthan,Bharatpur,2008,0,0,0,0,0,231.6,264.5,188.8,99.5,0,0,0,784.4,,,,,,,,,,,,,,,,
Rajasthan,Bharatpur,2009,0,0,0,0,0,29,185.1,188.4,115.8,9.8,27,0.4,555.5,,,,,,,,,,,,,,,,
Rajasthan,Bharatpur,2010,3.4,1.4,0,1.4,0.5,17.9,172.2,184.5,328.6,0,40.5,0.6,751,,,,,,,,,,,,,,,,
Rajasthan, Bhilwara,2004,0,0,0,0,13.7,37.5,168.8,592.6,32.7,32.5,0,0,877.8,,,,,,,,,,,,,,,,
Rajasthan, Bhilwara,2005,0,0,0,21.3,5,59,166.2,73.1,238.9,0,0,0,563.5,,,,,,,,,,,,,,,,
Rajasthan, Bhilwara,2006,0,0,6.5,0,12.8,73,172.2,390.5,68.3,0,0,0,723.3,,,,,,,,,,,,,,,,
Rajasthan, Bhilwara,2007,0,23,5.9,0,0.1,44.6,318.9,122.3,55.9,0,0,0,570.7,,,,,,,,,,,,,,,,
Rajasthan, Bhilwara,2008,0,0,0,13.1,4.1,94.3,128.7,144.3,120.7,0,0.1,0,505.3,,,,,,,,,,,,,,,,
Rajasthan, Bhilwara,2009,0,0,7.4,0,1.3,25.3,214.6,88.8,12.5,4.5,4.2,0,358.6,,,,,,,,,,,,,,,,
Rajasthan, Bhilwara,2010,2.2,0,0,0,0,29.5,147.4,262.1,126.7,0,132.4,5.5,705.8,,,,,,,,,,,,,,,,
Rajasthan, Bikaner,2004,3.5,0,0,4.1,0.8,31.6,2.5,59.4,4.5,9.3,0,2.5,118.2,,,,,,,,,,,,,,,,
Rajasthan, Bikaner,2005,1.8,27.8,13.1,2.9,6.5,39.6,105,4.6,65.8,0,0,0,267.1,,,,,,,,,,,,,,,,
Rajasthan, Bikaner,2006,0,0,13.1,0.7,9.9,55.1,29.5,43.3,24.6,22.6,0,1.7,200.5,,,,,,,,,,,,,,,,
