State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,
Tripura,North Tripura,2004,1.1,0.8,3.1,694.5,305.1,385.8,767.1,298.9,409.4,67.3,0,0.2,2933.3,,,,,
Tripura,North Tripura,2005,0,120.7,283.7,195.4,717,223,537,234.2,250.5,201.1,0.8,1.2,2764.6,,,,,
Tripura,North Tripura,2006,0,0,4.6,257.2,476.7,729.2,254,323.4,160.9,39.2,8.8,0.7,2254.7,,,,,
Tripura,North Tripura,2007,0,90.8,79.6,349.9,325.7,590,368,322.3,390.8,151.2,85.7,0,2754,,,,,
Tripura,North Tripura,2008,19.9,21.8,47.3,83.5,198.5,326.7,234.5,383.5,257.3,331.7,0,0,1904.7,,,,,
Tripura,North Tripura,2009,0,5.3,28,243.4,469.7,282.4,258.2,393.1,279.4,148.2,13.6,0,2121.3,,,,,
Tripura,North Tripura,2010,0,3.4,132.2,474.1,664.7,541.2,363.6,369.6,335.1,200.5,4.2,43.1,3131.7,,,,,
Tripura,South Tripura,2004,0,1.1,1.9,404.4,249.3,591.8,396,182.9,545,263.3,0,0,2635.7,,,,,
Tripura,South Tripura,2005,N.A.,0,198,153.3,272.4,187.8,389.2,498.1,340.8,165.1,1.5,1.7,N.A.,,,,,
Tripura,South Tripura,2006,0,0,0,87.1,487.7,375.9,355.5,196.9,292.3,12.8,6.7,0,1814.9,,,,,
Tripura,South Tripura,2007,0,70.2,12.5,154.3,127.5,625.5,967.5,353.7,571.1,309.7,78.3,0,3270.3,,,,,
Tripura,South Tripura,2008,28.8,4,37.3,7.5,267.5,380,527.8,379.6,159.5,288,0,0,2080,,,,,
Tripura,South Tripura,2009,0,4,8.4,119.6,421.6,306.9,673.2,345.9,163.5,261.1,10.1,0,2314.3,,,,,
Tripura,South Tripura,2010,0,28,56.1,36,295.1,500.9,240.5,217.5,164.9,323.7,0.1,14.4,1877.2,,,,,
Tripura,West Tripura,2004,4,5.8,8.5,183.6,171.4,693.8,397.8,182.7,520.6,150.7,0,0,2318.9,,,,,
Tripura,West Tripura,2005,N.A.,5.8,199.4,99.8,317.1,166.5,317.7,403.3,286.8,200.9,0,0.6,N.A.,,,,,
Tripura,West Tripura,2006,0,0,0,184.7,574.1,395.5,158.5,291.2,254.9,93.9,2,0,1954.8,,,,,
Tripura,West Tripura,2007,0,39.4,20.8,339.6,285,631.1,694.9,214.4,265.9,239.9,104.8,0,2835.8,,,,,
Tripura,West Tripura,2008,40.8,21.1,56.1,24,215.3,234.8,352.5,302.4,152.7,198.1,0,0.1,1597.9,,,,,
Tripura,West Tripura,2009,0,3.2,2,46.1,284.2,281.1,499.5,379.4,214.2,113.6,39.1,0,1862.4,,,,,
Tripura,West Tripura,2010,0,7.9,98.1,134.8,377.1,455.8,160.4,195.1,224.1,279.3,5.3,34.3,1972.2,,,,,
