State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,,,,,,,,,,,
West Bengal,BANKURA,2004,0.3,0,14,46.2,83.2,227.6,270.6,529.3,239.1,149.3,0,0.2,1559.8,,,,,,,,,,,,,,,,,,,,
West Bengal,BANKURA,2005,31,35.6,53.4,53.4,62.2,194.6,261,238.1,193,197.9,0,23.4,1343.6,,,,,,,,,,,,,,,,,,,,
West Bengal,BANKURA,2006,0,0,2.3,48.3,113.5,237.7,383.1,292.8,288.3,15.2,13.2,0,1394.4,,,,,,,,,,,,,,,,,,,,
West Bengal,BANKURA,2007,0,44.8,42.6,32.1,97.6,210.9,623.2,302.7,418.4,11,31.3,0,1814.6,,,,,,,,,,,,,,,,,,,,
West Bengal,BANKURA,2008,26,5.4,3.3,39.3,93.4,398.6,438.5,302.8,231.7,18.9,0,0,1557.9,,,,,,,,,,,,,,,,,,,,
West Bengal,Bankura,2009,4.8,0,27.9,0.7,196.7,56.8,307.3,325.9,311.7,55.2,13.1,0,1300.1,,,,,,,,,,,,,,,,,,,,
West Bengal,Bankura,2010,4.8,33.9,31,31.4,118.4,188.6,180.7,135.7,199.5,71.4,7.4,37.8,1040.6,,,,,,,,,,,,,,,,,,,,
West Bengal,BIRBHUM,2004,7,1.8,51.9,58.5,110.5,225.2,207.8,364.6,387.7,246.7,0,2.8,1664.5,,,,,,,,,,,,,,,,,,,,
West Bengal,BIRBHUM,2005,52.1,21.3,77.4,77.4,69.2,179.7,482.4,220.6,106.9,219.3,0,5.8,1512.1,,,,,,,,,,,,,,,,,,,,
West Bengal,BIRBHUM,2006,0,0,20.5,55.8,93,309.8,621.9,224,466.6,24.6,14.9,0,1831.1,,,,,,,,,,,,,,,,,,,,
West Bengal,BIRBHUM,2007,0,55.2,60,47.2,69.6,213.5,507.8,284.8,426.8,43,4.5,0,1712.4,,,,,,,,,,,,,,,,,,,,
West Bengal,BIRBHUM,2008,15.1,6.3,9.1,24.7,96.8,294.1,396.8,299.8,202.4,54.2,0,0,1399.3,,,,,,,,,,,,,,,,,,,,
West Bengal, Birbhum,2009,1.8,9,7.8,0,231.3,75.9,231.3,303.7,282.6,93.2,2,0,1238.6,,,,,,,,,,,,,,,,,,,,
West Bengal, Birbhum,2010,1.8,12.3,9.2,25.9,66.2,214.7,224.3,121.7,221.6,67.6,8.8,49.8,1023.9,,,,,,,,,,,,,,,,,,,,
West Bengal,BURDWAN,2004,7.5,0,24.3,53.1,92.8,227.4,181.6,309.7,240.2,142.3,0,3.3,1282.2,,,,,,,,,,,,,,,,,,,,
West Bengal,BURDWAN,2005,30.6,24.4,46.4,46.4,51.4,171.1,310.4,199.4,133.2,242.2,0,9.6,1265.1,,,,,,,,,,,,,,,,,,,,
West Bengal,BURDWAN,2006,0,0,5.7,72.2,113.1,174.6,517,282.6,305.9,26.3,9.2,0,1506.6,,,,,,,,,,,,,,,,,,,,
West Bengal,BURDWAN,2007,0,48.4,40.6,27,71.7,245.9,497.1,288.6,451.4,50.5,33.6,0,1754.8,,,,,,,,,,,,,,,,,,,,
West Bengal,BURDWAN,2008,23.1,13.3,21.3,37.3,125.2,375.5,420.1,297.9,268.3,56.3,0,0,1638.3,,,,,,,,,,,,,,,,,,,,
West Bengal, Burdwan,2009,0,0,21.3,0.3,228.8,48.6,254.4,371.3,302.7,69,0.2,0,1296.6,,,,,,,,,,,,,,,,,,,,
West Bengal, Burdwan,2010,0,8.2,10,13.1,110,223.2,190.8,122.8,209.1,49.9,8.3,43.8,989.2,,,,,,,,,,,,,,,,,,,,
West Bengal,COOCH BEHAR,2004,6.8,1,5.1,195,338.4,548.6,1099.8,263.5,518.6,179.1,6.5,0,3162.4,,,,,,,,,,,,,,,,,,,,
West Bengal,COOCH BEHAR,2005,25.4,6.8,66.2,184.7,346.5,675.8,631.3,650.8,276,421.3,0.2,0,3285,,,,,,,,,,,,,,,,,,,,
West Bengal,COOCH BEHAR,2006,0.2,2.2,6,44.9,343.2,588.5,652.8,138.9,389.5,157.1,15.5,5.3,2344.1,,,,,,,,,,,,,,,,,,,,
West Bengal,COOCH BEHAR,2007,0,49.7,22.1,184.6,220.5,418.4,613.2,394,429.6,88.1,0,0.1,2420.3,,,,,,,,,,,,,,,,,,,,
West Bengal,COOCH BEHAR,2008,40.7,8.6,63.5,136.4,219.9,446.5,622.8,854.5,275.3,162.3,0,0.1,2830.6,,,,,,,,,,,,,,,,,,,,
West Bengal, Cooch behar,2009,0,0,40.7,190.4,263,418,357,598.8,170.7,275.1,2.2,0.2,2316.1,,,,,,,,,,,,,,,,,,,,
West Bengal, Cooch behar,2010,0,0,64.4,286.8,442.4,688.4,814.7,500,478.5,57.9,5.8,0,3338.9,,,,,,,,,,,,,,,,,,,,
West Bengal,DARJEELING,2004,17.2,17.1,45.8,151.4,233.1,592.5,799.7,352,479.8,121.1,9,1.6,2820.3,,,,,,,,,,,,,,,,,,,,
West Bengal,DARJEELING,2005,15.1,5.6,102.6,70.3,131.1,416.6,608.1,596.4,116.1,162.1,6.1,0,2230.1,,,,,,,,,,,,,,,,,,,,
West Bengal,DARJEELING,2006,0,5,6.8,114.7,225.7,449.1,666.9,446.8,659.2,172.2,6.9,4.1,2757.4,,,,,,,,,,,,,,,,,,,,
West Bengal,DARJEELING,2007,0,105.8,40.4,99.4,219.9,391.7,1064.8,567.1,723.8,68.5,1.3,2.6,3285.3,,,,,,,,,,,,,,,,,,,,
West Bengal,DARJEELING,2008,19.5,2.9,48.9,66.9,191.8,915,738.5,875.4,292.2,137.8,27.2,0,3316.1,,,,,,,,,,,,,,,,,,,,
West Bengal, Darjeeling,2009,0,0,12.9,147,398.4,350.4,765.2,759.8,265.8,307.3,0.5,1.8,3009.1,,,,,,,,,,,,,,,,,,,,
West Bengal, Darjeeling,2010,0,3.4,6.8,73.3,304.3,635.5,981.4,913.7,468.7,136.3,15.2,0,3538.6,,,,,,,,,,,,,,,,,,,,
West Bengal,HOOGHLY,2004,2,0,13.3,41.5,87.2,251.6,194.7,289.1,286.6,197.2,0,0,1363.2,,,,,,,,,,,,,,,,,,,,
West Bengal,HOOGHLY,2005,25.7,10.5,59.5,32.7,32.3,189,210.2,221.4,151.3,321.1,0,0.9,1254.6,,,,,,,,,,,,,,,,,,,,
West Bengal,HOOGHLY,2006,0,0,1.3,91.9,146,167.2,326.2,268.8,235.6,33.3,0.1,0,1270.4,,,,,,,,,,,,,,,,,,,,
