FID,TEHSIL,SUBDIVISIO,DISTRICT,STATE,SID,DID,TID,VILL_CODE,VID,NAME
4371, , , , , , , , , , 
4373, , , , , , , , , , 
4375, , , , , , , , , , 
4377,SAGAR, , , , , , , , , 
4378, ,LAKSHMIKANTPUR, , , , , , , , 
4379, , , , , , , , , , 
4381, ,LAKSHMIKANTPUR, , , , , , , , 
4383, , , , , , , , , , 
4385, , , , , , , , , , 
4387, , , , , , , , , , 
4389, , , , , , , , , , 
4391, , , , , , , , , , 
59,CARNICOBAR, ,NICOBAR,ANDAMAN & NICOBAR,35,2,1,0,3.50E+15,Car Nicobar
1753,NONCOWRY, ,NICOBAR,ANDAMAN & NICOBAR,35,2,2,0,3.50E+15,Nancowry
4348,CAMPBELLBAY, ,NICOBAR,ANDAMAN & NICOBAR,35,2, ,0, , 
81,MAYABUNDAR, ,NORTH & MIDDLE ANDAMAN,ANDAMAN & NICOBAR,35,1,2,0,3.50E+15,Mayabunder
80,RANGAT, ,NORTH & MIDDLE NICOBAR,ANDAMAN & NICOBAR,35,1,3,0,3.50E+15,Rangat
93,DIGLIPUR, ,NORTH & MIDDLE NICOBAR,ANDAMAN & NICOBAR,35,1,1,0,3.50E+15,Diglipur
4,FERARGUNJ, ,SOUTH ANDAMAN,ANDAMAN & NICOBAR,35,3,4,0,3.50E+15,Ferrargunj
5,PORT BLAIR, ,SOUTH ANDAMAN,ANDAMAN & NICOBAR,35,3,5,0,3.50E+15,Port Blair
49,LITTLE ANDAMAN, ,SOUTH ANDAMAN,ANDAMAN & NICOBAR,35,3, ,0, , 
39, ,BELLAMPALLI,ADILABAD,ANDHRA PRADESH,28,1,46,0,2.80E+15,Bellampalle
55, ,DILAWARPUR,ADILABAD,ANDHRA PRADESH,28,1,39,0,2.80E+15,Dilawarpur
62, ,ADILABAD,ADILABAD,ANDHRA PRADESH,28,1,2,0,2.80E+15,Adilabad
128, ,BHAINSA,ADILABAD,ANDHRA PRADESH,28,1,35,0,2.80E+15,Bhainsa
136, ,DAHEGAON,ADILABAD,ANDHRA PRADESH,28,1,25,0,2.80E+15,Dahegaon
141, ,KHANAPUR,ADILABAD,ANDHRA PRADESH,28,1,43,0,2.80E+15,Khanapur
176, ,GUDIHATHNUR,ADILABAD,ANDHRA PRADESH,28,1,6,0,2.80E+15,Gudihathnoor
203, ,DANDEPALLI,ADILABAD,ANDHRA PRADESH,28,1,44,0,2.80E+15,Dandepalle
207, ,MUDHOLE,ADILABAD,ANDHRA PRADESH,28,1,37,0,2.80E+15,Mudhole
208, ,ASIFABAD,ADILABAD,ANDHRA PRADESH,28,1,15,0,2.80E+15,Asifabad
242, ,BAZAR HATNUR,ADILABAD,ANDHRA PRADESH,28,1,19,0,2.80E+15,Bazarhathnoor
244, ,BELA,ADILABAD,ANDHRA PRADESH,28,1,4,0,2.80E+15,Bela
252, ,BHIMINI,ADILABAD,ANDHRA PRADESH,28,1,24,0,2.80E+15,Bhimini
257, ,BIJJUR,ADILABAD,ANDHRA PRADESH,28,1,13,0,2.80E+15,Bejjur
263, ,BOATH,ADILABAD,ANDHRA PRADESH,28,1,20,0,2.80E+15,Boath
309, ,CHENNUR,ADILABAD,ANDHRA PRADESH,28,1,52,0,2.80E+15,Chennur
387, ,JAINAD,ADILABAD,ANDHRA PRADESH,28,1,3,0,2.80E+15,Jainad
497, ,REBBANA,ADILABAD,ANDHRA PRADESH,28,1,23,0,2.80E+15,Rebbana
561, ,UTNUR,ADILABAD,ANDHRA PRADESH,28,1,17,0,2.80E+15,Utnoor
624, ,ICHODA,ADILABAD,ANDHRA PRADESH,28,1,18,0,2.80E+15,Ichoda
625, ,INDERAVELLI,ADILABAD,ANDHRA PRADESH,28,1,7,0,2.80E+15,Inderavelly
630, ,JAINUR,ADILABAD,ANDHRA PRADESH,28,1,16,0,2.80E+15,Jainoor
631, ,JAIPUR,ADILABAD,ANDHRA PRADESH,28,1,51,0,2.80E+15,Jaipur
637, ,JANNARAM,ADILABAD,ANDHRA PRADESH,28,1,30,0,2.80E+15,Jannaram
643, ,KADDAM,ADILABAD,ANDHRA PRADESH,28,1,31,0,2.80E+15,Kaddam (Peddur)
648, ,KAGAZNAGAR,ADILABAD,ANDHRA PRADESH,28,1,14,0,2.80E+15,Kagaznagar
686, ,KASIPET,ADILABAD,ANDHRA PRADESH,28,1,45,0,2.80E+15,Kasipet
690, ,KERAMERI,ADILABAD,ANDHRA PRADESH,28,1,9,0,2.80E+15,Kerameri
716, ,TANUR,ADILABAD,ANDHRA PRADESH,28,1,36,0,2.80E+15,Tanoor
784, ,KOTAPALLE,ADILABAD,ANDHRA PRADESH,28,1,47,0,2.80E+15,Kotapalle
795, ,KOUTHALA,ADILABAD,ANDHRA PRADESH,28,1,12,0,2.80E+15,Kouthala
804, ,KUBIR,ADILABAD,ANDHRA PRADESH,28,1,34,0,2.80E+15,Kubeer
817, ,KUNTALA,ADILABAD,ANDHRA PRADESH,28,1,33,0,2.80E+15,Tadwai
828, ,LAKSHETIPET,ADILABAD,ANDHRA PRADESH,28,1,49,0,2.80E+15,Luxettipet
829, ,LAKSHMANCHANDA,ADILABAD,ANDHRA PRADESH,28,1,41,0,2.80E+15,Laxmanchanda
837, ,LOKESHWARAM,ADILABAD,ANDHRA PRADESH,28,1,38,0,2.80E+15,Lokeswaram
860, ,MAMDA,ADILABAD,ANDHRA PRADESH,28,1,42,0,2.80E+15,Mamda
864, ,MANCHERIAL,ADILABAD,ANDHRA PRADESH,28,1,50,0,2.80E+15,Mancherial
865, ,MANDAMARRI,ADILABAD,ANDHRA PRADESH,28,1,48,0,2.80E+15,Mandamarri
967, ,NARNUR,ADILABAD,ANDHRA PRADESH,28,1,8,0,2.80E+15,Narnoor
978, ,NENNAL,ADILABAD,ANDHRA PRADESH,28,1,27,0,2.80E+15,Nennal
980, ,NEREDIKONDA,ADILABAD,ANDHRA PRADESH,28,1,21,0,2.80E+15,Neradigonda
985, ,NIRMAL,ADILABAD,ANDHRA PRADESH,28,1,40,0,2.80E+15,Nirmal
1006, ,SARANGAPUR,ADILABAD,ANDHRA PRADESH,28,1,32,0,2.80E+15,Sarangapur
1186, ,SIRPUR,ADILABAD,ANDHRA PRADESH,28,1,22,0,2.80E+15,Sirpur
1187, ,SIRPUR(T),ADILABAD,ANDHRA PRADESH,28,1,11,0,2.80E+15,Sirpur (T)
1197, ,TALAMADUGU,ADILABAD,ANDHRA PRADESH,28,1,5,0,2.80E+15,Talamadugu
1199, ,TAMSI,ADILABAD,ANDHRA PRADESH,28,1,1,0,2.80E+15,Tamsi
1218, ,TIRYANI,ADILABAD,ANDHRA PRADESH,28,1,29,0,2.80E+15,Tiryani
1269, ,VEMANAPALLE,ADILABAD,ANDHRA PRADESH,28,1,26,0,2.80E+15,Vemanpalle
1316, ,WANKIDI,ADILABAD,ANDHRA PRADESH,28,1,10,0,2.80E+15,Wankdi
53, ,BRAHMASAMUDRAM,ANANTHAPUR,ANDHRA PRADESH,28,22,17,0,2.82E+15,Utnoor
66, ,BATHALAPALLE,ANANTHAPUR,ANDHRA PRADESH,28,22,34,0,2.82E+15,Kubeer
114, ,AGALI,ANANTHAPUR,ANDHRA PRADESH,28,22,51,0,2.82E+15,Jaipur
154, ,AMADAGUR,ANANTHAPUR,ANDHRA PRADESH,28,22,58,0,2.82E+15,Ieej
157, ,AMARAPURAM,ANANTHAPUR,ANDHRA PRADESH,28,22,48,0,2.82E+15,Mandamarri
164, ,ANANTAPUR,ANANTHAPUR,ANDHRA PRADESH,28,22,27,0,2.82E+15,Nennal
191, ,URAVAKONDA,ANANTHAPUR,ANDHRA PRADESH,28,22,14,0,2.82E+15,Kagaznagar
198, ,GANDLAPENTA,ANANTHAPUR,ANDHRA PRADESH,28,22,39,0,2.82E+15,Dilawarpur
215, ,ATMAKURU,ANANTHAPUR,ANDHRA PRADESH,28,22,19,0,2.82E+15,Bazarhathnoor
246, ,BELUGUPPA,ANANTHAPUR,ANDHRA PRADESH,28,22,15,0,2.82E+15,Asifabad
268, ,BOMMANAHAL,ANANTHAPUR,ANDHRA PRADESH,28,22,4,0,2.82E+15,Bela
274, ,BUKKAPATNAM,ANANTHAPUR,ANDHRA PRADESH,28,22,42,0,2.82E+15,Mamda
280, ,SOMANDEPALLE,ANANTHAPUR,ANDHRA PRADESH,28,22,60,0,2.82E+15,Veepangandla
