State,District,Observation Area,Latitude,Longitude,Simple parameters,Appearance,Color,Odour,Regular Monitoring,pH,E C,Oil & Grease,Suspended Solids,Dissolved Oxygen,Chemical Oxygen Demand,Bio-chemical  Oxygen Demand (BOD),Nitrite-Nitrogen as N,Nitrate-Nitrogen as N,Nitrite-Nitrogen and Nitrate- Nitrogen (NO2 +NO3),Free Ammonia,Total Residual Chlorine,Cyanide as CN,Fluoride as F,Sulphides as S,Dissolved Phosphates as P,Sodium Absorption  Ratio (SAR),Total Coliforms,Fecal Coliforms,Special parameters,Total Phosphorous  as P,Total Kjeldal Nitrogen,Total Ammonia (NH4+NH3)-Nitrogen,Phenolic compounds   as C6H5OH,Surfactants,Organo-chlorine Pesticides,PAH,PCB and PCT,Zinc as Zn,Nickel as Ni,Copper as Cu,Hexavalent Chromium as Cr6+,Total Chromium as Cr,Arsenic as As,Lead as Pb,Cadmium as Cd,Mercury as Hg,Manganese as Mn,Iron as Fe,Vanadium as V,Selenium as Se,Boron as B
Uttar Pradesh,Agra,"
Water Works, near intake",N27°12’09.9” ,E078°01’59.0”,,Pale Yellow,15,Agreeable,,7.47,614,< 1,18,6.2,18,4,0.02,4.74,4.76,<0.1,<0.1,<0.02,0.5,< 0.1,0.9,1.54,500,7,,1.3,< 1,< 1,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,0.05,< 0.01,< 0.01,<0.05,< 0.01,< 0.01,<0.01,<0.01,<0.001,0.04,0.28,<0.01,<0.01,0.08
Uttar Pradesh,Agra,"
Hathi Ghat near Railway Bridge, Agra Fort",N27°11’26.8”,E078°01’33.7”,,Pale Yellow,10,Agreeable,,6.92,690,< 1,12,6,16,4,0.03,3.72,3.75,<0.1,<0.1,<0.02,0.6,< 0.1,0.7,1.86,900,26,,0.9,< 1,< 1,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,0.06,< 0.01,< 0.01,<0.05,< 0.01,< 0.01,<0.01,<0.01,<0.001,0.03,0.2,<0.01,<0.01,0.09
Uttar Pradesh,Agra,"
East Gate of Taj Mahal at Dasahara Ghat",N27°10’34.5”,E078°02’38.9”,,Grayish,20,Agreeable,,6.98,740,< 1,58,5.2,64,15,0.05,2.26,2.31,<0.1,<0.1,<0.02,0.6,< 0.1,1.6,1.94,6000,400,,1.9,4.2,2.8,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,0.07,< 0.01,< 0.01,<0.05,< 0.01,< 0.01,<0.01,<0.01,<0.001,0.05,0.48,<0.01,<0.01,0.1
Uttar Pradesh,Agra,"
Kailash Ghat near Kailash Village, Up Stream",N27°14’18.5”,E077°56’08.5”,,Colour less,5,Agreeable,,7.5,550,< 1,20,6.1,22,5,0.02,5.65,5.67,<0.1,<0.1,<0.02,0.5,< 0.1,0.5,1.23,1600,170,,0.8,1.6,1.2,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,0.06,< 0.01,< 0.01,<0.05,< 0.01,< 0.01,<0.01,<0.01,<0.001,0.01,0.18,<0.01,<0.01,0.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Ahmedabad,"
Naroda GIDC outlet to Mega Pipeline",N 23°04’40.0”,E072°39’50.7”,,Brown,110,Un Agreeable,,7.1,3000,2,84,<1,84,23,0.01,4.29,4.3,<0.1,<0.1,<0.02,0.9,1.92,0.79,21.28,1600,300,,0.96,29,17,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.02,<0.01,0.06,<0.05,0.06,<0.01,0.01,<0.01,<0.001,0.05,0.8,<0.01,<0.01,0.24
Gujarat,Ahmedabad,"
Kharicut upstream near Naroda GIDC",N 23°04’40.8”,E072°39’51.1’’,,Colourless,5,Agreeable,,8.1,254,<1,12,7.2,12,3,0.02,3.16,3.18,<0.1,<0.1,<0.02,0.5,<0.1,0.18,0.38,50,30,,0.28,1.4,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.1,<0.01,<0.01,0.05
Gujarat,Ahmedabad,"
Outlet of Odhav CETP, GIDC Odhav",N 23°01’27.0”,E072°38’43.3”,,Brown,140,Un Agreeable,,7.2,9500,6,72,1.4,374,80,0.23,7.45,7.68,<0.1,<0.1,<0.02,1.4,0.84,0.9,20.92,22,17,,1.28,48,29,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.09,0.05,0.09,<0.05,0.12,<0.01,0.02,<0.01,<0.001,0.18,1.6,<0.01,<0.01,0.9
Gujarat,Ahmedabad,"
Outlet of GVMM CETP, GVMM Industrial Area.",N 23°01’19.0”,E072°40’47.5”,,Light Brown,60,Un Agreeable,,6.8,7000,3,86,2.8,182,45,0.21,9.26,9.47,<0.1,<0.1,<0.02,1.1,<0.1,0.79,6.73,14,2,,1.14,12,7,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.08,0.03,0.05,<0.05,0.09,<0.01,0.02,<0.01,<0.001,0.14,0.64,<0.01,<0.01,0.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
