SI. No.,State,Parts of Districts having F > 1.5mg/litre
1,Andhra Pradesh,"Adilabad, Anantpur, Chittoor, Guntur, Hyderabad, Karimnagar, Khammam, Krishna, Kurnool, Mahbubnagar, Medak, Nalgonda, Nellore, Prakasam, Ranga Reddy, Visakhapatnam, Vizianagaram, Warangal, West Godavari"
2,Assam,"Goalpara, Kamrup, Karbi Anglong, Nagaon,"
3,Bihar,"Aurangabad, Banka, Buxar, Jamui, Kaimur( Bhabua),  Munger, Nawada, Rohtas, Supaul"
4,Chhattisgarh,"Bastar, Bilaspur, Dantewada, Janjgir-Champa, Jashpur, Kanker, Korba, Koriya, Mahasamund, Raipur, Rajnandgaon, Surguja"
5,Delhi,"East Delhi, North West Delhi, South Delhi, South West Delhi, West Delhi"
6,Gujarat,"Ahmadabad, Amreli, Anand, Banaskantha, Bharuch, Bhavnagar, Dohad, Junagadh, Kachchh, Mehsana, Narmada, Panchmahals, Patan, Rajkot, Sabarkantha, Surat, Surendranagar,Vadodara,"
7,Haryana,"Bhiwani,  Faridabad,  Gurgaon,  Hissar,  Jhajjar,  Jind,  Kaithal, Kurushetra, Mahendragarh, Panipat, Rewari, Rohtak, Sirsa, Sonepat"
8,Jammu and Kashmir,"Rajauri, Udhampur"
9,Jharkhand,"Bokaro, Giridih, Godda, Gumla,  Palamu, Ranchi"
10,Karnataka,"Bagalkot, Bangalore, Belgaun, Bellary, Bidar, Bijapur, Chamarajanagar, Chikmagalur, Chitradurga, Davangere, Dharwad, Gadag, Gulburga, Haveri, Kolar, Koppal, Mandya, Mysore, Raichur, Tumkur"
11,Kerala,Palakkad
12,Maharashtra,"Amravati, Chandrapur, Dhule, Gadchiroli, Gondia, Jalna, Nagpur, Nanded"
13,Madhya Pradesh,"Bhind,  Chhatarpur,  Chhindwara,  Datia,  Dewas,  Dhar,  Guna, Gwalior, Harda, Jabalpur, Jhabua, Khargaon, Mandsaur, Rajgarh, Satna, Seoni, Shajapur, Sheopur, Sidhi"
14,Orissa,"Angul, Balasore, Bargarh, Bhadrak, Bandh, Cuttack, Deogarh, Dhenkanal, Jajpur, Keonjhar, Sonapur"
15,Punjab,"Amritsar,   Bhatinda,   Faridkot,   fatehgarh   Sahib,   Firozepur, Gurdaspur, Mansa, Moga, Muktsar, Patiala, Sangrur"
16,Rajasthan,"Ajmer, Alwar, Banaswara, Barmer, Bharatpur, Bhilwara, Bikaner, Bundi, Chittaurgarh, Churu, Dausa, Dhaulpur, Dungarpur, Ganganagar, Hanumangarh, Jaipur, Jaisalmer, Jalor,Jhunjhunun, Jodhpur, Karauli, Kota, Nagaur, Pali, Rajsamand, Sirohi, Sikar, SawaiMadhopur, Tonk, Udaipur"
17,Tamil Nadu,"Coimbatore,  Dharmapuri,  Dindigul,  Erode,  Karur,  Krishnagiri, Namakkal, Perambalur, Puddukotai, Ramanathapuram, Salem, Sivaganga, Theni, Thiruvannamalai, Tiruchirapally, Vellore, Virudhunagar"
18,Uttar Pradesh,"Agra, Aligarh, Etah, Firozabad,  Jaunpur, Kannauj, Mahamaya Nagar, Mainpuri, Mathura, Mau"
19,West Bengal,"Bankura, Bardhaman, Birbhum, Dakshindinajpur, Malda, Nadia, Purulia, Uttardinajpur"
