Sl. No.,State,Parts of Districts having Fe> 1.0 mg/litre
1,Andaman and Nicobar Island,Andaman
2,Andhra Pradesh,"Adilabad, Chittoor, Cuddapah, Guntur, Hyderabad, Karimnagar, Krishna, Kurnool, Mahbubnagar, Medak, Nalgonda, Nellore, Nizamabad, Ranga Reddy, Visakhapatnam,"
3,Assam,"Cachar,   Darrang,   Dhemaji,   Dhubri,   Goalpapra,   Golaghat, Hailakandi, Jorhat, Kamrup, Karbi Anglong, Karimganj, Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sibsagar, Sonitpur"
4,Bihar,"Aurangabad,  Begusarai,  Bhojpur,  Buxar,    East  Champaran, Gopalganj, Katihar, Khagaria, Kishanganj, Lakhiserai, Madhepura, Muzaffarpur, Nawada, Rohtas, Saharsa, Samastipur, Siwan, Supaul, West Champaran"
5,Chhattisgarh,"Bastar, Dantewada, Kanker, Koriya,"
6,Goa,"North Goa, South Goa"
7,Gujarat,"Ahmadabad,  Banaskantha,  Bhavnagar,  Kachchh,    Mehsana, Narmada,"
8,Haryana,"Ambala, Bhiwani, Faridabad, Fatehabad, Gurgaon, Hissar, Jhajjar, Jind, Kaithal, Karnal, Kurukshetra, Mahendragarh, Panipat, Rohtak, Sirsa, Sonepat, Yamuna Nagar"
9,Jammu and Kashmir,"Baramulla, Budgam, Kathua, Kupwara, Pulwama, Srinagar"
10,Jharkhand,"Chatra,   Deoghar,   East   Singhbhum,   Giridih,   Ranchi,   West Singhbhum"
11,Karnataka,"Bagalkot, Bangalore, Belgaum, Bellary, Bidar, Bijapur, Chikmagalur, Chitradurga, Dakshina Kannada, Davangere, Gulburga, Hassan, Haveri, Kodagu, Kolar, Koppal, Mysore, Raichur, Shimoga, Tumkur, Udupi, Uttara Kannada"
12,Kerala,"Alappuzha,   Ernakulam,   Idukki,   Kannur,  Kasaragod,   Kollam, Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta, Thiruvananthapuram, Thrissur, Wayanad"
13,Maharashtra,"Ahmednagar,  Amravati,  Beed,  Buldana,  Chandrapur,  Dhule, Gadchiroli, Jalna, Kohlapur, Latur, Nandurbar, Nashik, Osmanabad, Parbhani, Ratnagiri, Satara, Thane, Wardha, Washim, Yavatmal "
14,Manipur,"Bishnupur, Thoubal"
15,Madhya Pradesh,"Balaghat, Betul, Bhind, Chhatarpur, Chhindwara, Guna, Gwalior, Hoshangabad, Narsinghpur, Panna, Raisen, Rajgarh, Rewa, Sagar, Satna, Sehore, Seoni, Shahdol, Shajapur, Sidhi, Ujjain, Umaria, Vidisha, Dindori, East Nimar"
16,Meghalaya,"East Garo Hills, East Khasi Hill, Jaintia Hills"
17,Orissa,"Balasore,   Bargarh,  Bhadrak,   Cuttack,   Deogarh,   J.Singhpur, Jajpur, Jharsuguda, Kalahandi, Kandmahal, Keonjhar, Kendrapara,Khurda, Koraput, Mayurbhanj, Nayagarh, Puri, Rayagada, Sambalpur, Sundergarh, Sonapur"
18,Punjab,"Bhathinda,  Faridkot,  Fatehgarh  Sahib,  Firozepur,  Gurdaspur, Hoshiarpur, Mansa, Rupnagar, Sangrur"
19,Rajasthan,"Ajmer, Alwar, Banswara, Baran, Bharatpur, Bhilwara, Bikaner, Chittaurgarh, Churu, Dausa, Dhaulpur, Dungarpur, Ganganagar, Hanumangarh, Jaipur, Jaisalmer, Jhalawar, Jhunjhunun, Jodhpur,Karauli, Kota, Nagaur, Pali, Rajsamand, Sikar, Sawai Madhopur, Tonk, Udaipur"
20,Tamil Nadu,"Namakkal, Salem"
21,Tripura,"Dhalai, North Tripura, South Tripura, West Tripura"
22,Uttar Pradesh,"Azamgarh, Balia, Balrampur, Etawah, Fatehpur, Gazipur, Gonda, Hardoi, Kanpur Dehat, Kanpur Nagar, Lakhimpur, Lalitpur, Mau, Siddharthnagar, Unnao"
23,West Bengal,"Bankura,  Bardhaman,  Birbhum,  Dakhindinajpur,  E.  Midnapur, Howrah, Hugli, Jalpaiguri, Kolkatta, Murshidabad, N-24praganna, Nadia, S-24 pragannas, Uttardinajpur, West Midnapur"
