FID,DISTRICT,STATE
385,NICOBAR,Andaman and Nicobar Island
390,NORTH & MIDDLE ANDAMAN,Andaman and Nicobar Island
507,SOUTH ANDAMAN,Andaman and Nicobar Island
0,ADILABAD,ANDHRA PRADESH
18,ANANTHAPUR,ANDHRA PRADESH
111,CHITTOOR,ANDHRA PRADESH
116,CUDDAPAH,ANDHRA PRADESH
159,EAST GODAVARI,ANDHRA PRADESH
199,GUNTUR,ANDHRA PRADESH
219,HYDERABAD,ANDHRA PRADESH
271,KARIMNAGAR,ANDHRA PRADESH
283,KHAMMAM,ANDHRA PRADESH
304,KRISHNA,ANDHRA PRADESH
307,KURNOOL,ANDHRA PRADESH
326,MAHABUBNAGAR,ANDHRA PRADESH
344,MEDAK,ANDHRA PRADESH
368,NALGONDA,ANDHRA PRADESH
384,NELLORE,ANDHRA PRADESH
388,NIZAMABAD,ANDHRA PRADESH
419,PRAKASAM,ANDHRA PRADESH
446,RANGA REDDY,ANDHRA PRADESH
512,SRIKAKULAM,ANDHRA PRADESH
569,VISHAKHAPATNAM,ANDHRA PRADESH
570,VIZIANAGARAM,ANDHRA PRADESH
571,WARANGAL,ANDHRA PRADESH
578,WEST GODAVARI,ANDHRA PRADESH
100,CHANGLANG,ARUNACHAL PRADESH
160,EAST KAMENG,ARUNACHAL PRADESH
163,EAST SIANG,ARUNACHAL PRADESH
319, ANJAW,ARUNACHAL PRADESH
320,KURUNG KUMEY,ARUNACHAL PRADESH
524,TAWANG,ARUNACHAL PRADESH
537,TIRAP,ARUNACHAL PRADESH
557,UPPER SUBANSIRI,ARUNACHAL PRADESH
579,WEST KAMENG,ARUNACHAL PRADESH
582,WEST SIANG,ARUNACHAL PRADESH
592,UPPER SIANG,ARUNACHAL PRADESH
593, DIBANG VALLEY,ARUNACHAL PRADESH
594,PAPUM-PARE,ARUNACHAL PRADESH
608,LOWER SUBANSIRI,ARUNACHAL PRADESH
609,LOHIT,ARUNACHAL PRADESH
610,LOWER DIBANG VALLEY,ARUNACHAL PRADESH
34,BAKSA,ASSAM
54,BARPETA,ASSAM
83,BONGAIGAON,ASSAM
90,CACHAR,ASSAM
107,CHIRANG,ASSAM
126,DARRANG,ASSAM
142,DHEMAJI,ASSAM
145,DHUBRI,ASSAM
148,DIBRUGARH,ASSAM
188,GOALPARA,ASSAM
189,GOLAGHAT,ASSAM
203,HAILAKANDI,ASSAM
251,JORHAT,ASSAM
257,KAMRUP,ASSAM
269,KARBI ANALOG,ASSAM
270,KARIMGANJ,ASSAM
294,KOKRAJHAR,ASSAM
312,LAKHIMPUR,ASSAM
352,MORIGAON,ASSAM
359,N.C HILLS,ASSAM
362,NAGAON,ASSAM
367,NALBARI,ASSAM
486,SIBSAGAR,ASSAM
504,SONITPUR,ASSAM
536,TINSUKIA,ASSAM
549,UDALGURI,ASSAM
21,ARARIYA,BIHAR
23,ARWAL,BIHAR
26,AURANGABAD,BIHAR
44,BANKA,BIHAR
58,BEGUSARAI,BIHAR
62,BHABUA,BIHAR
64,BHAGALPUR,BIHAR
71,BHOJPUR,BIHAR
89,BUXAR,BIHAR
152,DRABHANGA,BIHAR
183,GAYA,BIHAR
193,GOPALGANJ,BIHAR
