"SiteId","SiteName","Latitude","Longitude","State","Type","District","Block"
"W193331078281201","Vaizapoor 2010PZ","19°33'31"" N","78°28'12"" E","02","Tube Well","ADILABAD","ADILABAD"
"W193816078303001","Mavala DW 2012","19°38'16"" N","78°30'30"" E","02","Dug Well","ADILABAD","ADILABAD"
"W193331078281202","Vaizapoor 2010PZ1","19°33'31"" N","78°28'12"" E","02","Bore Well","ADILABAD","ADILABAD"
"W192200079170001","Asifabad","19°22'0"" N","79°17'0"" E","02","Dug Well","ADILABAD","ASIFABAD"
"W192017079200401","Burugudem","19°20'17"" N","79°20'4"" E","02","Dug Well","ADILABAD","ASIFABAD"
"W192500078260001","Echoda-PZ","19°25'0"" N","78°26'0"" E","02","Bore Well","ADILABAD","BAZARHATNOOR"
"W192500078270001","Echoda","19°25'0"" N","78°27'0"" E","02","Dug Well","ADILABAD","BAZARHATNOOR"
"W194400078460001","Bela-PZ","19°44'0"" N","78°46'0"" E","02","Bore Well","ADILABAD","BELA"
"W194300078460002","Bela1","19°43'0"" N","78°46'0"" E","02","Dug Well","ADILABAD","BELA"
"W190307079290601","Bellampalli-DW-2012","19°3'7"" N","79°29'6"" E","02","Dug Well","ADILABAD","BELLAMPALLI"
"W190335077555001","Elegaon 2010Pz","19°3'35"" N","77°55'50"" E","02","Bore Well","ADILABAD","BHAINSA"
"W191235079354101","Bhimini-PZ 2","19°12'35"" N","79°35'41"" E","02","Tube Well","ADILABAD","BHIMINI"
"W190845079400001","Rampuram","19°8'45"" N","79°40'0"" E","02","Dug Well","ADILABAD","BHIMINI"
"W191235079354501","Bhimini -PZ 1","19°12'35"" N","79°35'45"" E","02","Tube Well","ADILABAD","BHIMINI"
"W192100078200001","Boath-PZ","19°21'0"" N","78°20'0"" E","02","Bore Well","ADILABAD","BOATH"
"W192900079190001","Wakri","19°29'0"" N","79°19'0"" E","02","Dug Well","ADILABAD","CHITTIAL"
"W190100079080001","Dandepalli-PZ","19°1'0"" N","79°8'0"" E","02","Bore Well","ADILABAD","DANDEPALLI"
"W185730078102001","Dandepalli 2010Pz1","18°57'30"" N","78°10'20"" E","02","Tube Well","ADILABAD","DANDEPALLI"
"W190500078140001","Gundampalli-PZ","19°5'0"" N","78°14'0"" E","02","Bore Well","ADILABAD","DILWARPUR"
"W193500078300001","Sitagondi","19°35'0"" N","78°30'0"" E","02","Dug Well","ADILABAD","GUDIHATNOOR"
"W193200078310001","Gudihathur","19°32'0"" N","78°31'0"" E","02","Dug Well","ADILABAD","GUDIHATNOOR"
"W192900078400001","Indravalli-PZ","19°29'0"" N","78°40'0"" E","02","Bore Well","ADILABAD","INDRAVELLI"
"W193045078350701","Danora-B","19°30'45"" N","78°35'7"" E","02","Dug Well","ADILABAD","INDRAVELLI"
"W194400078384501","Jainath","19°44'0"" N","78°38'45"" E","02","Dug Well","ADILABAD","JAINAD"
"W192250078531501","Jainoor","19°22'50"" N","78°53'15"" E","02","Dug Well","ADILABAD","JAINOOR"
"W192200078540001","Jainoor-PZ","19°22'0"" N","78°54'0"" E","02","Bore Well","ADILABAD","JAINOOR"
"W185010079402001","Bhimavaram1","18°50'10"" N","79°40'20"" E","02","Dug Well","ADILABAD","JAIPUR"
"W185048079351201","Jaipuram DW 2012","18°50'48"" N","79°35'12"" E","02","Dug Well","ADILABAD","JAIPUR"
"W190600079020001","Jannaram-PZ","19°6'0"" N","79°2'0"" E","02","Bore Well","ADILABAD","JANNARAM"
"W190540079025001","Tapalpur","19°5'40"" N","79°2'50"" E","02","Dug Well","ADILABAD","JANNARAM"
"W190805079054001","Jannaram","19°8'5"" N","79°5'40"" E","02","Dug Well","ADILABAD","JANNARAM"
"W190703078563401","Indanapalle 2010Pz","19°7'3"" N","78°56'34"" E","02","Tube Well","ADILABAD","JANNARAM"
"W190554078465101","Kaddam DW 2012","19°5'54"" N","78°46'51"" E","02","Dug Well","ADILABAD","KADDAM"
"W191233078523501","Udampur-DW14","19°12'33"" N","78°52'35"" E","02","Dug Well","ADILABAD","KADDAM"
"W192129079283801","Kagaznagar DW 2012","19°21'29"" N","79°28'38"" E","02","Dug Well","ADILABAD","KAGAZNAGAR"
"W192603079080201","Pata Danur DW 2012","19°26'3"" N","79°8'2"" E","02","Dug Well","ADILABAD","KERAMERI"
"W191152078383201","Pembi","19°11'52"" N","78°38'32"" E","02","Dug Well","ADILABAD","KHANAPUR"
"W190230078390001","Khanapur","19°2'30"" N","78°39'0"" E","02","Dug Well","ADILABAD","KHANAPUR"
"W190225078393401","Khanapur 2010Pz","19°2'25"" N","78°39'34"" E","02","Tube Well","ADILABAD","KHANAPUR"
"W190937078380401","Mandepalli","19°9'37"" N","78°38'4"" E","02","Dug Well","ADILABAD","KHANAPUR"
"W192456079480001","Hasnapur","19°24'56"" N","79°48'0"" E","02","Dug Well","ADILABAD","KOUTHALA"
"W191345077534501","Palsi","19°13'45"" N","77°53'45"" E","02","Dug Well","ADILABAD","KUBEER"
"W191014077560101","Maligaon","19°10'14"" N","77°56'1"" E","02","Dug Well","ADILABAD","KUBEER"
"W191204077544201","Sonari","19°12'4"" N","77°54'42"" E","02","Dug Well","ADILABAD","KUBEER"
"W190500078070001","Kallur-PZ","19°5'0"" N","78°7'0"" E","02","Bore Well","ADILABAD","KUNTALA"
"W190605078054801","Lolam","19°6'5"" N","78°5'48"" E","02","Dug Well","ADILABAD","KUNTALA"
"W190340078065701","Manmad 2010Pz","19°3'40"" N","78°6'57"" E","02","Tube Well","ADILABAD","LOHESRA"
"W185330079123002","Lakshettipeta-2","18°53'30"" N","79°12'30"" E","02","Dug Well","ADILABAD","LUXETTIPET"
"W185432079115101","Luxettipet DW 2012","18°54'32"" N","79°11'51"" E","02","Dug Well","ADILABAD","LUXETTIPET"
"W190450078304001","Mamada","19°4'50"" N","78°30'40"" E","02","Dug Well","ADILABAD","MAMDA"
