Country Code,Country,State Code,State,District,Block,Site Id,SiteName,Latitude,Longitude,2007 Pre,2007 Post,2008 Pre,2008 Post,2009 Pre,2009 Post,2010 Pre,2010 Post,2011 Pre,2011 Post,2012 Pre,2012 Post,2013 Pre,2013 Post,2014 Pre,2014 Post,2015 Pre,2015 Post
1,India,2,Andhra Pradesh,ADILABAD,ADILABAD,W193816078303001,MAVALA DW 2012,"19°38'16"" N","78°30'30"" E",,,,,,,,,,,,5.74,10.01,4.73,9.59,7.64,10.88,
1,India,2,Andhra Pradesh,ADILABAD,ADILABAD,W193331078281201,VAIZAPOOR 2010PZ,"19°33'31"" N","78°28'12"" E",,,,,,,,,,,11.82,2.08,7.3,1.86,,,,
1,India,2,Andhra Pradesh,ADILABAD,ADILABAD,W193331078281202,VAIZAPOOR 2010PZ1,"19°33'31"" N","78°28'12"" E",,,,,,,,,,,,,,,5.85,3.6,6.66,
1,India,2,Andhra Pradesh,ADILABAD,ASIFABAD,W192200079170001,ASIFABAD,"19°22'0"" N","79°17'0"" E",11.62,10.77,13.35,11.75,12,12.59,12.17,9.4,11.56,9.99,11.79,11.25,10.6,8.59,10.15,10.76,11.79,
1,India,2,Andhra Pradesh,ADILABAD,ASIFABAD,W192017079200401,BURUGUDEM,"19°20'17"" N","79°20'4"" E",,,,,,,,,,,,,2.1,1.14,1.9,1.83,3,
1,India,2,Andhra Pradesh,ADILABAD,BAZAR HATNUR,W192500078270001,ECHODA,"19°25'0"" N","78°27'0"" E",6.77,3.06,7.52,3.25,7.52,6.33,,1.63,6.77,,,,7.52,,,,,
1,India,2,Andhra Pradesh,ADILABAD,BAZAR HATNUR,W192500078260001,ECHODA-PZ,"19°25'0"" N","78°26'0"" E",8.43,4.43,11.55,3.65,8.41,8.09,8.46,1.83,7.62,5.31,9.71,2.37,8.45,2.47,7.35,4.45,8.47,
1,India,2,Andhra Pradesh,ADILABAD,BELA,W194300078460002,BELA1,"19°43'0"" N","78°46'0"" E",6.6,3.11,6.4,4.6,7.22,7,,2.87,6.53,3.86,7.2,3.16,6.5,2.48,6.5,3.72,7.4,
1,India,2,Andhra Pradesh,ADILABAD,BELA,W194400078460001,BELA-PZ,"19°44'0"" N","78°46'0"" E",6.25,3.13,7.2,,,,,1.79,,2.79,,2.3,4.95,1.84,4.5,3.08,,
1,India,2,Andhra Pradesh,ADILABAD,BELLAMPALLI,W190307079290601,BELLAMPALLI-DW-2012,"19°3'7"" N","79°29'6"" E",,,,,,,,,,,,0.48,0.92,1.27,0.22,0.93,0.52,
1,India,2,Andhra Pradesh,ADILABAD,BHAINSA,W190335077555001,ELEGAON 2010PZ,"19°3'35"" N","77°55'50"" E",,,,,,,,,,,7.7,4.66,4.71,4.28,2.21,5.56,8.53,
1,India,2,Andhra Pradesh,ADILABAD,BHIMINI,W191235079354501,BHIMINI -PZ 1,"19°12'35"" N","79°35'45"" E",5.67,,10,10.2,7.01,5.85,8.6,2.29,,,9.48,1.33,7.42,2.69,3.1,4.2,9,
1,India,2,Andhra Pradesh,ADILABAD,BHIMINI,W191235079354101,BHIMINI-PZ 2,"19°12'35"" N","79°35'41"" E",,2.92,8.7,8.9,7.82,4.2,4.86,3.05,6.51,2.55,,,,2.12,5.5,4.2,6.7,
1,India,2,Andhra Pradesh,ADILABAD,BHIMINI,W190845079400001,RAMPURAM,"19°8'45"" N","79°40'0"" E",7.39,5.07,7.73,4.37,7.77,7.19,,4.2,8.4,4.64,8.3,3.73,7.12,3.38,6.67,5.37,,
1,India,2,Andhra Pradesh,ADILABAD,BOATH,W192100078200001,BOATH-PZ,"19°21'0"" N","78°20'0"" E",6.45,2.87,6.4,6.2,,3.75,4.82,0.86,4.93,2.58,7.72,2.16,4.78,1.72,5.35,3.2,5.47,
1,India,2,Andhra Pradesh,ADILABAD,CHITTIAL,W192900079190001,WAKRI,"19°29'0"" N","79°19'0"" E",8.96,6.34,9,2.74,9,9,,5.92,8.12,,10.96,3.12,6.02,,9.84,7.36,,
1,India,2,Andhra Pradesh,ADILABAD,DANDEPALLI,W185730078102001,DANDEPALLI 2010PZ1,"18°57'30"" N","78°10'20"" E",,,,,,,,,,,13.27,2.2,5.65,2.47,4.95,4.6,5.47,
