Country Code,Country,State Code,State,Dam Name,Lattitude,Longitude,Resorvoir Area,Effective Storage Capacity
1,India,1,ANDAMAN & NICOBAR,DHANIKHARI,"11°37'24.15864000000269""","92°43'35.338079999997944""",611.524,4369.75
1,India,1,ANDAMAN & NICOBAR,KALPONG (NHPC),"13°16'0.0011999999999545707""","93°0'0.0""",1840,14241
1,India,2,Andhra Pradesh,Cumbhum,"15° 34' 30""","79° 50' 00""",23327,95650
1,India,2,Andhra Pradesh,Shanigram,"18° 12' 00""","79° 50' 00""",6673,29040
1,India,2,Andhra Pradesh,"Large Tank,Peddamallareddy","18° 10' 00""","78° 27' 57""",,
1,India,2,Andhra Pradesh,"Large Tank, Kachapur","18° 10' 00""","78° 20' 45""",1000,3502
1,India,2,Andhra Pradesh,"Large Tank, Kamareddy","18° 10' 00""","78° 20' 00""",2551,4222
1,India,2,Andhra Pradesh,"Large Tank, Jangampally","18° 11' 30""","78° 20' 30""",663,1458
1,India,2,Andhra Pradesh,"Large Tank, Adloor Yellareddy","18° 21' 30""","78° 18' 30""",2108,2984
1,India,2,Andhra Pradesh,Pakhal Lake,"17° 59' 11""","79° 59' 05""",,
1,India,2,Andhra Pradesh,"Mallareddy Cheru, Bhiknoor","18° 15' 20""","78° 02' 30""",1235,1907
1,India,2,Andhra Pradesh,Udayasamudram,"17° 05' 0""","79° 18' 40""",4840,
1,India,2,Andhra Pradesh,"Choudari Cheru, Polkampet","18° 12' 10""","78° 10' 00""",951,1564
1,India,2,Andhra Pradesh,Lakhnavaram Tank,"18° 08' 0""","80° 04' 0""",2494,47420
1,India,2,Andhra Pradesh,Dondapadu tank,"16° 04' 34""","79° 36' 54""",2640,6537
1,India,2,Andhra Pradesh,"Large Tank, Bibipet","18° 11' 30""","78° 00' 00""",2065,3406
1,India,2,Andhra Pradesh,"Pedda Cheru, Vellutla","18° 13' 20""","78° 02' 00""",1133,2261
1,India,2,Andhra Pradesh,"Large Tank, Pulkal","18° 22' 09""","77° 47' 27""",1109,2129
1,India,2,Andhra Pradesh,"Large tank, Uppalwai","18° 25' 47""","78° 19' 35""",445,915
1,India,2,Andhra Pradesh,Ramappa Lake,"18° 15' 0""","79° 56' 31""",,82477
1,India,2,Andhra Pradesh,Siddapuram Tank,"15° 51' 37""","78° 41' 28""",,
1,India,2,Andhra Pradesh,Mopad Reservoir,"15° 06' 20""","79° 31' 0""",13073,59216
1,India,2,Andhra Pradesh,Alair Reservoir,"16°58'54.5764800000012""","77°28'7.547160000013946""",,
1,India,2,Andhra Pradesh,"Large tank, Mustabad (V)","18° 16' 45""","78° 43' 00""",601,1588
1,India,2,Andhra Pradesh,"Large Tank, Raviryal","17° 13' 08""","78° 00' 22""",,
1,India,2,Andhra Pradesh,"Large Tank, Shamirpet","17° 36' 00""","78° 34' 44""",,
1,India,2,Andhra Pradesh,"Large Tank, Thoor","17° 06' 0""","77° 39 00""",3700,315
1,India,2,Andhra Pradesh,"Large tank, Vilasagar (V)","18° 28' 00""","78° 57' 30""",834,2548
1,India,2,Andhra Pradesh,"Laxmancheru, Chintapalli","17° 00' 30""","78° 47' 30""",294,
1,India,2,Andhra Pradesh,Laxmisagar project,"18° 31' 55""","78° 00' 35""",,2380
1,India,2,Andhra Pradesh,M.V. Reservoir,"15° 58' 08""","79° 11' 15""",,1040
1,India,2,Andhra Pradesh,Madakasira,"13° 55' 30""","77° 17' 20""",933,3056
1,India,2,Andhra Pradesh,"Mailacheru, Salarnagar","16° 59' 00""","77° 47' 00""",375,
1,India,2,Andhra Pradesh,"Malikacheru, Mamdavad","16° 53' 00""","77° 54' 30""",421,
1,India,2,Andhra Pradesh,"Medi cheru, Adavi srirampur(V)","18° 36' 43""","79° 46' 52""",143,1894
1,India,2,Andhra Pradesh,Melammacheru,"16° 33' 56""","78° 48' 10""",1074,
1,India,2,Andhra Pradesh,"Mulavagu Project, Nimmapally (V)","18° 31' 30""","78° 38' 00""",603,5970
1,India,2,Andhra Pradesh,"Mupparam tank, Thippannapet(V)","18° 49' 00""","78° 56' 40""",251,939
1,India,2,Andhra Pradesh,Muthyalacheruvu,"14° 05' 45""","78° 07' 15""",1172,2190
1,India,2,Andhra Pradesh,"Namaz cheru, Gambhiraopet (V)","18° 18' 30""","78° 84' 00""",420,858
1,India,2,Andhra Pradesh,Panthulu cheruvu,"14° 02' 00""","78° 12' 00""",2300,5230
1,India,2,Andhra Pradesh,"Patirajam Project, Jellella (V)","18° 16' 18""","78° 47' 58""",287.3,1518
1,India,2,Andhra Pradesh,"Pattikondavanka, Guttava","13° 28' 36""","79° 50' 23""",,346
1,India,2,Andhra Pradesh,Paya Cheruvu,"13° 26' 32""","78° 27' 00""",221.5,1557
1,India,2,Andhra Pradesh,"Peddabadava, Tulasikrishan","13° 26' 40""","79° 44' 38""",176.84,452
1,India,2,Andhra Pradesh,"Pedda Cheru, Challasamudram","17° 34' 38""","80° 15' 21""",,
1,India,2,Andhra Pradesh,"Pedda Cheru, Cherkonda","16° 40' 30""","78° 40' 00""",864,
1,India,2,Andhra Pradesh,"Pedda cheru, Chintapalli","16° 47' 32""","78° 49' 45""",,1170
1,India,2,Andhra Pradesh,"Pedda cheru, Iylapur (V)","18° 53' 00""","78° 46' 48""",300,1402
1,India,2,Andhra Pradesh,"Pedda Cheru, Inapur","17° 08' 24""","77° 47' 34""",,2922
