"Country Code","Country","State Code","State","District","Arsenic breached","Chloride breached","Floride breached","EC breached","Iron  breached","Nitrate breached"
"01","INDIA","02","ANDHRA PRADESH","ADILABAD","NO","NO","YES","NO","YES","YES"
"01","INDIA","02","ANDHRA PRADESH","ANANTHAPUR","NO","NO","NO","YES","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","CHITTOOR","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","CUDDAPAH","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","EAST GODAVARI","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","GUNTUR","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","HYDERABAD","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","KARIMNAGAR","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","KHAMMAM","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","KRISHNA","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","KURNOOL","NO","NO","NO","YES","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","MAHABUBNAGAR","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","MEDAK","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","NALGONDA","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","NELLORE","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","NIZAMABAD","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","PRAKASAM","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","RANGA REDDY","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","SRIKAKULAM","NO","NO","NO","NO","NO","NO"
"01","INDIA","02","ANDHRA PRADESH","VISHAKHAPATNAM","NO","NO","NO","NO","NO","NO"
