"Country Code","Country","State Code","State","District","Block","2004Status","2009Status","2011Status"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","ADILABAD","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","ASIFABAD","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","BAZARHATNOOR","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","BELA","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","BELLAMPALLI","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","BHAINSA","","","SEMICRITICAL"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","BHIMINI","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","BOATH","SEMICRITICAL","",""
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","CHENNUR","","","SEMICRITICAL"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","CHITTIAL","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","DANDEPALLI","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","DANDEPALLY","","","SEMICRITICAL"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","DILWARPUR","","","SEMICRITICAL"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","GUDIHATNOOR","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","INDRAVELLI","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","JAINAD","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","JAINOOR","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","JAIPUR","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","JANNARAM","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","KADDAM","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","KAGAZNAGAR","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","KERAMERI","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","KHANAPUR","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","KOUTHALA","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","KUBEER","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","KUNTALA","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","LAXMANCHANDA","","","SEMICRITICAL"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","LOHESRA","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","LOKESHWARAM","SEMICRITICAL","","SEMICRITICAL"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","LUXETTIPET","","","SEMICRITICAL"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","MAMDA","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","MANCHERIAL","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","MANDAMARRI","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","MUDHOLE","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","NEREDIGONDA","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","NIRMAL","OVEREXPLOITED","","OVEREXPLOITED"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","REBBANA","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","SARANGAPUR","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","SIRPUR","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","TANDUR","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","UTNOOR","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","VEMANPALLI","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","AGALI","OVEREXPLOITED","OVEREXPLOITED","OVEREXPLOITED"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","AMADAGURU","","OVEREXPLOITED","OVEREXPLOITED"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","AMARAPURAM","OVEREXPLOITED","OVEREXPLOITED","OVEREXPLOITED"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","ANANTAPUR","OVEREXPLOITED","SEMICRITICAL",""
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","ATMAKUR","","SEMICRITICAL",""
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","BATHALAPALLI","CRITICAL","OVEREXPLOITED","OVEREXPLOITED"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","BELUGUPPA","OVEREXPLOITED","OVEREXPLOITED","SEMICRITICAL"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","BRAHMASAMUDRAM","","OVEREXPLOITED","OVEREXPLOITED"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","BUKKAPATNAM","OVEREXPLOITED","SEMICRITICAL","SEMICRITICAL"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","BUKKARAYASAMUDRAM","CRITICAL","SEMICRITICAL",""
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","CHENNAKOTHAPALLE","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","CHILAMATHURU","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","CHILMATHUR","OVEREXPLOITED","",""
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","D.HIREHAL","OVEREXPLOITED","",""
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","DHARMAVARAM","SEMICRITICAL","","SEMICRITICAL"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","GANDLAPENTA","OVEREXPLOITED","OVEREXPLOITED","OVEREXPLOITED"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","GARLADINNE","OVEREXPLOITED","SEMICRITICAL","SEMICRITICAL"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","GOOTY","","SEMICRITICAL",""
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","GORANTLA","OVEREXPLOITED","SEMICRITICAL",""
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","GUDIBANDA","OVEREXPLOITED","OVEREXPLOITED","SEMICRITICAL"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","GUMMAGATTA","OVEREXPLOITED","SEMICRITICAL","SEMICRITICAL"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","GUNTAKAL","SEMICRITICAL","",""
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","HINDUPUR","OVEREXPLOITED","OVEREXPLOITED","OVEREXPLOITED"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","KADIRI","","SEMICRITICAL",""
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","KADRI","OVEREXPLOITED","",""
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","KALYANDURG","","SEMICRITICAL","OVEREXPLOITED"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","KAMBADUR","","SEMICRITICAL","OVEREXPLOITED"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","KANAGANAPALLI","SEMICRITICAL","SEMICRITICAL","SEMICRITICAL"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","KANNEKAL","SAFE","SAFE","SAFE"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","KOTHACHERUVU","CRITICAL","OVEREXPLOITED","OVEREXPLOITED"
