"Country Code","Country","State Code","State","District","Annual Replenishable Ground Water Resource","Domestic & Industrial Water Supply","Projected demand for Domestic and Industrial uses upto 2025","Net Ground Water Availability for Future Irrigation use","Stage of Ground Water Development (%)"
"1","INDIA","2","ANDHRA PRADESH","GUNTUR","171178","8552","10461","98221","36"
"1","INDIA","2","ANDHRA PRADESH","VIZIANAGARAM","159296","9585","13376","38123","79"
"1","INDIA","2","ANDHRA PRADESH","VISHAKHAPATNAM","186430","16033","18852","47361","71"
"1","INDIA","2","ANDHRA PRADESH","EAST GODAVARI","161415","4451","13177","101056","25"
"1","INDIA","2","ANDHRA PRADESH","SRIKAKULAM","200306","6642","14624","137823","19"
"1","INDIA","2","ANDHRA PRADESH","NELLORE","123645","6105","8804","44229","59"
"1","INDIA","2","ANDHRA PRADESH","KURNOOL","195376","4620","11415","60269","64"
"1","INDIA","2","ANDHRA PRADESH","PRAKASAM","221127","6206","10983","139986","29"
"1","INDIA","2","ANDHRA PRADESH","KHAMMAM","181886","9530","11884","105226","36"
"1","INDIA","2","ANDHRA PRADESH","ADILABAD","150515","4144","13067","89853","28"
"1","INDIA","2","ANDHRA PRADESH","KRISHNA","131662","3066","7603","24967","83"
"1","INDIA","2","ANDHRA PRADESH","WEST GODAVARI","181299","4502","12666","81635","45"
"1","INDIA","2","ANDHRA PRADESH","MAHABUBNAGAR","211146","10197","11549","76000","59"
"1","INDIA","2","ANDHRA PRADESH","CUDDAPAH","272471","5080","44026","140287","27"
"1","INDIA","2","ANDHRA PRADESH","NALGONDA","133025","1934","6679","34153","69"
"1","INDIA","2","ANDHRA PRADESH","WARANGAL","178624","2124","7795","112453","28"
"1","INDIA","2","ANDHRA PRADESH","KARIMNAGAR","71107","11954","16234","18452","70"
"1","INDIA","2","ANDHRA PRADESH","NIZAMABAD","110151","4404","9475","69867","25"
"1","INDIA","2","ANDHRA PRADESH","RANGA REDDY","92456","4287","11421","58753","22"
"1","INDIA","2","ANDHRA PRADESH","CHITTOOR","99454","838","6650","67213","19"
"1","INDIA","2","ANDHRA PRADESH","ANANTHAPUR","193906","8159","14703","62290","62"
"1","INDIA","2","ANDHRA PRADESH","MEDAK","162271","565","6003","88338","36"
"1","INDIA","3","ARUNACHAL PRADESH","TIRAP","11000","0","43","9855","0.02828"
"1","INDIA","3","ARUNACHAL PRADESH","CHANGLANG","28029","","59","25142","0.10109"
"1","INDIA","3","ARUNACHAL PRADESH","LOHIT","195360","","101","175717","0.00301"
"1","INDIA","3","ARUNACHAL PRADESH","ANJAW","0","0","0","0","0"
"1","INDIA","3","ARUNACHAL PRADESH","DIBANG VALLEY","0","0","0","0","0"
"1","INDIA","3","ARUNACHAL PRADESH","LOWER DIBANG VALLEY","101112","","104","90864","0.03681"
"1","INDIA","3","ARUNACHAL PRADESH","EAST SIANG","74147","44","45","66603","0.19196"
"1","INDIA","3","ARUNACHAL PRADESH","WEST SIANG","6099","0","18","5471","0"
"1","INDIA","3","ARUNACHAL PRADESH","UPPER SIANG","0","0","0","","0"
"1","INDIA","3","ARUNACHAL PRADESH","EAST KAMENG","16363","","71","14640","0.10186"
"1","INDIA","3","ARUNACHAL PRADESH","WEST KAMENG","2351","0","19","2097","0"
"1","INDIA","3","ARUNACHAL PRADESH","LOWER SUBANSIRI","2564","","91","2211","0.21669"
"1","INDIA","3","ARUNACHAL PRADESH","UPPER SUBANSIRI","333","0","0","299","0"
"1","INDIA","3","ARUNACHAL PRADESH","PAPUM-PARE","13368","56","73","11900","0.94339"
"1","INDIA","3","ARUNACHAL PRADESH","TAWANG","0","0","0","","0"
"1","INDIA","3","ARUNACHAL PRADESH","KURUNG KUMEY","0","0","0","0","0"
"1","INDIA","4","ASSAM","BARPETA","91228","3410","4509","41555","48"
"1","INDIA","4","ASSAM","BONGAIGAON","90411","1494","1903","66187","18"
"1","INDIA","4","ASSAM","CACHAR","87282","3578","4547","73996","5"
"1","INDIA","4","ASSAM","DARRANG","91241","1817","2357","60039","26"
"1","INDIA","4","ASSAM","DIBRUGARH","156329","2737","3108","123559","12"
"1","INDIA","4","ASSAM","DHEMAJI","185124","1380","1805","160665","3"
"1","INDIA","4","ASSAM","DHUBRI","126414","3940","5407","60431","46"
"1","INDIA","4","ASSAM","GOLAGHAT","140734","2135","2473","118974","6"
"1","INDIA","4","ASSAM","GOALPARA","115128","2057","2737","86366","16"
"1","INDIA","4","ASSAM","HAILAKANDI","26289","1323","1757","21903","6"
"1","INDIA","4","ASSAM","JORHAT","147998","2259","2457","124316","7"
"1","INDIA","4","ASSAM","KAMRUP","131808","3060","3735","90172","23"
"1","INDIA","4","ASSAM","KARBI ANALOG","37829","1959","2477","31465","6"
"1","INDIA","4","ASSAM","KOKRAJHAR","159585","1775","1888","137730","4"
"1","INDIA","4","ASSAM","KARIMGANJ","47269","2453","3212","39192","6"
"1","INDIA","4","ASSAM","LAKHIMPUR","130597","2096","2611","111177","5"
"1","INDIA","4","ASSAM","MORIGAON","72937","1924","2621","48429","25"
"1","INDIA","4","ASSAM","NAGAON","192694","5751","7598","132072","23"
"1","INDIA","4","ASSAM","N.C HILLS","3796","451","510","2906","13"
"1","INDIA","4","ASSAM","NALBARI","38507","1558","1795","20534","40"
"1","INDIA","4","ASSAM","SIBSAGAR","143125","2321","2595","119054","7"
"1","INDIA","4","ASSAM","SONITPUR","197363","3880","4741","166301","6"
"1","INDIA","4","ASSAM","TINSUKIA","167628","2725","3190","148357","7"
"1","INDIA","4","ASSAM","BAKSA","74809","1886","2206","63726","5"
"1","INDIA","4","ASSAM","KAMRUP","24589","2999","3246","17012","22"
"1","INDIA","4","ASSAM","UDALGURI","73279","1660","1889","63609","8"
"1","INDIA","4","ASSAM","CHIRANG","97662","967","1116","84472","4"
"1","INDIA","5","BIHAR","ARARIYA","89510","4786","6707","51681","34"
"1","INDIA","5","BIHAR","ARWAL","23083","1096","1639","10107","50"
"1","INDIA","5","BIHAR","AURANGABAD","103150","4264","6464","69825","24"
"1","INDIA","5","BIHAR","BANKA","47307","3167","4333","26078","37"
"1","INDIA","5","BIHAR","BEGUSARAI","67360","4745","7611","19944","62"
"1","INDIA","5","BIHAR","BHABUA","86816","2496","4005","52150","32"
"1","INDIA","5","BIHAR","BHAGALPUR","77204","5443","7665","44537","34"
"1","INDIA","5","BIHAR","BHOJPUR","85896","4587","6308","42281","45"
"1","INDIA","5","BIHAR","BUXAR","65109","2655","4100","36904","36"
"1","INDIA","5","BIHAR","DRABHANGA","64452","7631","12327","24367","52"
"1","INDIA","5","BIHAR","PURBA CHAMPARAN","141593","7304","11754","70709","42"
"1","INDIA","5","BIHAR","GAYA","116618","8183","12350","49073","49"
"1","INDIA","5","BIHAR","GOPALGANJ","68654","4326","5993","25196","58"
"1","INDIA","5","BIHAR","JAMUI","43614","2913","4452","23170","39"
"1","INDIA","5","BIHAR","JAHANABAD","33210","1931","2801","9805","65"
"1","INDIA","5","BIHAR","KATIHAR","99148","4685","7361","37670","55"
"1","INDIA","5","BIHAR","KHAGARIA","59709","2566","3959","28039","46"
"1","INDIA","5","BIHAR","KISHANGANJ","80628","2699","4015","50837","28"
"1","INDIA","5","BIHAR","LAKHISARAI","31150","1648","2100","15809","43"
"1","INDIA","5","BIHAR","MADHEPURA","58401","3205","4801","20988","57"
"1","INDIA","5","BIHAR","MADUBANI","112617","6823","10006","66345","34"
"1","INDIA","5","BIHAR","MUNGER","34362","2130","2888","21271","29"
"1","INDIA","5","BIHAR","MUZAFFARPUR","118906","7511","10732","45140","56"
"1","INDIA","5","BIHAR","NALANDA","73434","4592","5509","22041","66"
"1","INDIA","5","BIHAR","NAWADA","59417","3842","5807","28604","43"
"1","INDIA","5","BIHAR","PATNA","109459","9121","12836","40421","55"
"1","INDIA","5","BIHAR","PURNIA","97041","6167","8528","46317","47"
"1","INDIA","5","BIHAR","ROHTAS","123709","4908","7370","70678","35"
"1","INDIA","5","BIHAR","SAHARSA","60653","2963","4895","33140","38"
"1","INDIA","5","BIHAR","SAMASTIPUR","93865","6940","10833","37428","53"
"1","INDIA","5","BIHAR","SARAN","86237","6310","8923","32917","56"
"1","INDIA","5","BIHAR","SHEIKHPURA","18067","1126","1390","7405","54"
"1","INDIA","5","BIHAR","SHEOHAR","18553","1132","1910","6178","60"
"1","INDIA","5","BIHAR","SITAMARHI","83206","5521","8662","39023","46"
"1","INDIA","5","BIHAR","SIWAN","83349","5118","7402","28724","59"
"1","INDIA","5","BIHAR","SUPAUL","82032","3456","5391","45608","36"
"1","INDIA","5","BIHAR","VAISHALI","78027","5324","7421","28687","57"
"1","INDIA","5","BIHAR","PACHIM CHAMPARAN","157955","6285","9275","101339","27"
