Country Code,Country,State Code,State,District,2004 Average,2005 Average,2006 Average,2007 Average,2008 Average,2009 Average,2010 Average,2011 Average,2012 Average,2013 Average
1,INDIA,1,ANDAMAN & NICOBAR,NICOBAR,194.2,210.1,217.4,199.6,197.1,153.1,254.6,258.5,244.6,250.1
1,INDIA,1,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,213.9,236,200.1,227.7,301.1,236.5,280.5,374.9,338.5,394
1,INDIA,1,ANDAMAN & NICOBAR,SOUTH ANDAMAN,213.9,236,200.1,227.7,301.1,236.5,280.5,296.7,273.2,263.8
1,INDIA,2,ANDHRA PRADESH,ADILABAD,55.6,119.7,102.7,66.4,76.4,60,118.8,75.7,87.4,134
1,INDIA,2,ANDHRA PRADESH,ANANTHAPUR,47,68.3,41.2,57.5,72.3,48.8,71.1,42.4,44.7,41.8
1,INDIA,2,ANDHRA PRADESH,CHITTOOR,67.5,128.7,70.4,91,79.4,62.9,90,81.5,83.5,
1,INDIA,2,ANDHRA PRADESH,CUDDAPAH,52.7,72.5,43.9,75.9,54.1,49.3,75,55.4,46.5,57.4
1,INDIA,2,ANDHRA PRADESH,EAST GODAVARI,81.9,119,98.7,95.6,93.6,50.6,159.1,71.2,120.4,93.3
1,INDIA,2,ANDHRA PRADESH,GUNTUR,63.3,79.4,71,84,80.4,53.6,123.8,55,84.4,96.8
1,INDIA,2,ANDHRA PRADESH,HYDERABAD,57,94.3,76.9,62.6,99.4,58.9,93.9,52.1,64.9,90.7
1,INDIA,2,ANDHRA PRADESH,KARIMNAGAR,72.6,137,125.9,78.9,74.8,53.5,121.2,63.1,87.2,119
1,INDIA,2,ANDHRA PRADESH,KHAMMAM,92.7,129.3,116.1,100.2,132,61.2,150.3,76.1,126.8,125.3
1,INDIA,2,ANDHRA PRADESH,KRISHNA,73.9,96.6,105.6,81.7,108.7,61.3,150.4,72,125.8,109.8
1,INDIA,2,ANDHRA PRADESH,KURNOOL,53.6,69.8,50.1,90.2,59,64,68.6,40.2,50.8,58.6
1,INDIA,2,ANDHRA PRADESH,MAHABUBNAGAR,35.2,87.7,49.7,70.6,51.8,62.1,65.1,42,52.7,75.9
1,INDIA,2,ANDHRA PRADESH,MEDAK,54.6,99.1,80.1,62.1,80.8,42,86.5,57.9,70.2,89
1,INDIA,2,ANDHRA PRADESH,NALGONDA,,,,,,,,46.6,56.2,95.5
1,INDIA,2,ANDHRA PRADESH,NELLORE,96.9,129.2,71.9,107.1,91.9,75.5,118,89.9,75.9,72.6
1,INDIA,2,ANDHRA PRADESH,NIZAMABAD,61.1,99.8,88.9,76.5,79.9,57.5,99.4,80.2,70.4,111.8
