Country Code,Country,State Code,State,District,Annual Replenishable Ground Water Resource,Projected demand for Domestic and Industrial uses upto 2025,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)
1,India,2,Andhra Pradesh,GUNTUR,171178,10461,98221,36
1,India,2,Andhra Pradesh,VIZIANAGARAM,159296,13376,38123,79
1,India,2,Andhra Pradesh,VISAKHAPATNAM,186430,18852,47361,71
1,India,2,Andhra Pradesh,EAST GODAVARI,161415,13177,101056,25
1,India,2,Andhra Pradesh,SRIKAKULAM,200306,14624,137823,19
1,India,2,Andhra Pradesh,NELLORE,123645,8804,44229,59
1,India,2,Andhra Pradesh,KURNOOL,195376,11415,60269,64
1,India,2,Andhra Pradesh,PRAKASAM,221127,10983,139986,29
1,India,2,Andhra Pradesh,KHAMMAM,181886,11884,105226,36
1,India,2,Andhra Pradesh,ADILABAD,150515,13067,89853,28
1,India,2,Andhra Pradesh,KRISHNA,131662,7603,24967,83
1,India,2,Andhra Pradesh,WEST GODAVARI,181299,12666,81635,45
1,India,2,Andhra Pradesh,MAHBUBNAGAR,211146,11549,76000,59
1,India,2,Andhra Pradesh,Kadapa,272471,44026,140287,27
1,India,2,Andhra Pradesh,NALGONDA,133025,6679,34153,69
1,India,2,Andhra Pradesh,WARANGAL,178624,7795,112453,28
1,India,2,Andhra Pradesh,KARIMNAGAR,71107,16234,18452,70
1,India,2,Andhra Pradesh,NIZAMABAD,110151,9475,69867,25
1,India,2,Andhra Pradesh,Rangareddy,92456,11421,58753,22
1,India,2,Andhra Pradesh,CHITTOOR,99454,6650,67213,19
1,India,2,Andhra Pradesh,ANANTAPUR,193906,14703,62290,62
1,India,2,Andhra Pradesh,MEDAK,162271,6003,88338,36
1,India,3,Arunachal Pradesh,TIRAP,11000,43,9855,0.02828
1,India,3,Arunachal Pradesh,CHANGLANG,28029,59,25142,0.10109
1,India,3,Arunachal Pradesh,LOHIT,195360,101,175717,0.00301
1,India,3,Arunachal Pradesh,Anjaw,0,0,0,0
1,India,3,Arunachal Pradesh,Dibang valley,0,0,0,0
1,India,3,Arunachal Pradesh,Lower Dibang Valley,101112,104,90864,0.03681
1,India,3,Arunachal Pradesh,EAST SIANG,74147,45,66603,0.19196
1,India,3,Arunachal Pradesh,West Siang,6099,18,5471,0
1,India,3,Arunachal Pradesh,Upper Siang,0,0,,0
1,India,3,Arunachal Pradesh,East Kameng,16363,71,14640,0.10186
1,India,3,Arunachal Pradesh,West Kameng,2351,19,2097,0
1,India,3,Arunachal Pradesh,Lower Subansiri,2564,91,2211,0.21669
1,India,3,Arunachal Pradesh,Upper Subansiri,333,0,299,0
1,India,3,Arunachal Pradesh,PAPUM PARE,13368,73,11900,0.94339
1,India,3,Arunachal Pradesh,Tawang,0,0,,0
1,India,3,Arunachal Pradesh,Kurung Kumey,0,0,0,0
1,India,4,Assam,BARPETA,91228,4509,41555,48
1,India,4,Assam,BONGAIGAON,90411,1903,66187,18
1,India,4,Assam,CACHAR,87282,4547,73996,5
1,India,4,Assam,DARRANG,91241,2357,60039,26
1,India,4,Assam,DIBRUGARH,156329,3108,123559,12
