Country Code,Country,State Code,State,District,Annual Replenishable Ground Water Resource,Domestic & Industrial Water Supply,Projected demand for Domestic and Industrial uses upto 2025,Net Current Ground Water Availability,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)
1,India,2,Andhra Pradesh,Guntur,171178,8552,10461,155359,98221,36
1,India,2,Andhra Pradesh,Vizianagaram,159296,9585,13376,144156,38123,79
1,India,2,Andhra Pradesh,Visakhapatnam,186430,16033,18852,168366,47361,71
1,India,2,Andhra Pradesh,East godavari,161415,4451,13177,146879,101056,25
1,India,2,Andhra Pradesh,Srikakulam,200306,6642,14624,180577,137823,19
1,India,2,Andhra Pradesh,Nellore,123645,6105,8804,115361,44229,59
1,India,2,Andhra Pradesh,Kurnool,195376,4620,11415,177279,60269,64
1,India,2,Andhra Pradesh,Prakasam,221127,6206,10983,202389,139986,29
1,India,2,Andhra Pradesh,Khammam,181886,9530,11884,164969,105226,36
1,India,2,Andhra Pradesh,Adilabad,150515,4144,13067,137725,89853,28
1,India,2,Andhra Pradesh,Krishna,131662,3066,7603,118668,24967,83
1,India,2,Andhra Pradesh,West godavari,181299,4502,12666,163341,81635,45
1,India,2,Andhra Pradesh,Mahbubnagar,211146,10197,11549,190929,76000,59
1,India,2,Andhra Pradesh,Kadapa,272471,5080,44026,246888,140287,27
1,India,2,Andhra Pradesh,Nalgonda,133025,1934,6679,120367,34153,69
1,India,2,Andhra Pradesh,Warangal,178624,2124,7795,161414,112453,28
1,India,2,Andhra Pradesh,Karimnagar,71107,11954,16234,64346,18452,70
1,India,2,Andhra Pradesh,Nizamabad,110151,4404,9475,100213,69867,25
1,India,2,Andhra Pradesh,Rangareddy,92456,4287,11421,84484,58753,22
1,India,2,Andhra Pradesh,Chittoor,99454,838,6650,90047,67213,19
1,India,2,Andhra Pradesh,Anantapur,193906,8159,14703,175768,62290,62
1,India,2,Andhra Pradesh,Medak,162271,565,6003,147200,88338,36
1,India,3,Arunachal Pradesh,Tirap,11000,0,43,9900,9855,0.02828
1,India,3,Arunachal Pradesh,Changlang,28029,,59,25226,25142,0.10109
1,India,3,Arunachal Pradesh,Lohit,195360,,101,175824,175717,0.00301
1,India,3,Arunachal Pradesh,Anjaw,0,0,0,0,0,0
1,India,3,Arunachal Pradesh,Dibang valley,0,0,0,0,0,0
1,India,3,Arunachal Pradesh,Lower dibang valley,101112,,104,91001,90864,0.03681
1,India,3,Arunachal Pradesh,East siang,74147,44,45,66732,66603,0.19196
1,India,3,Arunachal Pradesh,West siang,6099,0,18,5489,5471,0
1,India,3,Arunachal Pradesh,Upper siang,0,0,0,0,,0
1,India,3,Arunachal Pradesh,East kameng,16363,,71,14726,14640,0.10186
1,India,3,Arunachal Pradesh,West kameng,2351,0,19,2116,2097,0
1,India,3,Arunachal Pradesh,Lower subansiri,2564,,91,2307,2211,0.21669
1,India,3,Arunachal Pradesh,Upper subansiri,333,0,0,299,299,0
1,India,3,Arunachal Pradesh,Papum pare,13368,56,73,12031,11900,0.94339
1,India,3,Arunachal Pradesh,Tawang,0,0,0,0,,0
1,India,3,Arunachal Pradesh,Kurung kumey,0,0,0,0,0,0
1,India,4,Assam,Barpeta,91228,3410,4509,82105,41555,48
1,India,4,Assam,Bongaigaon,90411,1494,1903,81370,66187,18
1,India,4,Assam,Cachar,87282,3578,4547,78554,73996,5
1,India,4,Assam,Darrang,91241,1817,2357,82117,60039,26
1,India,4,Assam,Dibrugarh,156329,2737,3108,140696,123559,12
1,India,4,Assam,Dhemaji,185124,1380,1805,166612,160665,3
1,India,4,Assam,Dhubri,126414,3940,5407,113773,60431,46
1,India,4,Assam,Golaghat,140734,2135,2473,126661,118974,6
1,India,4,Assam,Goalpara,115128,2057,2737,103615,86366,16
1,India,4,Assam,Hailakandi,26289,1323,1757,23660,21903,6
1,India,4,Assam,Jorhat,147998,2259,2457,133198,124316,7
1,India,4,Assam,Kamrup,131808,3060,3735,118627,90172,23
1,India,4,Assam,Karbi anglong,37829,1959,2477,34046,31465,6
1,India,4,Assam,Kokrajhar,159585,1775,1888,143626,137730,4
1,India,4,Assam,Karimganj,47269,2453,3212,42542,39192,6
1,India,4,Assam,Lakhimpur,130597,2096,2611,117537,111177,5
1,India,4,Assam,Marigaon,72937,1924,2621,65643,48429,25
1,India,4,Assam,Nagaon,192694,5751,7598,173425,132072,23
1,India,4,Assam,N.c. hills,3796,451,510,3416,2906,13
1,India,4,Assam,Nalbari,38507,1558,1795,34656,20534,40
1,India,4,Assam,Sibsagar,143125,2321,2595,128812,119054,7
1,India,4,Assam,Sonitpur,197363,3880,4741,177627,166301,6
1,India,4,Assam,Tinsukia,167628,2725,3190,159247,148357,7
1,India,4,Assam,Baksa,74809,1886,2206,67328,63726,5
1,India,4,Assam,Kamrup,24589,2999,3246,22130,17012,22
1,India,4,Assam,Udalguri,73279,1660,1889,69615,63609,8
1,India,4,Assam,Chirang,97662,967,1116,87896,84472,4
1,India,5,Bihar,Araria,89510,4786,6707,80819,51681,34
1,India,5,Bihar,Arwal,23083,1096,1639,21237,10107,50
1,India,5,Bihar,Aurangabad,103150,4264,6464,94371,69825,24
1,India,5,Bihar,Banka,47307,3167,4333,43399,26078,37
1,India,5,Bihar,Begusarai,67360,4745,7611,60624,19944,62
1,India,5,Bihar,Bhabhua,86816,2496,4005,79436,52150,32
1,India,5,Bihar,Bhagalpur,77204,5443,7665,70599,44537,34
1,India,5,Bihar,Bhojpur,85896,4587,6308,79295,42281,45
1,India,5,Bihar,Buxar,65109,2655,4100,59466,36904,36
1,India,5,Bihar,Darbhanga,64452,7631,12327,60405,24367,52
1,India,5,Bihar,E.champaran,141593,7304,11754,129212,70709,42
1,India,5,Bihar,Gaya,116618,8183,12350,105333,49073,49
1,India,5,Bihar,Gopalganj,68654,4326,5993,64669,25196,58
1,India,5,Bihar,Jamui,43614,2913,4452,40311,23170,39
1,India,5,Bihar,Jehanabad,33210,1931,2801,30087,9805,65
1,India,5,Bihar,Katihar,99148,4685,7361,89233,37670,55
1,India,5,Bihar,Khagaria,59709,2566,3959,54162,28039,46
1,India,5,Bihar,Kishanganj,80628,2699,4015,72566,50837,28
1,India,5,Bihar,Lakhisarai,31150,1648,2100,28345,15809,43
1,India,5,Bihar,Madhepura,58401,3205,4801,52709,20988,57
1,India,5,Bihar,Madhubani,112617,6823,10006,105184,66345,34
