,LONGITUDE,SITE_TYPE,SITE_SUB_TYPE,STATE_NAME,DISTRICT_NAME,TAHSIL_NAME,BLOCK_NAME,SITE_NAME,WLS_DATE,WLS_WTR_LEVEL
"13°13'51"" N","92°57'19"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Durgapur,31-May-15,0.91
"13°13'51"" N","92°57'19"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Durgapur,24-Nov-15,0
"13°15'37"" N","93°0'49"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Keralapuram,31-May-15,1.74
"13°15'37"" N","93°0'49"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Keralapuram,24-Nov-15,2.73
"13°9'55"" N","92°52'53"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Kishorinagar (Parangara),31-May-15,2.27
"13°9'55"" N","92°52'53"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Kishorinagar (Parangara),24-Nov-15,1.87
"13°17'8"" N","93°0'11"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Laxmipur,31-May-15,2.52
"13°17'8"" N","93°0'11"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Laxmipur,24-Nov-15,0.69
"13°18'50"" N","92°56'33"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Milangram,31-May-15,2.17
"13°18'50"" N","92°56'33"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Milangram,24-Nov-15,0.73
"13°10'24"" N","92°55'55"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Nabagram,31-May-15,2.11
"13°10'24"" N","92°55'55"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Nabagram,24-Nov-15,0.5
"13°14'34"" N","93°2'39"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Shibpur,31-May-15,1.85
"13°14'34"" N","93°2'39"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Shibpur,24-Nov-15,0.72
"13°13'51"" N","92°57'19"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Sitanagar NMA,24-Nov-15,1.6
"13°14'27"" N","92°59'26"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Subhasgram,31-May-15,0.62
"13°14'27"" N","92°59'26"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Subhasgram,24-Nov-15,0.03
"12°30'14"" N","92°51'33"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Bakultala,31-May-15,1.44
"12°30'14"" N","92°51'33"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Bakultala,23-Nov-15,0.96
"12°43'45"" N","92°53'5"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Basantipur,31-May-15,1.73
"12°43'45"" N","92°53'5"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Basantipur,24-Nov-15,0.46
"12°37'20"" N","92°52'22"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Betapur,24-Nov-15,0.85
"12°58'56"" N","92°50'44"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Haribeck,31-May-15,1.05
"12°41'57"" N","92°52'54"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Joypur,31-May-15,2.71
"12°41'57"" N","92°52'54"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Joypur,24-Nov-15,0.45
"12°52'36"" N","92°52'52"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Mayabunder,31-May-15,0.05
"12°52'36"" N","92°52'52"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Mayabunder,24-Nov-15,0
"12°56'4"" N","92°51'36"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Mohanpur,31-May-15,2.62
"12°56'4"" N","92°51'36"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Mohanpur,24-Nov-15,1
"13°6'36"" N","92°51'0"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Mohanpur ATR,24-Nov-15,0.44
"12°31'29"" N","92°58'13"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Nimbutala,31-May-15,1.68
"12°31'29"" N","92°58'13"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Nimbutala,24-Nov-15,0.7
"12°30'30"" N","92°57'38"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Padmanavapuram,31-May-15,4.09
"12°30'30"" N","92°57'38"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Padmanavapuram,24-Nov-15,2.24
"12°31'24"" N","92°54'24"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Parnshala,31-May-15,2.57
"12°31'24"" N","92°54'24"" E",Dug Well,,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Parnshala,24-Nov-15,0.7
