 Andhra Pradesh,,,,,,,,,
1,Srikakulam,1,Kotabommali,, ,1,Laveru,,
,,, ,, ,2,Ranasthalam,,
2,East  Godavari,,,,,,,1,Allavaram
,,,,,,,,2,I.Polavaram
,,,,,,,,3,Kajuluru
,,,,,,,,4,Karapa
,,,,,,,,5,Katretikona
,,,,,,,,6,Malkipuram
,,,,,,,,7,Mamadikuduru
,,,,,,,,8,Sakhinetipalli
,,,,,,,,9,Tallarevu
,,,,,,,,10,Uppalaguptam
3,West Godavari,1,Lingapalem,, ,,,1,Nidamarru
,,2,T Narsapuram,, ,,,2,Ganapavaram
,,,,,,,,3,Pentapadu
,,,,,,,,4,Undi
,,,,,,,,5,Akiveedu
,,,,,,,,6,Kalla
,,,,,,,,7,Bimavaram
,,,,,,,,8,Palakoderu
,,,,,,,,9,Veeravasaram
,,,,,,,,10,Poduru
,,,,,,,,11,Palakollu
,,,,,,,,12,Yelamanchili
,,,,,,,,13,Narasapuram
,,,,,,,,14,Mogalturu
4,Krishna,1,Nuzvid,, ,1,Musunuru,1,Nandiwada
,,,,,,,,2,Mandavalli
,,,,,,,,3,Kaikaluru
,,,,,,,,4,Kalidindi
,,,,,,,,5,Kruthivennu
,,,,,,,,6,Bantumilli
,,,,,,,,7,Mudinepalli
,,,,,,,,8,Gudlavalleru
,,,,,,,,9,Pedana
,,,,,,,,10,Guduru
,,,,,,,,11,Machilipatnam
,,,,,,,,12,Koduru
,,,,,,,,13,Nagayalanka
5,Guntur,1,Nagaram,, ,1,Veldurthi,1,Pedanandipadu
,,, ,, ,2,Bollapalle,2,Kakumanu
,,,,,,,,3,Vatticherukuru
6,Prakasam,1,Tharlapadu,1,Cumbum,1,Bestavaripeta,1,Karamchedu
,,2, Komarolu,,,2,Pedaravidu,,
,,,,,,3,Dornala,,
,,, ,, ,4,Giddaluru,,
,,, ,, ,5,Racherla,,
,,, ,, ,6,Markapuram,,
,,, ,, ,7,Yerragondapalem,,
7,Chittoor,1,B.Kothakota ,1,Baireddypalli ,1,Nindra ,,
,,2,Chittoor ,2,Cggallu ,2,Pakala ,,
,,3,G.D.Nellore ,3,Gudupalli ,3,Penumuru ,,
,,4,Gangavaram ,4,Palasamudram ,4,Pulicherla ,,
,,5,Gurramkonda ,5,Peddapanjani ,5,Puthalapattu ,,
,,6,Irala ,6,Piler ,6,R.C.Puram ,,
,,7,Kalikiri ,7,V.Kota ,7,Ramakuppam ,,
,,8,Karvetinagaram ,, ,8,Ramasamudram ,,
,,9,Kurabalakota ,, ,9,S.R.Puram ,,
,,10,Kv Palli ,, ,10,Santhipuram ,,
,,11,Madanapalli ,, ,11,Thavanampalli ,,
,,12,Molakalacheruvu ,, ,12,Tirupathi® ,,
,,13,Palamaneru ,, ,,,,
,,14,Pedda Thippa Samudram ,, ,,,,
,,15,Punganur ,, ,,,,
,,16,Sodam ,, ,,,,
,,17,Y.V.Palem ,, ,,,,
,,18,Yadamarri ,, ,,,,
8,Ysr Kadapa,1,Atloor,1,Muddanur,1,Chinnamandem,,
,,2,Kalasapadu,2,Pendlimarri,2,Obulavaripalle,,
,,3,Kamalapuram,, ,3,Pulivendula,,
,,4,Kondapuram,, ,4,Pullampet,,
,,5,L.R.Palle,, ,5,Vallur,,
,,6,Lingala,, ,6,Vemula,,
,,7,Porumamilla,, ,, ,,
,,8,Proddatur,, ,, ,,
,,9,Rajampet,, ,, ,,
,,10,Ramapuram,, ,, ,,
,,11,Rayachoty,, ,, ,,
,,12,Thondur,, ,, ,,
,,13,Veeraballi,, ,, ,,
,,14,Vempalle,, ,, ,,
9,Anantapur,1,Atmakur,1,Anantapur,1,Agali,,
,,2,Bk Samudram,2,D Hirehal,2,Amadugu,,
,,3,Bommanahal,3,Kalyandurg,3,Amarapuram,,
,,4,Chilmatur,4,Kanaganapalli,4,Bathalapalli,,
,,5,Gooty,5,Raptadu,5,Bramhasamudram,,
,,6,Gummagatta,6,Rayadurg,6,Bukkapatnam,,
,,7,Kudair,7,Roddam,7,Ck Palli,,
,,8,Penukonda,, ,8,Gandlapenta,,
,,9,Ramagiri,, ,9,Gorantla,,
,,10,Somandapalle,, ,10,Gudibanda,,
,,, ,, ,11,Hindupur,,
,,, ,, ,12,Kambadur,,
,,, ,, ,13,Kothacheruvu,,
,,, ,, ,14,Kundurpi,,
,,, ,, ,15,Lepakshi,,
,,, ,, ,16,Madakasira,,
,,, ,, ,17,Nallacheruvu,,
,,, ,, ,18,Narpala,,
,,, ,, ,19,Od Cheruvu,,
,,, ,, ,20,Parigi,,
,,, ,, ,21,Peddapappur,,
,,, ,, ,22,Putlur,,
,,, ,, ,23,Puttaparthi,,
,,, ,, ,24,Rolla,,
,,, ,, ,25,Settur,,
,,, ,, ,26,Tadimarri,,
,,, ,, ,27,Tadipatri,,
,,, ,, ,28,Talupula,,
,,, ,, ,29,Tanakallu,,
,,, ,, ,30,Yadiki,,
,,, ,, ,31,Yellanur,,
10,Kurnool,1,C Belagal,, ,, ,,
,,2,Gonegandla,, ,, ,,
,,3,Krishnagiri,, ,, ,,
,,4,Oravakal,, ,, ,,
,,5,Peddakadabur,, ,, ,,
 BIHAR,,,,,,,,,
1,Begusarai,1,Naokothi,,,,,,
,,2,Bhagwanpur,,,,,,
2,Gaya,1,Gaya  Sadar,,,,,,
,,2,Imamgang,,,,,,
3,Jahanabad,1,Kako,,,,,,
4,Muzaffarpur,1,Mushari,,,,,,
5,Nalanda,1,Nagarnausa,,,,,,
,,2,Rajgir,,,,,,
,,3,Silao,,,,,,
6,Nawada,1,Meskaur,,,,,,
7,Patna,1,Sampatchak,,,,,,
,,2,Patna Sadar,,,,,,
8,Samastipur,1,Tajpur,,,,,,
9,Vaishali,1,Hazipur,,,,,,
 Chhattisgarh  ,,,,,,,,,
1,Balod,1,Balod,,,1,Gurur,,
2,Bemetara,1, Bemetara,,,,,,
,,2,Saja,,,,,,
3,Bilaspur,1, Belha,,,,,,
,,2,Takhatpur,,,,,,
4,Dhamtari,1, Kurud,1,Dhamtari,,,,
,,2,Nagari,,,,,,
5,Durg,1, Dhamdha,,,,,,
,,2,Durg,,,,,,
,,3,Patan,,,,,,
6,Gariaband,1, Fingeshwar,,,,,,
7,Janjgir - Champa,1, Malkhroda,,,,,,
8,Kawardha,1,Kawardha,,,,,,
,,2,Pandariya,,,,,,
9,Raigarh,1, Pussore,1,Baramkela,,,,
10,Raipur,1, Dharsiwa,,,,,,
11,Rajnandgaon,1,Dongargaon,,,,,,
,,2,Rajnandgaon,,,,,,
 Delhi,,,,,,,,,
1,Central Delhi,1,Darya Ganj,,,1,Karol Bagh,,
,,2,Pahar Ganj,,,,,,
2,East Delhi,,,,,1,Preet Vihar,,
,,,,,,2,Vivek Vihar,,
3,New Delhi,,,,,1,Chanakya Puri,,
,,,,,,2,Connaught Place,,
4,North Delhi,1,Kotwali,,,,,,
