"Country Code","Country","State Code","State","District","Block","2004Status","2009Status","2011Status","2013Status"
"01","India","01","ANDAMAN & NICOBAR","NICOBAR","CAMPBELLBAY","SAFE","SAFE","SAFE","SAFE"
"01","India","01","ANDAMAN & NICOBAR","NICOBAR","CARNICOBAR","SAFE","SAFE","SAFE","SAFE"
"01","India","01","ANDAMAN & NICOBAR","NICOBAR","NONCOWRY","SAFE","SAFE","SAFE","SAFE"
"01","India","01","ANDAMAN & NICOBAR","NORTH & MIDDLE ANDAMAN","MAYABUNDAR","SAFE","SAFE","SAFE","SAFE"
"01","India","01","ANDAMAN & NICOBAR","NORTH & MIDDLE NICOBAR","DIGLIPUR","SAFE","SAFE","SAFE","SAFE"
"01","India","01","ANDAMAN & NICOBAR","NORTH & MIDDLE NICOBAR","RANGAT","SAFE","SAFE","SAFE","SAFE"
"01","India","01","ANDAMAN & NICOBAR","SOUTH ANDAMAN","FERARGUNJ","SAFE","SAFE","SAFE","SAFE"
"01","India","01","ANDAMAN & NICOBAR","SOUTH ANDAMAN","LITTLE ANDAMAN","SAFE","SAFE","SAFE","SAFE"
"01","India","01","ANDAMAN & NICOBAR","SOUTH ANDAMAN","PORT BLAIR","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","ADILABAD","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","ASIFABAD","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","BAZAR HATNUR","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","BELA","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","BELLAMPALLI","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","BHAINSA","","","SEMI_CRITICAL","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","ADILABAD","BHIMINI","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","BIJJUR","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","BOATH","SEMI_CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","CHENNUR","","","SEMI_CRITICAL","CRITICAL"
"01","India","02","ANDHRA PRADESH","ADILABAD","DAHEGAON","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","DANDEPALLI","","","SEMI_CRITICAL","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","DILAWARPUR","","","SEMI_CRITICAL","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","ADILABAD","GUDIHATHNUR","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","ICHODA","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","INDERAVELLI","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","JAINAD","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","JAINUR","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","JAIPUR","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","JANNARAM","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","KADDAM","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","KAGAZNAGAR","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","KASIPET","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","KERAMERI","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","KHANAPUR","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","KOTAPALLE","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","KOUTHALA","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","KUBIR","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","KUNTALA","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","LAKSHETIPET","","","SEMI_CRITICAL","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","LAKSHMANCHANDA","","","SEMI_CRITICAL","OVER_EXPLOITED"
