"Country Code","Country","State Code","State","District","Net Groundwater Availability","Projected demand for Domestic and Industrial uses upto 2025","Net Ground Water Availability for Future Irrigation use"
"01","INDIA","02","ANDHRA PRADESH","GUNTUR","147544.1843","14685","100727"
"01","INDIA","02","ANDHRA PRADESH","VIZIANAGARAM","91598","6116","68723"
"01","INDIA","02","ANDHRA PRADESH","VISHAKHAPATNAM","89454","12541","63470"
"01","INDIA","02","ANDHRA PRADESH","EAST GODAVARI","153953","14482","106654"
"01","INDIA","02","ANDHRA PRADESH","SRIKAKULAM","111382","17584","62902"
"01","INDIA","02","ANDHRA PRADESH","NELLORE","256729","9535","172725"
"01","INDIA","02","ANDHRA PRADESH","KURNOOL","137065","13214","68736"
"01","INDIA","02","ANDHRA PRADESH","PRAKASAM","155996.3639","9677","100062"
"01","INDIA","02","ANDHRA PRADESH","KHAMMAM","159305","9144","95623"
"01","INDIA","02","ANDHRA PRADESH","ADILABAD","187470","12632","110620"
"01","INDIA","02","ANDHRA PRADESH","KRISHNA","136296","9539","82026"
"01","INDIA","02","ANDHRA PRADESH","WEST GODAVARI","154366","10080","85823"
"01","INDIA","02","ANDHRA PRADESH","MAHABUBNAGAR","169294","14617","79010"
"01","INDIA","02","ANDHRA PRADESH","CUDDAPAH","99258","9456","27016"
"01","INDIA","02","ANDHRA PRADESH","NALGONDA","168251","12590","56794"
"01","INDIA","02","ANDHRA PRADESH","WARANGAL","176408","15712","60039"
"01","INDIA","02","ANDHRA PRADESH","KARIMNAGAR","179633","46578","12430"
"01","INDIA","02","ANDHRA PRADESH","NIZAMABAD","131128","8278","43087"
"01","INDIA","02","ANDHRA PRADESH","RANGA REDDY","64763","25998","4167"
"01","INDIA","02","ANDHRA PRADESH","CHITTOOR","164882","18817","47341"
"01","INDIA","02","ANDHRA PRADESH","ANANTHAPUR","149537","18684","34765"
"01","INDIA","02","ANDHRA PRADESH","MEDAK","102770","9895","21465"
"01","INDIA","03","ARUNACHAL PRADESH","TIRAP","8327.17","57","8267.37"
"01","INDIA","03","ARUNACHAL PRADESH","CHANGLANG","24941.57","204","24712.07"
"01","INDIA","03","ARUNACHAL PRADESH","LOHIT","175677","1081","174590.7"
"01","INDIA","03","ARUNACHAL PRADESH","ANJAW","0","0","0"
"01","INDIA","03","ARUNACHAL PRADESH","DIBANG VALLEY","0","0","0"
"01","INDIA","03","ARUNACHAL PRADESH","LOWER DIBANG VALLEY","85818","161","85623.5"
"01","INDIA","03","ARUNACHAL PRADESH","EAST SIANG","67746.17","366","67309.57"
"01","INDIA","03","ARUNACHAL PRADESH","WEST SIANG","5601.06","10","5591.06"
"01","INDIA","03","ARUNACHAL PRADESH","UPPER SIANG","0","0","0"
"01","INDIA","03","ARUNACHAL PRADESH","EAST KAMENG","14755","14","14726"
"01","INDIA","03","ARUNACHAL PRADESH","WEST KAMENG","1575.52","7","1568.52"
"01","INDIA","03","ARUNACHAL PRADESH","LOWER SUBANSIRI","2308.1","12","2291.1"
"01","INDIA","03","ARUNACHAL PRADESH","UPPER SUBANSIRI","300.1","0","300.1"
"01","INDIA","03","ARUNACHAL PRADESH","PAPUM-PARE","11932.04","110","11764.54"
"01","INDIA","03","ARUNACHAL PRADESH","TAWANG","0","0","0"
"01","INDIA","03","ARUNACHAL PRADESH","KURUNG KUMEY","0","0","0"
"01","INDIA","04","ASSAM","BARPETA","164375","4807","126176"
"01","INDIA","04","ASSAM","BONGAIGAON","100843","2029","63683"
"01","INDIA","04","ASSAM","CACHAR","81419","4847","76329"
"01","INDIA","04","ASSAM","DARRANG","83605","2512","57168"
"01","INDIA","04","ASSAM","DIBRUGARH","158628","3313","147583"
"01","INDIA","04","ASSAM","DHEMAJI","193835","1924","183991"
"01","INDIA","04","ASSAM","DHUBRI","100625","5764","57093"
"01","INDIA","04","ASSAM","GOLAGHAT","123497","2918","56558"
"01","INDIA","04","ASSAM","GOALPARA","109002","2637","110400"
"01","INDIA","04","ASSAM","HAILAKANDI","22179","1873","20306"
"01","INDIA","04","ASSAM","JORHAT","122103","2620","115039"
"01","INDIA","04","ASSAM","KAMRUP","117522","3982","78263"
"01","INDIA","04","ASSAM","KARBI ANALOG","45651","2640","39550"
"01","INDIA","04","ASSAM","KOKRAJHAR","222910","2013","209934"
"01","INDIA","04","ASSAM","KARIMGANJ","41978","3425","38553"
"01","INDIA","04","ASSAM","LAKHIMPUR","106845","2783","89070"
"01","INDIA","04","ASSAM","MORIGAON","62166","2794","43265"
"01","INDIA","04","ASSAM","NAGAON","152248","8100","101576"
"01","INDIA","04","ASSAM","N.C HILLS","3161","544","2618"
"01","INDIA","04","ASSAM","NALBARI","44982","1914","24265"
"01","INDIA","04","ASSAM","SIBSAGAR","99472","2767","93702"
"01","INDIA","04","ASSAM","SONITPUR","212519","5053","191248"
"01","INDIA","04","ASSAM","TINSUKIA","197537","3400","179929"
"01","INDIA","04","ASSAM","BAKSA","125480","2352","113831"
"01","INDIA","04","ASSAM","KAMRUP","117522","3982","78263"
"01","INDIA","04","ASSAM","UDALGURI","59080","2014","52369"
"01","INDIA","04","ASSAM","CHIRANG","117656","1189","110885"
"01","INDIA","05","BIHAR","ARARIYA","79574.56","1646","61402.16"
"01","INDIA","05","BIHAR","ARWAL","22690.72","448","13427.82"
"01","INDIA","05","BIHAR","AURANGABAD","100133.66","1488","81678.96"
"01","INDIA","05","BIHAR","BANKA","52083.19","1199","39155.39"
"01","INDIA","05","BIHAR","BEGUSARAI","65072.48","1743","35379.28"
"01","INDIA","05","BIHAR","BHABUA","74651.95","956","51706.55"
"01","INDIA","05","BIHAR","BHAGALPUR","72403.43","1426","53769.73"
"01","INDIA","05","BIHAR","BHOJPUR","84405.44","1602","47629.84"
"01","INDIA","05","BIHAR","BUXAR","73031.23","1001","42748.43"
"01","INDIA","05","BIHAR","DRABHANGA","62189.62","2308","37167.02"
"01","INDIA","05","BIHAR","PURBA CHAMPARAN","131610.91","2991","80998.51"
"01","INDIA","05","BIHAR","GAYA","111356.12","2519","53534.32"
"01","INDIA","05","BIHAR","GOPALGANJ","71883.13","1503","31642.03"
"01","INDIA","05","BIHAR","JAMUI","43947.73","1034","35902.13"
"01","INDIA","05","BIHAR","JAHANABAD","35219.07","661","13343.87"
"01","INDIA","05","BIHAR","KATIHAR","99829.87","1800","45784.57"
"01","INDIA","05","BIHAR","KHAGARIA","54792.68","975","37871.88"
"01","INDIA","05","BIHAR","KISHANGANJ","70725.47","991","53571.97"
"01","INDIA","05","BIHAR","LAKHISARAI","27769.55","535","17955.75"
"01","INDIA","05","BIHAR","MADHEPURA","62252.14","1177","32397.14"
"01","INDIA","05","BIHAR","MADUBANI","112947.56","2631","73245.66"
"01","INDIA","05","BIHAR","MUNGER","37367.06","808","27422.46"
"01","INDIA","05","BIHAR","MUZAFFARPUR","104989.72","2811","50758.72"
"01","INDIA","05","BIHAR","NALANDA","67248.04","1691","26161.34"
"01","INDIA","05","BIHAR","NAWADA","56870.07","1066","32932.52"
